Sample	AL590842_cov	AL117189_cov	AL117211_cov	AL109969_cov	pla_cov	AL590842_dep	AL117189_dep	AL117211_dep	AL109969_dep	pla_dep
GCA_009669705.1_ASM966970v1_genomic	0.9201786	0.9467748	0.9414614	0.8012900	1.0000000		18.1589642	18.3962021	18.6154346	15.6916351	20.0000000
GCA_009669775.1_ASM966977v1_genomic	0.9488689	0.9489937	0.9418668	0.8021224	1.0000000		18.7380962	18.4171257	18.5815926	15.6897631	20.0000000
GCA_009669765.1_ASM966976v1_genomic	0.9489790	0.9480122	0.9418564	0.8021224	1.0000000		18.7313690	18.4136543	18.5815926	15.6897631	20.0000000
GCA_009669805.1_ASM966980v1_genomic	0.9481081	0.9467748	0.9414614	0.8012900	1.0000000		18.7249928	18.3962021	18.5814991	15.6916351	20.0000000
GCA_009669825.1_ASM966982v1_genomic	0.9461799	0.9367470	0.9408377	0.8002497	1.0000000		18.6590919	18.1766167	18.6058521	15.6459637	20.0000000
GCA_009669835.1_ASM966983v1_genomic	0.9479512	0.9401465	0.9412119	0.8006659	1.0000000		18.7100277	18.2213650	18.6159344	15.6028919	20.0000000
GCA_009669845.1_ASM966984v1_genomic	0.9464889	0.9404594	0.9408377	0.8002497	1.0000000		18.6761684	18.2164707	18.6058521	15.6459637	20.0000000
GCA_009669875.1_ASM966987v1_genomic	0.9488307	0.9480122	0.9418564	0.8021224	1.0000000		18.7310753	18.3958759	18.5004253	15.6897631	20.0000000
GCA_009669905.1_ASM966990v1_genomic	0.9463987	0.9357087	0.9408377	0.8002497	1.0000000		18.6641750	18.0996227	18.6058521	15.6459637	20.0000000
GCA_009669955.1_ASM966995v1_genomic	0.9468940	0.9502027	0.9408377	0.8002497	1.0000000		18.7199879	18.3999863	18.6058521	15.6470041	20.0000000
GCA_009669925.1_ASM966992v1_genomic	0.9490361	0.9474717	0.9419083	0.8021224	1.0000000		18.7381077	18.3231773	18.5867901	15.6897631	20.0000000
GCA_009669935.1_ASM966993v1_genomic	0.9465936	0.9412986	0.9408377	0.8002497	1.0000000		18.6784382	18.2364120	18.6058521	15.6459637	20.0000000
GCA_009669975.1_ASM966997v1_genomic	0.9489375	0.9479980	0.9418460	0.8021224	1.0000000		18.7324963	18.3389797	18.5866852	15.6914272	20.0000000
GCA_009670005.1_ASM967000v1_genomic	0.9488765	0.9521655	0.9419291	0.8021224	1.0000000		18.7307930	18.4968071	18.5499954	15.6897631	20.0000000
GCA_009670045.1_ASM967004v1_genomic	0.9490108	0.9480122	0.9419083	0.8021224	1.0000000		18.7332954	18.4136543	18.6283646	15.6897631	20.0000000
GCA_009670015.1_ASM967001v1_genomic	0.9476450	0.9432331	0.9412119	0.8008739	1.0000000		18.7049007	18.2758121	18.6159344	15.6449232	20.0000000
GCA_009670055.1_ASM967005v1_genomic	0.9481022	0.9456369	0.9412119	0.8008739	1.0000000		18.7195778	18.3148708	18.6159344	15.6449232	20.0000000
GCA_009670075.1_ASM967007v1_genomic	0.9472144	0.9408861	0.9409625	0.8004578	1.0000000		18.6991997	18.2362843	18.6130238	15.6457558	20.0000000
GCA_009670115.1_ASM967011v1_genomic	0.9415565	0.9449968	0.9408066	0.7967125	1.0000000		18.5760098	18.2933083	18.5799198	15.5444241	20.0000000
GCA_009667895.1_ASM966789v1_genomic	0.9490213	0.9518384	0.9419083	0.8021224	1.0000000		18.7329407	18.4048500	18.5919247	15.6897631	20.0000000
GCA_009670135.1_ASM967013v1_genomic	0.9470152	0.9449968	0.0000000	0.8011860	1.0000000		18.7305546	18.2933083	0.0000000	15.6478357	20.0000000
GCA_009670155.1_ASM967015v1_genomic	0.9415295	0.9495057	0.0000000	0.7987932	1.0000000		18.5785446	18.4923840	0.0000000	15.5955057	20.0000000
GCA_009670105.1_ASM967010v1_genomic	0.9467623	0.9415547	0.9409625	0.8004578	1.0000000		18.6922855	18.2505093	18.6130238	15.6457558	20.0000000
GCA_009670185.1_ASM967018v1_genomic	0.9490516	0.9474717	0.9419083	0.8021224	1.0000000		18.7335072	18.3231773	18.5867901	15.6897631	20.0000000
GCA_009670205.1_ASM967020v1_genomic	0.9477043	0.9462627	0.9412119	0.8006659	1.0000000		18.7046127	18.3857765	18.6159344	15.6445065	20.0000000
GCA_009670225.1_ASM967022v1_genomic	0.9470962	0.9371310	0.9409625	0.8004578	1.0000000		18.6902695	18.1663322	18.6130238	15.6457558	20.0000000
GCA_009670235.1_ASM967023v1_genomic	0.9459371	0.9360216	0.9408377	0.8002497	1.0000000		18.6557178	18.1976395	18.5694733	15.6459637	20.0000000
GCA_009670245.1_ASM967024v1_genomic	0.9415430	0.9382832	0.9408377	0.7994174	1.0000000		18.5628567	18.1716385	18.6058521	15.5965462	20.0000000
GCA_009667925.1_ASM966792v1_genomic	0.9489667	0.9480122	0.9418771	0.8021224	1.0000000		18.7369804	18.4029865	18.5400162	15.6897631	20.0000000
GCA_009670285.1_ASM967028v1_genomic	0.9471430	0.9391793	0.9409625	0.8004578	1.0000000		18.6939240	18.2011948	18.6130238	15.6026840	20.0000000
GCA_009670305.1_ASM967030v1_genomic	0.9465979	0.9415973	0.9409625	0.8004578	1.0000000		18.6776657	18.3190536	18.6130238	15.6457558	20.0000000
GCA_009670345.1_ASM967034v1_genomic	0.9465826	0.9422659	0.9409625	0.8004578	1.0000000		18.6783333	18.3086987	18.6130238	15.6457558	20.0000000
GCA_009667935.1_ASM966793v1_genomic	0.9490609	0.9474717	0.9418876	0.8021224	1.0000000		18.7394733	18.3231773	18.5452137	15.6897631	20.0000000
GCA_009670355.1_ASM967035v1_genomic	0.9242850	0.9480122	0.9418252	0.8021224	1.0000000		18.2394028	18.4136543	18.5813847	15.6897631	20.0000000
GCA_009670325.1_ASM967032v1_genomic	0.9488575	0.9472015	0.9419083	0.8021224	1.0000000		18.7348423	18.3134060	18.5424595	15.6897631	20.0000000
GCA_009667885.1_ASM966788v1_genomic	0.9460673	0.9391651	0.9409625	0.8004578	1.0000000		18.6639919	18.2009811	18.6130238	15.6457558	20.0000000
GCA_009670385.1_ASM967038v1_genomic	0.9465908	0.9389375	0.9408377	0.8002497	1.0000000		18.7114220	18.1858616	18.6058521	15.6459637	20.0000000
GCA_009667945.1_ASM966794v1_genomic	0.9470044	0.9452528	0.9409625	0.8004578	1.0000000		18.7744179	18.2860680	18.6130238	15.6457558	20.0000000
GCA_009670415.1_ASM967041v1_genomic	0.9469434	0.9452528	0.9409625	0.8004578	1.0000000		18.7139511	18.3074036	18.6130238	15.6457558	20.0000000
GCA_009667985.1_ASM966798v1_genomic	0.9461857	0.9407866	0.9409625	0.8004578	1.0000000		18.6748981	18.2030163	18.6130238	15.6457558	20.0000000
GCA_009670395.1_ASM967039v1_genomic	0.9469634	0.9457364	0.9408377	0.8002497	1.0000000		18.6840744	18.3676834	18.6058521	15.6459637	20.0000000
GCA_009670445.1_ASM967044v1_genomic	0.9483242	0.9467748	0.9414614	0.8006659	1.0000000		18.7236805	18.3962021	18.6153412	15.6435709	20.0000000
GCA_009670465.1_ASM967046v1_genomic	0.9415615	0.9413840	0.9414614	0.8012900	1.0000000		18.5900288	18.2984428	18.6153412	15.6916351	20.0000000
GCA_009670485.1_ASM967048v1_genomic	0.9484377	0.9467748	0.9414614	0.8012900	1.0000000		18.7340469	18.3962021	18.6153412	15.6916351	20.0000000
GCA_009670475.1_ASM967047v1_genomic	0.9489878	0.8861390	0.9417836	0.8021224	1.0000000		18.7421188	17.1386681	18.5736618	15.6897631	20.0000000
GCA_009670515.1_ASM967051v1_genomic	0.9484531	0.9460636	0.9414614	0.8012900	1.0000000		18.7302170	18.3358650	18.6153412	15.6916351	20.0000000
GCA_009670545.1_ASM967054v1_genomic	0.9477228	0.9458218	0.9414614	0.8012900	1.0000000		18.7117615	18.3346710	18.5814667	15.6916351	20.0000000
GCA_009670565.1_ASM967056v1_genomic	0.9489734	0.9432331	0.9418252	0.8021224	1.0000000		18.7392178	18.3441296	18.5348206	15.6897631	20.0000000
GCA_009670575.1_ASM967057v1_genomic	0.9490826	0.9480122	0.9418979	0.8021224	1.0000000		18.7364941	18.4136543	18.5451088	15.6897631	20.0000000
GCA_009670625.1_ASM967062v1_genomic	0.9468837	0.9495057	0.9408897	0.8004578	1.0000000		18.6894169	18.4923840	18.6076908	15.6457558	20.0000000
GCA_009670585.1_ASM967058v1_genomic	0.9470525	0.9451391	0.9409625	0.8004578	1.0000000		18.7134418	18.4212646	18.6130238	15.6457558	20.0000000
GCA_009670605.1_ASM967060v1_genomic	0.9490035	0.9472015	0.9419083	0.8021224	1.0000000		18.7337132	18.3646107	18.5919132	15.6914272	20.0000000
GCA_009670665.1_ASM967066v1_genomic	0.9335507	0.9503592	0.9409625	0.8003537	1.0000000		18.4235783	18.4034138	18.6130238	15.6455469	20.0000000
GCA_009670675.1_ASM967067v1_genomic	0.9491277	0.9440722	0.9419083	0.8021224	1.0000000		18.7433052	18.3583527	18.6283646	15.6914272	20.0000000
GCA_009670725.1_ASM967072v1_genomic	0.9492289	0.9480122	0.9419083	0.8021224	1.0000000		18.7414379	18.4136543	18.5867901	15.6897631	20.0000000
GCA_009670705.1_ASM967070v1_genomic	0.9490357	0.9480122	0.9418148	0.8021224	1.0000000		18.7375183	18.3994312	18.5399227	15.6897631	20.0000000
GCA_009670715.1_ASM967071v1_genomic	0.9206103	0.9480122	0.9418876	0.8021224	1.0000000		18.1736279	18.4136543	18.5867996	15.6897631	20.0000000
GCA_009670775.1_ASM967077v1_genomic	0.9490946	0.9450964	0.9419083	0.8021224	1.0000000		18.7409649	18.3174877	18.6283646	15.6897631	20.0000000
GCA_009670765.1_ASM967076v1_genomic	0.9488475	0.9474717	0.9419083	0.8021224	1.0000000		18.7281551	18.3231773	18.6283646	15.6897631	20.0000000
GCA_009670785.1_ASM967078v1_genomic	0.9465983	0.9423085	0.9408377	0.8002497	1.0000000		18.6637993	18.2545338	18.6058521	15.6459637	20.0000000
GCA_009670835.1_ASM967083v1_genomic	0.9485694	0.9480122	0.9419083	0.8021224	1.0000000		18.7252636	18.4136543	18.5919857	15.6897631	20.0000000
GCA_009670815.1_ASM967081v1_genomic	0.9491199	0.9480122	0.9418148	0.8021224	1.0000000		18.7405224	18.4136543	18.5035954	15.6897631	20.0000000
GCA_009670865.1_ASM967086v1_genomic	0.9469105	0.9359078	0.9408377	0.7994174	1.0000000		18.6830750	18.1635170	18.6058521	15.5965462	20.0000000
GCA_009670875.1_ASM967087v1_genomic	0.9433598	0.9480122	0.9419187	0.8021224	1.0000000		18.6390018	18.4136543	18.6284065	15.6897631	20.0000000
GCA_009670895.1_ASM967089v1_genomic	0.9494281	0.9472015	0.9418044	0.8021224	1.0000000		18.7485294	18.3134060	18.5399342	15.6897631	20.0000000
GCA_009670905.1_ASM967090v1_genomic	0.9489843	0.9472015	0.9419083	0.8021224	1.0000000		18.7372665	18.3646107	18.5815926	15.6897631	20.0000000
GCA_009670935.1_ASM967093v1_genomic	0.9467728	0.9411280	0.9408377	0.8002497	1.0000000		18.6728287	18.3392353	18.6058521	15.6459637	20.0000000
GCA_009670995.1_ASM967099v1_genomic	0.9490669	0.9480122	0.9419083	0.8021224	1.0000000		18.7407379	18.3994312	18.6283646	15.6897631	20.0000000
GCA_009296005.1_ASM929600v1_genomic	0.9336730	0.0118768	0.9496622	0.8189763	1.0000000		18.4613132	0.1706422	18.7383022	16.0669994	20.0000000
GCA_009363195.1_ASM936319v1_genomic	0.9576234	0.9602162	0.9496310	0.8189763	1.0000000		18.9324207	18.8925819	18.7404842	15.6248436	20.0000000
GCA_009295945.1_ASM929594v1_genomic	0.9408670	0.9607567	0.9496310	0.8189763	1.0000000		18.6006985	18.9401608	18.7429676	15.6248436	20.0000000
GCA_008630485.1_ASM863048v1_genomic	0.9231442	0.0117346	0.9383536	0.7954640	1.0000000		18.1631756	0.1706849	18.5677261	15.4521427	20.0000000
GCA_008630455.1_ASM863045v1_genomic	0.9203937	0.9055544	0.9352458	0.0000000	0.0000000		18.0985661	17.2244644	18.4009457	0.0000000	0.0000000
GCA_008630435.1_ASM863043v1_genomic	0.9147694	0.8900647	0.9384056	0.7943196	1.0000000		18.0202465	16.9571857	18.5679245	15.4534960	20.0000000
GCA_008630415.1_ASM863041v1_genomic	0.9197013	0.9133490	0.9355992	0.0000000	0.0000000		18.0875053	17.5186119	18.3953323	0.0000000	0.0000000
GCA_008630395.1_ASM863039v1_genomic	0.9354287	0.9046583	0.9384264	0.7968165	1.0000000		18.3926697	17.4854565	18.5638924	15.5041618	20.0000000
GCA_008630575.1_ASM863057v1_genomic	0.9412063	0.9200910	0.9382808	0.7956721	1.0000000		18.5552349	17.5610695	18.5621452	15.4532871	20.0000000
GCA_008630375.1_ASM863037v1_genomic	0.9258186	0.9528199	0.9445484	0.0000000	0.0000000		18.1528645	18.5364475	18.6647129	0.0000000	0.0000000
GCA_008630375.2_ASM863037v2_genomic	0.9210356	0.9095086	0.9460139	0.8087807	1.0000000		18.0395432	17.7591496	18.7095203	15.8647528	20.0000000
GCA_006546745.1_ASM654674v1_genomic	0.9460873	0.9177726	0.9386135	0.7967125	1.0000000		18.6293678	17.6800365	18.5638809	15.4276943	20.0000000
GCA_006546725.1_ASM654672v1_genomic	0.9474546	0.9296067	0.9384264	0.7969205	1.0000000		18.6922722	18.1426506	18.5629978	15.5053062	20.0000000
GCA_006546665.1_ASM654666v1_genomic	0.9472141	0.9257379	0.9382808	0.7969205	1.0000000		18.6669445	17.8615456	18.5733604	15.4268627	20.0000000
GCA_006517425.1_ASM651742v1_genomic	0.9470575	0.9130787	0.9385303	0.7968165	1.0000000		18.6811581	17.6438522	18.5629253	15.5060339	20.0000000
GCA_000834775.1_ASM83477v1_genomic	0.9669201	0.9637153	0.5233552	0.0000000	0.0000000		19.1407795	18.8231983	10.2937641	0.0000000	0.0000000
GCA_000834335.1_ASM83433v1_genomic	0.9669065	0.9637294	0.9545265	0.7943196	1.0000000		19.1727982	18.8267689	18.8670616	15.1241159	20.0000000
GCA_000734805.1_ASM73480v1_genomic	0.9378924	0.8977029	0.9383432	0.3204328	0.4626866		18.4685612	17.0497265	18.5282516	4.1614647	6.8656716
GCA_000834275.1_ASM83427v1_genomic	0.9359015	0.9598037	0.9296955	0.8186642	1.0000000		18.5143852	18.8598385	18.3643913	15.6401377	20.0000000
GCA_000169615.1_ASM16961v1_genomic	0.9313400	0.9603300	0.8941794	0.7599875	1.0000000		18.3768368	19.0385895	17.8607731	15.4719105	20.0000000
GCA_000169635.1_ASM16963v1_genomic	0.9633236	0.9639571	0.9283754	0.7976488	1.0000000		19.1025753	45.1018562	18.1172218	18.1144409	20.0000000
GCA_000169655.1_ASM16965v1_genomic	0.9348410	0.9414836	0.7968818	0.0000000	0.0000000		18.5096035	18.3002071	15.1320448	0.0000000	0.0000000
GCA_000169675.1_ASM16967v1_genomic	0.9606165	0.9527630	0.8292277	0.7983770	1.0000000		19.0494156	18.5894318	16.1106129	15.2101536	20.0000000
GCA_000170275.1_ASM17027v1_genomic	0.9614683	0.9584382	0.8345910	0.8185601	1.0000000		19.0487938	18.7144871	15.9124308	16.0653343	20.0000000
GCA_000168235.2_ASM16823v2_genomic	0.9618527	0.9635445	0.9220663	0.8060758	1.0000000		19.0609741	19.4982853	22.4974747	23.8951302	34.2814484
GCA_000182525.1_ASM18252v1_genomic	0.9653807	0.0000000	0.9541316	0.7131711	1.0000000		19.0973492	0.0000000	18.8771858	13.5061378	20.0000000
GCA_000182505.1_ASM18250v1_genomic	0.9444424	0.9638290	0.9242491	0.7147316	1.0000000		18.6898117	18.8208370	18.1914673	14.2919264	20.0000000
GCA_000324785.1_ASM32478v1_genomic	0.9303870	0.8836071	0.9360981	0.6103829	0.9317697		17.8293648	16.5201759	18.2618656	8.6816483	16.4818764
GCA_006376585.1_ASM637658v1_genomic	0.9218953	0.8939478	0.9357863	0.0000000	0.0000000		18.1502781	16.8681030	18.3994083	0.0000000	0.0000000
GCA_006376575.1_ASM637657v1_genomic	0.9115511	0.6735510	0.8705644	0.7971286	1.0000000		17.9404411	12.9311142	17.2100925	15.4992714	20.0000000
GCA_006376535.1_ASM637653v1_genomic	0.9141551	0.0118768	0.9383536	0.7954640	1.0000000		17.7733746	0.1742408	18.4581852	15.4549522	20.0000000
GCA_006376535.2_ASM637653v2_genomic	0.9235836	0.0118484	0.9448290	0.8087807	1.0000000		18.2307453	0.1706849	18.6979313	15.8669376	20.0000000
GCA_006376545.1_ASM637654v1_genomic	0.9271343	0.9113719	0.9383016	0.0000000	0.0000000		18.2137890	17.3534031	18.4985657	0.0000000	0.0000000
GCA_006376505.1_ASM637650v1_genomic	0.9274206	0.9253396	0.9383536	0.0000000	0.0000000		18.2419434	17.7447414	18.5061531	0.0000000	0.0000000
GCA_006376495.1_ASM637649v1_genomic	0.9150193	0.0117346	0.9382808	0.7954640	1.0000000		18.0141392	0.1706849	18.5662823	15.4542236	20.0000000
GCA_006376475.1_ASM637647v1_genomic	0.9156584	0.0118199	0.0000000	0.0000000	0.0000000		18.0255527	0.1705569	0.0000000	0.0000000	0.0000000
GCA_006376435.1_ASM637643v1_genomic	0.9400736	0.9213143	0.9384159	0.7483354	1.0000000		18.5252380	17.5771847	18.5710430	12.8027468	18.2718544
GCA_006376415.1_ASM637641v1_genomic	0.9201100	0.9288102	0.0000000	0.7971286	1.0000000		18.1334972	17.8658981	0.0000000	15.5047855	20.0000000
GCA_003086155.1_ASM308615v1_genomic	0.9270716	0.9188536	0.9393098	0.6566792	1.0000000		18.1850700	17.4408798	18.5194988	9.8995008	11.3166313
GCA_001617725.1_Yersinia_pestis_M-1484_genomic	0.9298848	0.9149136	0.9384367	0.5276737	0.8368870		18.2049007	17.5610847	18.5248718	5.2453184	5.9211087
GCA_001617705.1_Yersinia_pestis_C-791_genomic	0.9409072	0.9159946	0.9404428	0.7640449	1.0000000		18.5211964	17.6889687	18.5259228	12.1710358	20.0000000
GCA_000834495.1_ASM83449v1_genomic	0.9671659	0.9639428	0.9542771	0.8185601	1.0000000		19.1552410	18.8297424	18.8175240	16.0366211	20.0000000
GCA_000986995.1_YPES001-SEQ-2-ASM-1_genomic	0.9402118	0.9562904	0.9547552	0.8194965	1.0000000		18.6017799	21.4268970	37.6534576	15.9206200	20.0000000
GCA_003797205.1_ASM379720v1_genomic	0.9661579	0.9631036	0.9545057	0.8189763	1.0000000		19.2244663	18.8094730	18.8693905	15.6267166	20.0000000
GCA_003798085.1_ASM379808v1_genomic	0.9665782	0.9640993	0.0000000	0.8185601	1.0000000		19.3038197	18.7428493	0.0000000	16.0653343	20.0000000
GCA_003798225.1_ASM379822v1_genomic	0.9580253	0.9599033	0.9317431	0.8197045	1.0000000		18.8987865	18.8548756	24.6106224	31.6817513	40.0000000
GCA_900460465.1_57940_B01_genomic	0.9443309	0.9625489	0.9541628	0.8197045	1.0000000		18.7858105	18.7897873	20.7024632	29.7215977	25.9275055
GCA_001487065.1_Yersinia_pestis_genomic	0.9635413	0.0000000	0.0000000	0.0000000	0.0000000		19.0081863	0.0000000	0.0000000	0.0000000	0.0000000
GCA_004023595.1_ASM402359v1_genomic	0.9377996	0.9030795	0.9382081	0.6945485	1.0000000		18.3547535	16.5827618	18.4703979	13.0473366	20.0000000
GCA_004023585.1_ASM402358v1_genomic	0.9194921	0.9087831	0.9392475	0.6966292	1.0000000		18.0375881	16.8597965	18.4486542	13.1403456	20.0000000
GCA_009295985.1_ASM929598v1_genomic	0.9438384	0.9601309	0.9494335	0.8192884	1.0000000		18.6569614	18.7774124	18.6926098	15.6271324	20.0000000
GCA_002188835.1_ASM218883v1_genomic	0.9524242	0.9571723	0.9275335	0.8099251	1.0000000		18.8295708	18.6843605	18.3467617	15.9050150	20.0000000
GCA_002188855.1_ASM218885v1_genomic	0.9363233	0.9563473	0.9467415	0.8099251	1.0000000		18.5070152	18.6641350	18.7394962	15.9064713	20.0000000
GCA_002188845.1_ASM218884v1_genomic	0.9464625	0.9527914	0.9338842	0.8099251	1.0000000		18.6816883	18.5655365	18.2753983	15.9126091	20.0000000
GCA_002188815.1_ASM218881v1_genomic	0.9462719	0.9527914	0.9335932	0.8099251	1.0000000		18.6661282	18.5655365	18.2675705	15.4455891	18.1577816
GCA_002188755.1_ASM218875v1_genomic	0.9472741	0.9488799	0.9366386	0.0000000	0.0000000		18.6792507	18.4870491	18.3869877	0.0000000	0.0000000
GCA_002188775.1_ASM218877v1_genomic	0.9476042	0.9490790	0.9366386	0.8099251	1.0000000		18.6960106	18.5263786	18.3948345	15.9131298	20.0000000
GCA_002188725.1_ASM218872v1_genomic	0.9474937	0.9488799	0.9366386	0.8099251	1.0000000		18.6873589	18.4870491	18.3862076	15.9131298	20.0000000
GCA_002188765.1_ASM218876v1_genomic	0.9400839	0.9498187	0.9366386	0.8099251	1.0000000		18.5381432	18.5403881	18.3940125	15.9131298	20.0000000
GCA_002188685.1_ASM218868v1_genomic	0.9474892	0.9488799	0.9368361	0.8099251	1.0000000		18.6901073	18.4870491	18.3861961	15.9131298	20.0000000
GCA_002173795.1_ASM217379v1_genomic	0.9475459	0.9488799	0.9366386	0.8099251	1.0000000		18.6881390	18.4870358	18.3948345	15.9131298	20.0000000
GCA_001972475.1_ASM197247v1_genomic	0.9473742	0.9487803	0.9366386	0.8099251	1.0000000		18.6978035	18.4870491	18.3948345	15.9131298	20.0000000
GCA_002173805.1_ASM217380v1_genomic	0.9471667	0.9487803	0.9366386	0.8099251	1.0000000		18.6738911	18.4870358	18.3948345	15.9131298	20.0000000
GCA_001972515.1_ASM197251v1_genomic	0.9473923	0.9488799	0.9366386	0.8099251	1.0000000		18.6968784	18.4870358	18.3870277	15.9131298	20.0000000
GCA_002173815.1_ASM217381v1_genomic	0.9473360	0.9488799	0.9366386	0.0000000	0.0000000		18.6918411	18.4870358	18.3948345	0.0000000	0.0000000
GCA_001972505.1_ASM197250v1_genomic	0.9464473	0.9498613	0.9366386	0.8099251	1.0000000		18.6700001	18.4680328	18.3922253	15.5488968	20.0000000
GCA_001972415.1_ASM197241v1_genomic	0.9363289	0.9501031	0.9423761	0.0000000	0.0000000		18.4567852	18.4098434	18.5882244	0.0000000	0.0000000
GCA_001972405.1_ASM197240v1_genomic	0.9283132	0.3063651	0.8716038	0.0000000	0.0000000		18.3026485	5.8095155	17.1114845	0.0000000	0.0000000
GCA_001972385.1_ASM197238v1_genomic	0.9278686	0.9565607	0.9393410	0.0000000	0.0000000		18.2858620	18.4815731	18.4651604	0.0000000	0.0000000
GCA_001972395.1_ASM197239v1_genomic	0.9279273	0.9565322	0.9393826	0.0000000	0.0000000		18.2865162	18.4680614	18.4519272	0.0000000	0.0000000
GCA_001972465.1_ASM197246v1_genomic	0.9279109	0.9554513	0.9393826	0.0000000	0.0000000		18.2902851	18.5244865	18.4679546	0.0000000	0.0000000
GCA_002127355.1_ASM212735v1_genomic	0.9284260	0.9514117	0.9393410	0.0000000	0.0000000		18.2986431	18.4730110	18.4676533	0.0000000	0.0000000
GCA_002127375.1_ASM212737v1_genomic	0.9283693	0.9564042	0.8715622	0.0000000	0.0000000		18.3044777	18.4072685	17.1104660	0.0000000	0.0000000
GCA_002165475.1_ASM216547v1_genomic	0.9281557	0.9553943	0.9393410	0.0487932	0.0000000		18.2960892	18.5679531	18.4676533	0.5199750	0.0000000
GCA_002127365.1_ASM212736v1_genomic	0.9281529	0.9545836	0.9393410	0.0000000	0.0000000		18.2903767	18.5587082	18.4676533	0.0000000	0.0000000
GCA_001295055.1_ASM129505v1_genomic	0.9304050	0.9380983	0.9382808	0.0000000	0.0000000		18.3352737	18.1798592	18.4641819	0.0000000	0.0000000
GCA_001294915.1_ASM129491v1_genomic	0.9298403	0.9291515	0.9386342	0.0000000	0.0000000		18.3115463	17.9020691	18.5139484	0.0000000	0.0000000
GCA_001295025.1_ASM129502v1_genomic	0.9471684	0.9269469	0.9362332	0.7952560	1.0000000		18.6943989	17.9257088	18.4692020	15.3773413	20.0000000
GCA_001294905.1_ASM129490v1_genomic	0.9300045	0.9234905	0.9382704	0.0000000	0.0000000		18.3198967	17.9023972	18.5127125	0.0000000	0.0000000
GCA_001294985.1_ASM129498v1_genomic	0.9297116	0.9379418	0.9384159	0.0000000	0.0000000		18.3163223	18.1876392	18.5058212	0.0000000	0.0000000
GCA_001295115.1_ASM129511v1_genomic	0.9397556	0.9272171	0.9313377	0.7968165	1.0000000		18.5199471	17.9843388	18.2907391	15.5045776	20.0000000
GCA_001295065.1_ASM129506v1_genomic	0.9285325	0.9329635	0.9383432	0.0000000	0.0000000		18.2733574	18.1153545	18.5198116	0.0000000	0.0000000
GCA_001295185.1_ASM129518v1_genomic	0.9290158	0.9349833	0.8706787	0.0000000	0.0000000		18.2606106	18.0092735	17.1113186	0.0000000	0.0000000
GCA_001294975.1_ASM129497v1_genomic	0.9396166	0.9232487	0.9315560	0.7950479	1.0000000		18.4881325	17.6431541	18.2873497	14.5700169	20.0000000
GCA_001294965.1_ASM129496v1_genomic	0.9347109	0.9270891	0.9313481	0.8184561	1.0000000		18.4183941	17.7997303	18.2879429	15.6617765	20.0000000
GCA_001295045.1_ASM129504v1_genomic	0.9302024	0.9301187	0.9383952	0.0000000	0.0000000		18.3392620	18.2721004	18.5097389	0.0000000	0.0000000
GCA_001295145.1_ASM129514v1_genomic	0.9270393	0.9314558	0.9314209	0.7970245	1.0000000		18.2800159	18.0260143	18.2853661	15.5082188	20.0000000
GCA_001294885.1_ASM129488v1_genomic	0.9396086	0.0663964	0.9313689	0.7970245	1.0000000		18.5189209	1.1353389	18.2915192	15.5061378	20.0000000
GCA_001294805.1_ASM129480v1_genomic	0.9386773	0.9296494	0.9279077	0.7970245	1.0000000		18.4973717	17.8470097	18.1604614	15.0885353	18.3784657
