Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Biogroup	Alternative Name	Species	Disease	Comment	Bio Project ID	Project ID	Sample ID	Secondary Sample ID	O Serotype	Contact Name	Date Entered	Release Date	Barcode	Status	Coverage	Version	N50	Length	Species	Contig Number	No. N's	Assembly Barcode
YER_AA0784AA	ZE94-2122	SRR1925409;ILLUMINA;Paired;674;SRX965136	Human	Human	Homo sapiens	1994				Africa	Zimbabwe										Yersinia pestis			PRJNA257008	SRP052870	SAMN02999506	SRS880754			2015-08-27	2015-04-13	YER_AA0784AA	Assembled	69.14	2.2	48993	4621332	Yersinia pestis;99.42%	192	17603	YER_CA6317AA_AS
YER_AA1075AA	KIM D27	SRR133640;ILLUMINA;Paired;300;SRX048908																JCVI			Yersinia pestis			PRJNA41469	SRP001358	SAMN00222601	SRS178859			2015-08-27	2011-04-06	YER_AA1075AA	Assembled	0	2.2	37684	4508521	Yersinia pestis;100.0%	218	8550	YER_CA3261AA_AS
YER_AA1090AA	PY-01	SRR354045;ILLUMINA;Paired;;SRX101667	Wild Animal	Rodent	house mouse	2006				South America	Peru	Cajamarca	Chota					University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64281	SRP009030	SAMN00739929	SRS267443			2015-08-27	2011-10-20	YER_AA1090AA	Assembled	58.52	2.2	34863	4690313	Yersinia pestis;99.61%	314	9641	YER_CA4494AA_AS
YER_AA1091AA	PY-02	SRR332555;ILLUMINA;Paired;;SRX092661	Wild Animal	Rodent	black rat	2006				South America	Peru	Lima	Lima					University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64283	SRP007920	SAMN00710637	SRS258342			2015-08-27	2011-08-23	YER_AA1091AA	Assembled	54.7	2.2	32792	4685977	Yersinia pestis;99.64%	289	8983	YER_CA4252AA_AS
YER_AA1092AA	PY-99	SRR329634;ILLUMINA;Paired;;SRX090797	Wild Animal	Rodent	Norway rat	2010				South America	Peru	La Libertad	Ascope Province					University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64387	SRP007760	SAMN00706783	SRS256247			2015-08-27	2011-08-11	YER_AA1092AA	Assembled	52.9	2.2	36148	4690598	Yersinia pestis;99.6%	284	3145	YER_CA4407AA_AS
YER_AA1093AA	PY-98	SRR329494;ILLUMINA;Paired;;SRX090648	Human	Human	Homo sapiens	2010				South America	Peru	La Libertad	Ascope Province	Ascope		-7.6	-79	University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64385	SRP007755	SAMN00706755	SRS256219			2015-08-27	2011-08-10	YER_AA1093AA	Assembled	222.69	2.2	36187	4687134	Yersinia pestis;99.61%	281	5886	YER_CA4471AA_AS
YER_AA1094AA	PY-96	SRR329493;ILLUMINA;Paired;;SRX090647	Companion Animal	Canine	dog	2010				South America	Peru	La Libertad	Ascope Province					University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64383	SRP007754	SAMN00706754	SRS256218			2015-08-27	2011-08-10	YER_AA1094AA	Assembled	205.04	2.2	32997	4679895	Yersinia pestis;99.62%	300	4640	YER_CA3580AA_AS
YER_AA1095AA	PY-95	SRR329492;ILLUMINA;Paired;;SRX090646	Wild Animal	Rodent	black rat	2010				South America	Peru	Cajamarca	Chota Province	Chota		-6.5	-78.6	University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64381	SRP007753	SAMN00706753	SRS256217			2015-08-27	2011-08-10	YER_AA1095AA	Assembled	75.16	2.2	37785	4684235	Yersinia pestis;99.56%	259	3541	YER_CA4736AA_AS
YER_AA1096AA	PY-94	SRR329491;ILLUMINA;Paired;;SRX090645	Wild Animal	Rodent	black rat	2010				South America	Peru	Cajamarca	Chota Province	Chota		-6.5	-78.6	University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64379	SRP007752	SAMN00706752	SRS256216			2015-08-27	2011-08-10	YER_AA1096AA	Assembled	49.05	2.2	37717	4679376	Yersinia pestis;99.58%	274	4015	YER_CA4504AA_AS
YER_AA1097AA	PY-93	SRR329489;ILLUMINA;Paired;;SRX090644	Wild Animal	Rodent	black rat	2010				South America	Peru	Cajamarca	Chota Province	Chota		-6.5	-78.6	University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64377	SRP007751	SAMN00706751	SRS256215			2015-08-27	2011-08-10	YER_AA1097AA	Assembled	79.45	2.2	34221	4677410	Yersinia pestis;99.61%	293	4079	YER_CA3247AA_AS
YER_AA1098AA	PY-92	SRR329488;ILLUMINA;Paired;;SRX090632	Wild Animal	Rodent	black rat	2010				South America	Peru	Cajamarca	Provincia de Chota	Chota				University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64375	SRP007747	SAMN00704295	SRS256209			2015-08-27	2011-08-10	YER_AA1098AA	Assembled	227.58	2.2	35974	4689818	Yersinia pestis;99.58%	265	3329	YER_CA3298AA_AS
YER_AA1099AA	PY-91	SRR329487;ILLUMINA;Paired;;SRX090631	Wild Animal	Rodent	black rat	2010				South America	Peru	Cajamarca	Chota Province	Chota		-6.5	-78.6	University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64373	SRP007746	SAMN00704294	SRS256208			2015-08-27	2011-08-10	YER_AA1099AA	Assembled	207.86	2.2	34035	4680505	Yersinia pestis;99.61%	290	5079	YER_CA6538AA_AS
YER_AA1100AA	PY-90	SRR329486;ILLUMINA;Paired;;SRX090630																University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64371	SRP007745	SAMN00704293	SRS256207			2015-08-27	2011-08-10	YER_AA1100AA	Assembled	214	4	34243	4678291	Yersinia pestis;100.0%	273	47443	YER_DA0815AA_AS
YER_AA1101AA	PY-89	SRR329485;ILLUMINA;Paired;;SRX090629	Wild Animal	Rodent	Norway rat	2010				South America	Peru	La Libertad	Pacasmayo	Guadalupe		-7.2	-79.3	University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64369	SRP007744	SAMN00704292	SRS256206			2015-08-27	2011-08-10	YER_AA1101AA	Assembled	182.97	2.2	32857	4679533	Yersinia pestis;98.88%	316	7384	YER_CA4432AA_AS
YER_AA1102AA	PY-88	SRR329484;ILLUMINA;Paired;;SRX090628	Wild Animal	Rodent	black rat	2010				South America	Peru	La Libertad	Pacasmayo	Guadalupe		-7.2	-79.3	University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64367	SRP007743	SAMN00704291	SRS256205			2015-08-27	2011-08-10	YER_AA1102AA	Assembled	185.47	2.2	32836	4676080	Yersinia pestis;99.64%	300	6236	YER_CA4617AA_AS
YER_AA1103AA	PY-76	SRR329483;ILLUMINA;Paired;;SRX090627	Wild Animal	Rodent	cotton rat	2010												University of Maryland Institute for Genome Sciences			Yersinia pestis		Originally attributed to Peru. Probably a contaminant based on A-1122.	PRJNA64365	SRP007742	SAMN00704290	SRS256204			2015-08-27	2011-08-10	YER_AA1103AA	Assembled	26.59	2.2	42630	4514684	Yersinia pestis;99.03%	233	2890	YER_CA4709AA_AS
YER_AA1104AA	PY-72	SRR329482;ILLUMINA;Paired;;SRX090626	Wild Animal	Rodent	black rat	2010												University of Maryland Institute for Genome Sciences			Yersinia pestis		Originally attributed to Peru. Probably a contaminant based on A-1122.	PRJNA64363	SRP007741	SAMN00704289	SRS256203			2015-08-27	2011-08-10	YER_AA1104AA	Assembled	68.96	2.2	36730	4514616	Yersinia pestis;99.56%	269	3873	YER_CA3495AA_AS
YER_AA1105AA	PY-71	SRR329481;ILLUMINA;Paired;;SRX090625	Wild Animal	Rodent	black rat	2010												University of Maryland Institute for Genome Sciences			Yersinia pestis		Originally attributed to Peru. Probably a contaminant based on A-1122.	PRJNA64361	SRP007740	SAMN00704288	SRS256202			2015-08-27	2011-08-10	YER_AA1105AA	Assembled	218.21	2.2	39369	4519276	Yersinia pestis;99.55%	251	3623	YER_CA5781AA_AS
YER_AA1106AA	PY-65	SRR329480;ILLUMINA;Paired;;SRX090624	Wild Animal	Rodent	Norway rat	2010				South America	Peru	La Libertad	Trujillo	Salaverry		-8.1	-78.9	University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64357	SRP007739	SAMN00704287	SRS256201			2015-08-27	2011-08-10	YER_AA1106AA	Assembled	0	2.2	35132	4685139	Yersinia pestis;99.6%	283	3893	YER_CA3318AA_AS
YER_AA1107AA	PY-60	SRR329479;ILLUMINA;Paired;;SRX090623	Wild Animal	Rodent	Norway rat	2010				South America	Peru	La Libertad	Trujillo					University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64349	SRP007738	SAMN00704286	SRS256200			2015-08-27	2011-08-10	YER_AA1107AA	Assembled	275.77	2.2	33265	4681808	Yersinia pestis;99.21%	297	3417	YER_CA3542AA_AS
YER_AA1108AA	PY-56	SRR329478;ILLUMINA;Paired;;SRX090622	Companion Animal	Canine	dog	2010				South America	Peru	La Libertad	Ascope Province					University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64343	SRP007737	SAMN00704285	SRS256199			2015-08-27	2011-08-10	YER_AA1108AA	Assembled	46.85	2.2	36174	4678306	Yersinia pestis;99.6%	287	4954	YER_CA4518AA_AS
YER_AA1109AA	PY-66	SRR329477;ILLUMINA;Paired;;SRX090621	Wild Animal	Rodent	Norway rat	2010				South America	Peru	La Libertad	Trujillo	Salaverry		-8.1	-78.9	University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64359	SRP007736	SAMN00704284	SRS256198			2015-08-27	2011-08-10	YER_AA1109AA	Assembled	71.05	2.2	25301	4630562	Yersinia pestis;99.68%	348	23512	YER_CA3475AA_AS
YER_AA1110AA	PY-64	SRR329476;ILLUMINA;Paired;;SRX090620	Wild Animal	Rodent	Norway rat	2010				South America	Peru	La Libertad	Trujillo	Salaverry		-8.1	-78.9	University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64355	SRP007735	SAMN00704283	SRS256197			2015-08-27	2011-08-10	YER_AA1110AA	Assembled	99.24	2.2	30450	4674539	Yersinia pestis;99.68%	337	10133	YER_CA5767AA_AS
YER_AA1111AA	PY-63	SRR329475;ILLUMINA;Paired;;SRX090619	Wild Animal	Rodent	Norway rat	2010				South America	Peru	La Libertad	Trujillo	Salaverry		-8.1	-78.9	University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64353	SRP007734	SAMN00704282	SRS256196			2015-08-27	2011-08-10	YER_AA1111AA	Assembled	0	2.2	34542	4681453	Yersinia pestis;99.61%	289	6786	YER_CA3313AA_AS
YER_AA1112AA	PY-61	SRR329474;ILLUMINA;Paired;;SRX090618	Wild Animal	Rodent	Norway rat	2010				South America	Peru	La Libertad	Trujillo					University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64351	SRP007733	SAMN00704281	SRS256195			2015-08-27	2011-08-10	YER_AA1112AA	Assembled	171.24	2.2	37719	4675928	Yersinia pestis;99.58%	269	3590	YER_CA5729AA_AS
YER_AA1113AA	PY-59	SRR329473;ILLUMINA;Paired;;SRX090617	Wild Animal	Rodent	black rat	2010				South America	Peru	La Libertad	Ascope Province	Ascope		-7.6	-79	University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64347	SRP007732	SAMN00704280	SRS256194			2015-08-27	2011-08-10	YER_AA1113AA	Assembled	52.53	2.2	35129	4682289	Yersinia pestis;99.6%	289	5509	YER_CA4463AA_AS
YER_AA1114AA	PY-58	SRR329472;ILLUMINA;Paired;;SRX090616	Wild Animal	Rodent	Norway rat	2010				South America	Peru	La Libertad	Ascope Province					University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64345	SRP007731	SAMN00704279	SRS256193			2015-08-27	2011-08-10	YER_AA1114AA	Assembled	32.03	2.2	31329	4665010	Yersinia pestis;98.94%	319	15751	YER_CA4488AA_AS
YER_AA1115AA	PY-48	SRR329471;ILLUMINA;Paired;;SRX090615	Wild Animal	Rodent	house mouse	2010				South America	Peru	La Libertad	Ascope Province					University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64333	SRP007730	SAMN00704278	SRS256192			2015-08-27	2011-08-10	YER_AA1115AA	Assembled	250.89	2.2	35233	4680838	Yersinia pestis;99.6%	287	5172	YER_CA4627AA_AS
YER_AA1116AA	PY-46	SRR329470;ILLUMINA;Paired;;SRX090614	Companion Animal	Feline	domestic cat	2010				South America	Peru	La Libertad	Ascope	San Antonio		-7.6	-79	University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64329	SRP007729	SAMN00704277	SRS256191			2015-08-27	2011-08-10	YER_AA1116AA	Assembled	69.85	2.2	36190	4685869	Yersinia pestis;99.2%	278	3584	YER_CA3548AA_AS
YER_AA1117AA	PY-52	SRR329469;ILLUMINA;Paired;;SRX090613	Companion Animal	Canine	dog	2010				South America	Peru	La Libertad	Ascope Province					University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64335	SRP007728	SAMN00704276	SRS256190			2015-08-27	2011-08-10	YER_AA1117AA	Assembled	0	2.2	30450	4686993	Yersinia pestis;99.67%	351	10167	YER_CA4381AA_AS
YER_AA1118AA	PY-55	SRR329468;ILLUMINA;Paired;;SRX090612	Companion Animal	Canine	dog	2010				South America	Peru	La Libertad	Ascope Province					University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64341	SRP007727	SAMN00704275	SRS256189			2015-08-27	2011-08-10	YER_AA1118AA	Assembled	64.43	2.2	35812	4681506	Yersinia pestis;99.2%	280	4625	YER_CA4424AA_AS
YER_AA1119AA	PY-53	SRR329467;ILLUMINA;Paired;;SRX090611	Companion Animal	Canine	dog	2010				South America	Peru	La Libertad	Ascope Province					University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64337	SRP007726	SAMN00704274	SRS256188			2015-08-27	2011-08-10	YER_AA1119AA	Assembled	166.07	2.2	34231	4668104	Yersinia pestis;99.23%	291	6444	YER_CA5782AA_AS
YER_AA1120AA	PY-47	SRR329466;ILLUMINA;Paired;;SRX090610	Companion Animal	Feline	domestic cat	2010				South America	Peru	La Libertad	Ascope Province					University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64331	SRP007725	SAMN00704273	SRS256187			2015-08-27	2011-08-10	YER_AA1120AA	Assembled	222.14	2.2	34548	4684747	Yersinia pestis;99.61%	294	4559	YER_CA4490AA_AS
YER_AA1121AA	PY-45	SRR329465;ILLUMINA;Paired;;SRX090609	Wild Animal	Rodent	house mouse	2010				South America	Peru	La Libertad	Ascope Province					University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64327	SRP007724	SAMN00704272	SRS256186			2015-08-27	2011-08-10	YER_AA1121AA	Assembled	210.19	2.2	36475	4679681	Yersinia pestis;99.58%	280	3527	YER_CA3599AA_AS
YER_AA1123AA	PY-42	SRR329463;ILLUMINA;Paired;;SRX090607	Wild Animal	Rodent	house mouse	2010				South America	Peru	La Libertad	Ascope Province					University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64325	SRP007722	SAMN00704270	SRS256184			2015-08-27	2011-08-10	YER_AA1123AA	Assembled	136.65	2.2	34834	4684312	Yersinia pestis;98.46%	297	4418	YER_CA5786AA_AS
YER_AA1124AA	PY-32	SRR329462;ILLUMINA;Paired;;SRX090606	Human	Human	Homo sapiens	2010				South America	Peru	La Libertad	Provincia de Ascope					University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64319	SRP007720	SAMN00704269	SRS256183			2015-08-27	2011-08-10	YER_AA1124AA	Assembled	51.24	2.2	37423	4676842	Yersinia pestis;99.57%	257	3501	YER_CA6604AA_AS
YER_AA1125AA	PY-36	SRR329461;ILLUMINA;Paired;;SRX090605	Wild Animal	Rodent	house mouse	2010				South America	Peru	La Libertad	Ascope Province					University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64323	SRP007719	SAMN00704268	SRS256182			2015-08-27	2011-08-10	YER_AA1125AA	Assembled	110.62	2.2	35983	4688660	Yersinia pestis;99.59%	280	4188	YER_CA3553AA_AS
YER_AA1126AA	PY-34	SRR329460;ILLUMINA;Paired;;SRX090604	Companion Animal	Feline	domestic cat	2010				South America	Peru	La Libertad	Ascope Province					University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64321	SRP007718	SAMN00704267	SRS256181			2015-08-27	2011-08-10	YER_AA1126AA	Assembled	133.75	2.2	37714	4681497	Yersinia pestis;99.56%	258	4603	YER_CA5784AA_AS
YER_AA1127AA	PY-29	SRR329459;ILLUMINA;Paired;;SRX090603	Wild Animal	Rodent	house mouse	2010				South America	Peru	La Libertad	Ascope Province					University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64317	SRP007717	SAMN00704266	SRS256180			2015-08-27	2011-08-10	YER_AA1127AA	Assembled	88.19	2.2	35812	4688878	Yersinia pestis;99.59%	271	4269	YER_CA5650AA_AS
YER_AA1128AA	PY-25	SRR329458;ILLUMINA;Paired;;SRX090602	Wild Animal	Rodent	house mouse	2010				South America	Peru	La Libertad	Ascope Province					University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64315	SRP007716	SAMN00704265	SRS256179			2015-08-27	2011-08-10	YER_AA1128AA	Assembled	0	2.2	39057	4682990	Yersinia pestis;99.55%	239	3608	YER_CA3575AA_AS
YER_AA1129AA	PY-113	SRR329405;ILLUMINA;Paired;;SRX090553	Human	Human	Homo sapiens	2010				South America	Peru	La Libertad	Ascope Province	Ascope		-7.6	-79	University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64397	SRP007713	SAMN00704257	SRS256171			2015-08-27	2011-08-10	YER_AA1129AA	Assembled	241.78	2.2	33521	4665271	Yersinia pestis;99.62%	310	7473	YER_CA6602AA_AS
YER_AA1130AA	PY-102	SRR329404;ILLUMINA;Paired;;SRX090552	Wild Animal	Other Mammal	southern opossum	2010				South America	Peru	La Libertad	Ascope Province					University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64393	SRP007712	SAMN00704256	SRS256170			2015-08-27	2011-08-10	YER_AA1130AA	Assembled	260.48	2.2	33795	4685179	Yersinia pestis;99.22%	297	4099	YER_CA6607AA_AS
YER_AA1131AA	PY-103	SRR329403;ILLUMINA;Paired;;SRX090551								South America	Peru	Cajamarca	Provincia de Jaén	Jaen				University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64395	SRP007711	SAMN00704255	SRS256169			2015-08-27	2011-08-10	YER_AA1131AA	Assembled	182	4	28710	4639252	Yersinia pestis;100.0%	319	107751	YER_DA0817AA_AS
YER_AA1132AA	PY-101	SRR329402;ILLUMINA;Paired;;SRX090550	Human	Human	Homo sapiens	2010				South America	Peru	La Libertad	Ascope					University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64391	SRP007710	SAMN00704254	SRS256168			2015-08-27	2011-08-10	YER_AA1132AA	Assembled	98.46	2.2	35237	4662706	Yersinia pestis;100.0%	283	3550	YER_BA9237AA_AS
YER_AA1133AA	PY-100	SRR329401;ILLUMINA;Paired;;SRX090549	Wild Animal	Rodent	Norway rat	2010				South America	Peru	La Libertad	Ascope					University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64389	SRP007709	SAMN00704253	SRS256167			2015-08-27	2011-08-10	YER_AA1133AA	Assembled	190.73	2.2	33400	4680094	Yersinia pestis;99.23%	306	7844	YER_CA5686AA_AS
YER_AA1134AA	PY-19	SRR329400;ILLUMINA;Paired;;SRX090548	Wild Animal	Rodent	rodent	2010												University of Maryland Institute for Genome Sciences			Yersinia pestis		Originally attributed to Peru. Probably a contaminant based on A-1122.	PRJNA64313	SRP007708	SAMN00704252	SRS256166			2015-08-27	2011-08-10	YER_AA1134AA	Assembled	55.95	2.2	36445	4503505	Yersinia pestis;99.56%	266	5163	YER_CA4491AA_AS
YER_AA1135AA	PY-16	SRR329399;ILLUMINA;Paired;;SRX090547	Human	Human	Homo sapiens	2009				South America	Peru	La Libertad	Ascope Province					University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64311	SRP007707	SAMN00704251	SRS256165			2015-08-27	2011-08-10	YER_AA1135AA	Assembled	113.64	2.2	37566	4685951	Yersinia pestis;99.17%	269	3964	YER_CA3305AA_AS
YER_AA1136AA	PY-15	SRR329398;ILLUMINA;Paired;;SRX090546	Human	Human	Homo sapiens	2009				South America	Peru	La Libertad	Ascope Province					University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64309	SRP007706	SAMN00704250	SRS256164			2015-08-27	2011-08-10	YER_AA1136AA	Assembled	156.98	2.2	36325	4698554	Yersinia pestis;99.58%	261	4753	YER_CA4493AA_AS
YER_AA1137AA	PY-14	SRR329397;ILLUMINA;Paired;;SRX090544	Wild Animal	Rodent	black rat	2009				South America	Peru	La Libertad	Ascope Province					University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64307	SRP007705	SAMN00704249	SRS256163			2015-08-27	2011-08-10	YER_AA1137AA	Assembled	64.18	2.2	26272	4632383	Yersinia pestis;99.7%	381	29439	YER_CA3564AA_AS
YER_AA1138AA	PY-13	SRR329396;ILLUMINA;Paired;;SRX090543	Human	Human	Homo sapiens	2008				South America	Peru							University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64305	SRP007704	SAMN00704248	SRS256162			2015-08-27	2011-08-10	YER_AA1138AA	Assembled	46.9	2.2	35804	4680551	Yersinia pestis;99.19%	284	3585	YER_CA3302AA_AS
YER_AA1139AA	PY-12	SRR329395;ILLUMINA;Paired;;SRX090541																University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64303	SRP007703	SAMN00704247	SRS256161			2015-08-27	2011-08-10	YER_AA1139AA	Assembled	152	4	35815	4682724	Yersinia pestis;99.59%	268	52217	YER_DA0818AA_AS
