id	BioSample_id	BioSampleAccession	BioSampleAccessionSecondary	BioSampleBioProjectAccession	BioSampleSRAAccession	BioSampleTitle	BioSampleName	BioSampleType	BioSamplePackage	BioSampleInfraspecies	BioSampleOrganism	BioSampleOrganismAlt	BioSampleSubSpecies	BioSampleStrain	BioSampleTaxonomyID	BioSampleBiovar	BioSampleCollectionDate	BioSampleGeographicLocation	BioSampleHost	BioSampleHostDisease	BioSampleIsolateNameAlias	BioSampleIsolationSource	BioSampleLat	BioSampleLatLon	BioSampleLon	BioSampleDate	BioSampleModificationDate	BioSamplePublicationDate	BioSampleOrganization	BioSampleComment
11	11906279	SAMEA5661394	None	PRJEB29991	ERS3465413	DIR002.A	None	None	Generic.1.0	None	Yersinia pestis	Yersinia pestis	None	DIR002	632	None	None	None	None	None	None	None	None	None	None	2019/05/29	2019/06/21	2019/05/29	EBI	KEEP
12	11906278	SAMEA5661393	None	PRJEB29991	ERS3465412	WAG001.A	None	None	Generic.1.0	None	Yersinia pestis	Yersinia pestis	None	WAG001	632	None	None	None	None	None	None	None	None	None	None	2019/05/29	2019/06/21	2019/05/29	EBI	KEEP
13	11906277	SAMEA5661392	None	PRJEB29991	ERS3465411	UNT006.A	None	None	Generic.1.0	None	Yersinia pestis	Yersinia pestis	None	UNT006	632	None	None	None	None	None	None	None	None	None	None	2019/05/29	2019/06/21	2019/05/29	EBI	KEEP
14	11906276	SAMEA5661391	None	PRJEB29991	ERS3465410	UNT005.A	None	None	Generic.1.0	None	Yersinia pestis	Yersinia pestis	None	UNT005	632	None	None	None	None	None	None	None	None	None	None	2019/05/29	2019/06/21	2019/05/29	EBI	KEEP
15	11906275	SAMEA5661390	None	PRJEB29991	ERS3465409	UNT004.A	None	None	Generic.1.0	None	Yersinia pestis	Yersinia pestis	None	UNT004	632	None	None	None	None	None	None	None	None	None	None	2019/05/29	2019/06/21	2019/05/29	EBI	KEEP
16	11906274	SAMEA5661389	None	PRJEB29991	ERS3465408	UNT003.A	None	None	Generic.1.0	None	Yersinia pestis	Yersinia pestis	None	UNT003	632	None	None	None	None	None	None	None	None	None	None	2019/05/29	2019/06/21	2019/05/29	EBI	KEEP
17	11906273	SAMEA5661388	None	PRJEB29991	ERS3465407	UNT002.A	None	None	Generic.1.0	None	Yersinia pestis	Yersinia pestis	None	UNT002	632	None	None	None	None	None	None	None	None	None	None	2019/05/29	2019/06/21	2019/05/29	EBI	KEEP
18	11906272	SAMEA5661387	None	PRJEB29991	ERS3465406	PET006.A	None	None	Generic.1.0	None	Yersinia pestis	Yersinia pestis	None	PET006	632	None	None	None	None	None	None	None	None	None	None	2019/05/29	2019/06/21	2019/05/29	EBI	KEEP
19	11906271	SAMEA5661386	None	PRJEB29991	ERS3465405	PET005.A	None	None	Generic.1.0	None	Yersinia pestis	Yersinia pestis	None	PET005	632	None	None	None	None	None	None	None	None	None	None	2019/05/29	2019/06/21	2019/05/29	EBI	KEEP
20	11906270	SAMEA5661385	None	PRJEB29991	ERS3465404	PET004.A	None	None	Generic.1.0	None	Yersinia pestis	Yersinia pestis	None	PET004	632	None	None	None	None	None	None	None	None	None	None	2019/05/29	2019/06/21	2019/05/29	EBI	KEEP
21	11906269	SAMEA5661384	None	PRJEB29991	ERS3465403	VAL001.B	None	None	Generic.1.0	None	Yersinia pestis	Yersinia pestis	None	VAL001	632	None	None	None	None	None	None	None	None	None	None	2019/05/29	2019/06/21	2019/05/29	EBI	KEEP
22	11906268	SAMEA5661383	None	PRJEB29991	ERS3465402	LVC006.A	None	None	Generic.1.0	None	Yersinia pestis	Yersinia pestis	None	LVC006	632	None	None	None	None	None	None	None	None	None	None	2019/05/29	2019/06/21	2019/05/29	EBI	KEEP
23	11906267	SAMEA5661382	None	PRJEB29991	ERS3465401	LVC005.C	None	None	Generic.1.0	None	Yersinia pestis	Yersinia pestis	None	LVC005	632	None	None	None	None	None	None	None	None	None	None	2019/05/29	2019/06/21	2019/05/29	EBI	KEEP
24	11906266	SAMEA5661381	None	PRJEB29991	ERS3465400	LVC005.B	None	None	Generic.1.0	None	Yersinia pestis	Yersinia pestis	None	LVC005	632	None	None	None	None	None	None	None	None	None	None	2019/05/29	2019/06/21	2019/05/29	EBI	KEEP
25	11906265	SAMEA5661380	None	PRJEB29991	ERS3465399	LVC005.A	None	None	Generic.1.0	None	Yersinia pestis	Yersinia pestis	None	LVC005	632	None	None	None	None	None	None	None	None	None	None	2019/05/29	2019/06/21	2019/05/29	EBI	KEEP
26	11906264	SAMEA5661379	None	PRJEB29991	ERS3465398	LVC001.C	None	None	Generic.1.0	None	Yersinia pestis	Yersinia pestis	None	LVC001	632	None	None	None	None	None	None	None	None	None	None	2019/05/29	2019/06/21	2019/05/29	EBI	KEEP
27	11906263	SAMEA5661378	None	PRJEB29991	ERS3465397	LVC001.B	None	None	Generic.1.0	None	Yersinia pestis	Yersinia pestis	None	LVC001	632	None	None	None	None	None	None	None	None	None	None	2019/05/29	2019/06/21	2019/05/29	EBI	KEEP
28	11906262	SAMEA5661377	None	PRJEB29991	ERS3465396	LSD026.A	None	None	Generic.1.0	None	Yersinia pestis	Yersinia pestis	None	LSD026	632	None	None	None	None	None	None	None	None	None	None	2019/05/29	2019/06/21	2019/05/29	EBI	KEEP
29	11906261	SAMEA5661376	None	PRJEB29991	ERS3465395	LSD024.A	None	None	Generic.1.0	None	Yersinia pestis	Yersinia pestis	None	LSD024	632	None	None	None	None	None	None	None	None	None	None	2019/05/29	2019/06/21	2019/05/29	EBI	KEEP
30	11906260	SAMEA5661375	None	PRJEB29991	ERS3465394	LSD023.A	None	None	Generic.1.0	None	Yersinia pestis	Yersinia pestis	None	LSD023	632	None	None	None	None	None	None	None	None	None	None	2019/05/29	2019/06/21	2019/05/29	EBI	KEEP
31	11906259	SAMEA5661374	None	PRJEB29991	ERS3465393	LSD022.A	None	None	Generic.1.0	None	Yersinia pestis	Yersinia pestis	None	LSD022	632	None	None	None	None	None	None	None	None	None	None	2019/05/29	2019/06/21	2019/05/29	EBI	KEEP
32	11906258	SAMEA5661373	None	PRJEB29991	ERS3465392	LSD021.A	None	None	Generic.1.0	None	Yersinia pestis	Yersinia pestis	None	LSD021	632	None	None	None	None	None	None	None	None	None	None	2019/05/29	2019/06/21	2019/05/29	EBI	KEEP
33	11906257	SAMEA5661372	None	PRJEB29991	ERS3465391	LSD020.A	None	None	Generic.1.0	None	Yersinia pestis	Yersinia pestis	None	LSD020	632	None	None	None	None	None	None	None	None	None	None	2019/05/29	2019/06/21	2019/05/29	EBI	KEEP
34	11906256	SAMEA5661371	None	PRJEB29991	ERS3465390	LSD019.A	None	None	Generic.1.0	None	Yersinia pestis	Yersinia pestis	None	LSD019	632	None	None	None	None	None	None	None	None	None	None	2019/05/29	2019/06/21	2019/05/29	EBI	KEEP
35	11906255	SAMEA5661370	None	PRJEB29991	ERS3465389	LSD013.A	None	None	Generic.1.0	None	Yersinia pestis	Yersinia pestis	None	LSD013	632	None	None	None	None	None	None	None	None	None	None	2019/05/29	2019/06/21	2019/05/29	EBI	KEEP
36	11906254	SAMEA5661369	None	PRJEB29991	ERS3465388	LSD007.A	None	None	Generic.1.0	None	Yersinia pestis	Yersinia pestis	None	LSD007	632	None	None	None	None	None	None	None	None	None	None	2019/05/29	2019/06/21	2019/05/29	EBI	KEEP
37	11906253	SAMEA5661368	None	PRJEB29991	ERS3465387	LSD002.A	None	None	Generic.1.0	None	Yersinia pestis	Yersinia pestis	None	LSD002	632	None	None	None	None	None	None	None	None	None	None	2019/05/29	2019/06/21	2019/05/29	EBI	KEEP
38	11906252	SAMEA5661367	None	PRJEB29991	ERS3465386	LSD001.A	None	None	Generic.1.0	None	Yersinia pestis	Yersinia pestis	None	LSD001	632	None	None	None	None	None	None	None	None	None	None	2019/05/29	2019/06/21	2019/05/29	EBI	KEEP
39	11906251	SAMEA5661366	None	PRJEB29991	ERS3465385	EDI005.A	None	None	Generic.1.0	None	Yersinia pestis	Yersinia pestis	None	EDI005	632	None	None	None	None	None	None	None	None	None	None	2019/05/29	2019/06/21	2019/05/29	EBI	KEEP
40	11906250	SAMEA5661365	None	PRJEB29991	ERS3465384	EDI004.A	None	None	Generic.1.0	None	Yersinia pestis	Yersinia pestis	None	EDI004	632	None	None	None	None	None	None	None	None	None	None	2019/05/29	2019/06/21	2019/05/29	EBI	KEEP
41	11906249	SAMEA5661364	None	PRJEB29991	ERS3465383	EDI003.A	None	None	Generic.1.0	None	Yersinia pestis	Yersinia pestis	None	EDI003	632	None	None	None	None	None	None	None	None	None	None	2019/05/29	2019/06/21	2019/05/29	EBI	KEEP
42	11906248	SAMEA5661363	None	PRJEB29991	ERS3465382	EDI001.A	None	None	Generic.1.0	None	Yersinia pestis	Yersinia pestis	None	EDI001	632	None	None	None	None	None	None	None	None	None	None	2019/05/29	2019/06/21	2019/05/29	EBI	KEEP
43	11906247	SAMEA5661362	None	PRJEB29991	ERS3465381	DIT004.B	None	None	Generic.1.0	None	Yersinia pestis	Yersinia pestis	None	DIT004	632	None	None	None	None	None	None	None	None	None	None	2019/05/29	2019/06/21	2019/05/29	EBI	KEEP
44	11906246	SAMEA5661361	None	PRJEB29991	ERS3465380	DIT004.A	None	None	Generic.1.0	None	Yersinia pestis	Yersinia pestis	None	DIT004	632	None	None	None	None	None	None	None	None	None	None	2019/05/29	2019/06/21	2019/05/29	EBI	KEEP
45	11906245	SAMEA5661360	None	PRJEB29991	ERS3465379	DIT003.B	None	None	Generic.1.0	None	Yersinia pestis	Yersinia pestis	None	DIT003	632	None	None	None	None	None	None	None	None	None	None	2019/05/29	2019/06/21	2019/05/29	EBI	KEEP
46	4455485	SAMN04455485	None	PRJNA310777	SRS1274645	HFQ_RNA	None	None	Generic.1.0	strain: Yersinia pestis hfq mutant	Yersinia pestis	Yersinia pestis	None	Yersinia pestis hfq mutant	632	None	None	None	None	None	None	None	None	None	None	2019/06/20	2019/06/20	2019/06/20	Center for Genome Analysis, ABLife, Inc.	REMOVE: Experimental conditions
47	4455484	SAMN04455484	None	PRJNA310777	SRS1274646	HFQ_Flag_RNA	None	None	Generic.1.0	strain: Yersinia pestis hfq mutant carrying pACYC184-Hfq-Flag	Yersinia pestis	Yersinia pestis	None	Yersinia pestis hfq mutant carrying pACYC184-Hfq-Flag	632	None	None	None	None	None	None	None	None	None	None	2019/06/20	2019/06/20	2019/06/20	Center for Genome Analysis, ABLife, Inc.	REMOVE: Experimental conditions
48	4455483	SAMN04455483	None	PRJNA310777	SRS1274647	WT_Flag_RNA	None	None	Generic.1.0	strain: Yersinia pestis wild-type strain 201 carrying pACYC184-Flag	Yersinia pestis	Yersinia pestis	None	Yersinia pestis wild-type strain 201 carrying pACYC184-Flag	632	None	None	None	None	None	None	None	None	None	None	2019/06/20	2019/06/20	2019/06/20	Center for Genome Analysis, ABLife, Inc.	REMOVE: Experimental conditions
49	4455482	SAMN04455482	None	PRJNA310777	SRS1274648	HFQ_Flag_CLIP	None	None	Generic.1.0	strain: Yersinia pestis hfq mutant carrying pACYC184-Hfq-Flag	Yersinia pestis	Yersinia pestis	None	Yersinia pestis hfq mutant carrying pACYC184-Hfq-Flag	632	None	None	None	None	None	None	None	None	None	None	2019/06/20	2019/06/20	2019/06/20	Center for Genome Analysis, ABLife, Inc.	REMOVE: Experimental conditions
50	4455481	SAMN04455481	None	PRJNA310777	SRS1274649	WT_Flag_CLIP	None	None	Generic.1.0	strain: Yersinia pestis wild-type strain 201 carrying pACYC184-Flag	Yersinia pestis	Yersinia pestis	None	Yersinia pestis wild-type strain 201 carrying pACYC184-Flag	632	None	None	None	None	None	None	None	None	None	None	2019/06/20	2019/06/20	2019/06/20	Center for Genome Analysis, ABLife, Inc.	REMOVE: Experimental conditions
51	3161124	SAMN03161124	None	PRJNA240106	SRS1040976	Microbe sample Yersinia pestis Dodson	YPW_9	missing	Microbe.1.0	strain: Dodson	Yersinia pestis	Yersinia pestis	None	Dodson	632	O	1967	USA: Tuba City, AZ	Human (male, 4.5 yrs)	None	None	clinical sample	None	None	None	2014/11/04	2019/06/20	2014/11/04	Los Alamos National Laboratory	KEEP
52	3120838	SAMN03120838	None	PRJNA239341	SRS1024603	Microbe sample Yersinia pestis Shasta	YAA	missing	Microbe.1.0	strain: Shasta	Yersinia pestis	Yersinia pestis	None	Shasta	632	None	1954	USA: California	None	None	None	human	None	None	None	2014/10/20	2019/06/20	2014/10/20	Los Alamos National Laboratory	KEEP
53	2905649	SAMN02905649	None	PRJNA254747	SRS659643	Yersinia pestis str. EV76	S000547	irradiated cells	Microbe.1.0	strain: EV76	Yersinia pestis EV76-CN	Yersinia pestis EV76-CN	None	EV76	665028	None	missing	missing	None	None	None	missing	None	None	None	2014/07/09	2019/06/20	2014/07/09	US Army Edgewood Chemical Biological Center	REMOVE: Experimental conditions
54	2905648	SAMN02905648	None	PRJNA254747	SRS659642	Yersinia pestis str. EV76	S000546	control cells	Microbe.1.0	strain: EV76	Yersinia pestis EV76-CN	Yersinia pestis EV76-CN	None	EV76	665028	None	missing	missing	None	None	None	missing	None	None	None	2014/07/09	2019/06/20	2014/07/09	US Army Edgewood Chemical Biological Center	KEEP
55	2777961	SAMN02777961	None	PRJNA247716	None	Microbe sample from Yersinia pestis subsp. pestis	231(708)	missing	Microbe.1.0	strain: 231(708)	Yersinia pestis subsp. pestis	Yersinia pestis subsp. pestis	pestis	231-708	385964	None	1947	Kyrgyzstan	None	None	None	Marmota baibacina corpse	None	None	None	2014/05/15	2019/06/20	2014/05/15	Russian Research Antiplague Institute "Microbe"	KEEP
56	2769655	SAMN02769655	None	PRJNA240100	SRS605759	Microbe sample from Yersinia pestis	YPW_1	missing	Microbe.1.0	strain: Harbin35	Yersinia pestis	Yersinia pestis	None	Harbin35	632	Medievalis	1940	China: Manchuria	None	None	None	unknown	None	None	None	2014/05/12	2019/06/20	2014/05/12	Los Alamos National Laboratory	KEEP
57	2404404	SAMN02404404	None	PRJNA17691	None	Generic sample from Yersinia pestis biovar Antiqua str. UG05-0454	AAYR	None	Generic.1.0	strain: UG05-0454	None	Yersinia pestis biovar Antiqua str. UG05-0454	pestis	UG05-0454	404218	Antiqua	None	None	None	None	None	None	None	None	None	2013/11/15	2019/06/20	2013/11/15	TIGR	KEEP
58	2404403	SAMN02404403	None	PRJNA17689	None	Generic sample from Yersinia pestis biovar Orientalis str. MG05-1020	AAYS	None	Generic.1.0	strain: MG05-1020	None	Yersinia pestis biovar Orientalis str. MG05-1020	pestis	MG05-1020	404217	Orientalis	None	None	None	None	None	None	None	None	None	2013/11/15	2019/06/20	2013/11/15	TIGR	KEEP
59	2404402	SAMN02404402	None	PRJNA17687	None	Generic sample from Yersinia pestis biovar Mediaevalis str. K1973002	AAYT	None	Generic.1.0	strain: K1973002	None	Yersinia pestis biovar Mediaevalis str. K1973002	pestis	K1973002	404216	Mediaevalis	None	None	None	None	None	None	None	None	None	2013/11/15	2019/06/20	2013/11/15	TIGR	KEEP
60	2404401	SAMN02404401	None	PRJNA17685	None	Generic sample from Yersinia pestis biovar Antiqua str. B42003004	AAYU	None	Generic.1.0	strain: B42003004	None	Yersinia pestis biovar Antiqua str. B42003004	pestis	B42003004	404215	Antiqua	None	None	None	None	None	None	None	None	None	2013/11/15	2019/06/20	2013/11/15	TIGR	KEEP
61	2404400	SAMN02404400	None	PRJNA17683	None	Generic sample from Yersinia pestis biovar Antiqua str. E1979001	AAYV	None	Generic.1.0	strain: E1979001	None	Yersinia pestis biovar Antiqua str. E1979001	pestis	E1979001	360099	Antiqua	None	None	None	None	None	None	None	None	None	2013/11/15	2019/06/20	2013/11/15	TIGR	KEEP
62	2404399	SAMN02404399	None	PRJNA17681	None	Generic sample from Yersinia pestis biovar Orientalis str. F1991016	ABAT	None	Generic.1.0	strain: F1991016	None	Yersinia pestis biovar Orientalis str. F1991016	pestis	F1991016	404214	Orientalis	None	None	None	None	None	None	None	None	None	2013/11/15	2019/06/20	2013/11/15	TIGR	KEEP
63	2404398	SAMN02404398	None	PRJNA16376	None	Generic sample from Yersinia pestis biovar Orientalis str. IP275	AAOS	None	Generic.1.0	strain: IP275	None	Yersinia pestis biovar Orientalis str. IP275	pestis	IP275	373665	Orientalis	1995	Madagascar: Ambalavao district	None	None	None	16-year-old boy with bubonic plague	None	None	None	2013/11/15	2019/06/20	2013/11/15	TIGR	KEEP
64	2403943	SAMN02403943	None	PRJNA30509	None	Generic sample from Yersinia pestis biovar Orientalis str. PEXU2	ACNS	None	Generic.1.0	strain: PEXU2	None	Yersinia pestis biovar Orientalis str. PEXU2	pestis	PEXU2	547046	Orientalis	None	None	None	None	None	None	None	None	None	2013/11/15	2019/06/20	2013/11/15	ERIC (Enteropathogen Resource Integration Center)	KEEP
65	2403942	SAMN02403942	None	PRJNA30507	None	Generic sample from Yersinia pestis biovar Orientalis str. India 195	ACNR	None	Generic.1.0	strain: India 195	None	Yersinia pestis biovar Orientalis str. India 195	pestis	India195	547047	Orientalis	None	None	None	None	None	None	None	None	None	2013/11/15	2019/06/20	2013/11/15	ERIC (Enteropathogen Resource Integration Center)	KEEP
66	2403021	SAMN02403021	SAMN00115251	PRJNA47685	SRS116784	Generic sample from Yersinia pestis biovar Antiqua str. E1979001	ADRZ	None	Generic.1.0	strain: E1979001	None	Yersinia pestis biovar Antiqua str. E1979001	pestis	E1979001	360099	Antiqua	None	None	None	None	None	None	None	None	None	2013/11/15	2019/06/20	2013/11/15	Beijing Genomics Institute	REMOVE: Duplicate metadata record
67	1991273	SAMN01991273	None	PRJNA194125	SRS429126	Generic sample from Yersinia pestis	2106	None	Generic.1.0	strain: 2106	None	Yersinia pestis 2106	None	2106	1310201	None	2001	USA: NM	Homo sapiens	None	None	None	None	None	None	2013/03/27	2019/06/20	2013/03/27	CosmosID Inc.	KEEP
68	1991272	SAMN01991272	None	PRJNA194125	SRS429125	Generic sample from Yersinia pestis	2055	None	Generic.1.0	strain: 2055	None	Yersinia pestis 2055	None	2055	1310200	None	1998	USA: NM	Homo sapiens	None	None	None	None	None	None	2013/03/27	2019/06/20	2013/03/27	CosmosID Inc.	KEEP
69	1991271	SAMN01991271	None	PRJNA194125	SRS429118	Generic sample from Yersinia pestis	2965	None	Generic.1.0	strain: 2965	None	Yersinia pestis 2965	None	2965	1310199	None	1995	USA: NM	Homo sapiens	None	None	None	None	None	None	2013/03/27	2019/06/20	2013/03/27	CosmosID Inc.	KEEP
70	1991270	SAMN01991270	None	PRJNA194125	SRS429117	Generic sample from Yersinia pestis	4412	None	Generic.1.0	strain: 4412	None	Yersinia pestis 4412	None	4412	1310198	None	1991	USA: NM	Homo sapiens	None	None	None	None	None	None	2013/03/27	2019/06/20	2013/03/27	CosmosID Inc.	KEEP
71	1991269	SAMN01991269	None	PRJNA194125	SRS424521	Generic sample from Yersinia pestis	4954	None	Generic.1.0	strain: 4954	None	Yersinia pestis 4954	None	4954	1310197	None	1987	USA: NM	Homo sapiens	None	None	None	None	None	None	2013/03/27	2019/06/20	2013/03/27	CosmosID Inc.	KEEP
72	1991268	SAMN01991268	None	PRJNA194125	SRS424546	Generic sample from Yersinia pestis	1901b	None	Generic.1.0	strain: 1901b	None	Yersinia pestis 1901b	None	1901b	1310196	None	1983	USA: NM	Homo sapiens	None	None	None	None	None	None	2013/03/27	2019/06/20	2013/03/27	CosmosID Inc.	KEEP
73	2602918	SAMN02602918	None	None	None	Clinical or host-associated pathogen sample for Brucella melitensis	Brucella melitensis 548	None	Pathogen.cl.1.0	strain: 548; isolate: biotype 1	Brucella melitensis 548	Brucella melitensis 548	None	548	1457189	None	04-Sep-1948	Russia: Saratov region	Ovis aries	brucelliosis	None	fetus	None	51.53 N 46.00 E	None	2014/01/30	2019/06/13	2014/01/30	The Federal Government Health Institution "Stavropol Plague Control Reseach Institute" of the Federal Service for Supervision in the Sphere of Consumer Rights Protection and Human Welfare	REMOVE: Incorrect organism
74	2640258	SAMN02640258	None	None	SRS557313	Clinical or host-associated pathogen sample for Oropsylla silantiewi	flea	None	Model.organism.animal.1.0	None	Oropsylla silantiewi	Oropsylla silantiewi	None	None	1461318	None	Dec-2012	China: Huzhu County, Qinghai	Marmota himalayana	plague	None	bushwood	None	36.92580667 N 102.38171 E	None	2014/02/13	2019/06/12	2014/02/13	Northwest Institute of Plateau Biology, Chinese Academy of Sciences	REMOVE: Incorrect organism
75	12012142	SAMN12012142	None	PRJNA548232	None	Pathogen: clinical or host-associated sample from Yersinia pestis	Yersinia pestis C-371	None	Pathogen.cl.1.0	strain: C-371	Yersinia pestis	Yersinia pestis	None	C-371	632	None	1978	Russia	Cricetulus migratorius	plague	None	Corpse	None	41.993889 N 47.270556 E	None	2019/06/11	2019/06/11	2019/06/11	Stavropol Plague Control Reseach Institute	KEEP
76	12012133	SAMN12012133	None	PRJNA548232	None	Pathogen: clinical or host-associated sample from Yersinia pestis	Yersinia pestis C-284	None	Pathogen.cl.1.0	strain: C-284	Yersinia pestis	Yersinia pestis	None	C-284	632	None	1971	Russia	Spermophilus pygmaeus	plague	None	Corpse	None	43.433211 N 42.146785 E	None	2019/06/11	2019/06/11	2019/06/11	Stavropol Plague Control Reseach Institute	KEEP
77	12012131	SAMN12012131	None	PRJNA548232	None	Pathogen: clinical or host-associated sample from Yersinia pestis	Yersinia pestis C-281	None	Pathogen.cl.1.0	strain: C-281	Yersinia pestis	Yersinia pestis	None	C-281	632	None	1970	Russia	Spermophilus pygmaeus	plague	None	Corpse	None	43.416111 N 44.691667 E	None	2019/06/11	2019/06/11	2019/06/11	Stavropol Plague Control Reseach Institute	KEEP
78	12012010	SAMN12012010	None	PRJNA548232	None	Pathogen: clinical or host-associated sample from Yersinia pestis	Yersinia pestis C-273	None	Pathogen.cl.1.0	strain: C-273	Yersinia pestis	Yersinia pestis	None	C-273	632	None	1969	Armenia	Microtus arvalis	plague	None	Corpse	None	41.0375 N 43.858056 E	None	2019/06/11	2019/06/11	2019/06/11	Stavropol Plague Control Reseach Institute	KEEP
79	12011946	SAMN12011946	None	PRJNA548232	None	Pathogen: clinical or host-associated sample from Yersinia pestis	Yersinia pestis C-232	None	Pathogen.cl.1.0	strain: C-232	Yersinia pestis	Yersinia pestis	None	C-232	632	None	1968	Azerbaijan	Microtus arvalis	plague	None	Fleas	None	39.483333 N 45.666667 E	None	2019/06/11	2019/06/11	2019/06/11	Stavropol Plague Control Reseach Institute	KEEP
80	12011930	SAMN12011930	None	PRJNA548232	None	Pathogen: clinical or host-associated sample from Yersinia pestis	Yersinia pestis C-231	None	Pathogen.cl.1.0	strain: C-231	Yersinia pestis	Yersinia pestis	None	C-231	632	None	1968	Azerbaijan	Meriones libycus	plague	None	Fleas Mesopsylla apscheronica	None	40.6075 N 46.7925 E	None	2019/06/11	2019/06/11	2019/06/11	Stavropol Plague Control Reseach Institute	KEEP
