id	BioProject_id	BioProjectAccession	BioProjectDataType	BioProjectDescription	BioProjectMethodType	BioProjectName	BioProjectTargetCapture	BioProjectTargetMaterial	BioProjectTargetScope	BioProjectTitle	BioProjectType	BioProjectOrganismLabel	BioProjectOrganismStrain	BioProjectSupergroup	BioProjectTaxonomicID	BioProjectRegistrationDate	BioProjectRelevanceMedical	BioProjectSequencingStatus	BioProjectSubmitterOrganization	BioProjectComment
11	527020	PRJNA527020	Genome sequencing and assembly	Vibrio cholerae str. 286	Sequencing	Vibrio cholerae strain:286	Whole	Genome	Monoisolate	Vibrio cholerae strain:286 Genome sequencing	Primary submission	None	286	Bacteria	666	2019/03/19 00:00	yes	Contigs	Stavropol Plague Control Reseach Institute	None
12	527019	PRJNA527019	Genome sequencing and assembly	Vibrio cholerae str. 157D	Sequencing	Vibrio cholerae strain:157D	Whole	Genome	Monoisolate	Vibrio cholerae strain:157D Genome sequencing	Primary submission	None	157D	Bacteria	666	2019/03/19 00:00	yes	Contigs	Stavropol Plague Control Reseach Institute	None
13	527015	PRJNA527015	Genome sequencing and assembly	Vibrio cholerae 123AZ	Sequencing	Vibrio cholerae strain:123AZ	Whole	Genome	Monoisolate	Vibrio cholerae strain:123AZ Genome sequencing	Primary submission	None	123AZ	Bacteria	666	2019/03/19 00:00	yes	Contigs	Stavropol Plague Control Reseach Institute	None
14	527010	PRJNA527010	Genome sequencing and assembly	Vubrio cholerae O1 str. 180D	Sequencing	Vibrio cholerae strain:180D	Whole	Genome	Monoisolate	Vibrio cholerae strain:180D Genome sequencing	Primary submission	None	180D	Bacteria	666	2019/03/19 00:00	yes	Contigs	Stavropol Plague Control Reseach Institute	None
15	524600	PRJNA524600	Genome sequencing	Vibrio cholerae strain 20000	Sequencing	Vibrio cholerae strain:20000	Whole	Genome	Monoisolate	Vibrio cholerae strain:20000 Genome sequencing	Primary submission	None	20000	Bacteria	666	2019/03/06 00:00	None	Complete	Research Institute for Plague Control	None
16	509561	PRJNA509561	Genome sequencing and assembly	Brucella abortus C-615	Sequencing	Brucella abortus strain:C-615	Whole	Genome	Monoisolate	Brucella abortus strain:C-615 Genome sequencing and assembly	Primary submission	None	C-615	Bacteria	235	2018/12/23 00:00	None	Contigs	Stavropol Plague Control Reseach Institute	None
17	509560	PRJNA509560	Genome sequencing and assembly	Brucella abortus C-614	Sequencing	Brucella abortus strain:C-614	Whole	Genome	Monoisolate	Brucella abortus strain:C-614 Genome sequencing and assembly	Primary submission	None	C-614	Bacteria	235	2018/12/23 00:00	None	Contigs	Stavropol Plague Control Reseach Institute	None
18	509553	PRJNA509553	Genome sequencing and assembly	Brucella abortus C-613	Sequencing	Brucella abortus strain:C-613	Whole	Genome	Monoisolate	Brucella abortus strain:C-613 Genome sequencing and assembly	Primary submission	None	C-613	Bacteria	235	2018/12/23 00:00	None	Contigs	Stavropol Plague Control Reseach Institute	None
19	509546	PRJNA509546	Genome sequencing and assembly	Brucella abortus C-612	Sequencing	Brucella abortus strain:C-612	Whole	Genome	Monoisolate	Brucella abortus strain:C-612 Genome sequencing and assembly	Primary submission	None	C-612	Bacteria	235	2018/12/23 00:00	yes	Contigs	Stavropol Plague Control Reseach Institute	None
20	509541	PRJNA509541	Genome sequencing and assembly	Brucella abortus N1	Sequencing	Brucella abortus strain:N1	Whole	Genome	Monoisolate	Brucella abortus strain:N1 Genome sequencing and assembly	Primary submission	None	N1	Bacteria	235	2018/12/23 00:00	None	Contigs	Stavropol Plague Control Reseach Institute	None
21	509146	PRJNA509146	Genome sequencing and assembly	Himalayan marmot is the host of Yersinia pestis. So we investigate the animal every year for the regular monitor .	Sequencing	Lactobacillus sp. HT170-2	Whole	Genome	Monoisolate	Lactobacillus sp. HT170-2 Genome sequencing and assembly	Primary submission	None	HT170-2	Bacteria	2495900	2019/01/09 00:00	yes	Scaffolds	China CDC	None
22	509135	PRJNA509135	Genome sequencing and assembly	Himalayan marmot is the host of Yersinia pestis. They are the target monitored every year,so we want to know about the microbial of their gut. Then we isolate the samples of this animal feces.	Sequencing	Lactobacillus sp. HT111-2	Whole	Genome	Monoisolate	Lactobacillus sp. HT111-2 Genome sequencing and assembly	Primary submission	None	HT111-2	Bacteria	2495899	2019/01/09 00:00	yes	Scaffolds	China CDC	None
23	507390	PRJEB24499	Other	Over the last few years, genomic studies on Yersinia pestis, the causative agent of all known plague epidemics, have considerably increased in numbers, focusing on strains attributed to the second pandemic (14th-18th c.). We carried out a comprehensive revision of the current phylogeny of Y. pestis strains from recent isolates back to Bronze Age samples, spanning a period of about 5,000 years.	Sequencing	Yersinia aDNA from the Second Plague Pandemic in Europe	Whole	Genome	Monoisolate	Integrative approach using novel Yersinia pestis genomes to revisit the historical landscape of plague during the Medieval Period	Primary submission	None	None	None	0	2018/11/28 00:00	None	SRA/Trace	CEES - Centre for Ecological and Evolutionary Synthesis	None
24	507081	PRJNA507081	Genome sequencing and assembly	Sequencing the genomes of isolates of B. anthracis from Russia	Sequencing	Bacillus anthracis strain:81/1	Whole	Genome	Monoisolate	Bacillus anthracis strain:81/1 Genome sequencing and assembly	Primary submission	None	81/1	Bacteria	1392	2018/12/03 00:00	yes	Contigs	Stavropol Plague Control Reseach Institute	None
25	499009	PRJNA499009	Genome sequencing and assembly	Vibrio cholerae O47 strain 9760	Sequencing	Vibrio cholerae strain:9760	Whole	Genome	Monoisolate	Vibrio cholerae strain:9760 Genome sequencing and assembly	Primary submission	None	9760	Bacteria	666	2018/11/05 00:00	None	Contigs	Research Institute for Plague Control	None
26	495602	PRJNA495602	Transcriptome or Gene expression	human peripheral lymphocytes were infected with the full virulent strain 141 or human avirulent Microtus strain 201, and their transcriptomes were determined and compared. The most impressive finding is that robust responses of lysosome, TLR signaling and FcR mediated phagocytosis pathways were provoked at 2 hpi in 201- but not in 141-infected lymphocytes, suggesting that human lymphocytes might be able to constrain infection caused by strain 201 but not 141. Overall design: We used RNA-sequencing technology to analyze transcriptomic of human peripheral lymphocytes infected with the full virulent strain 141 or human avirulent Microtus strain 201, and these transcriptomes were  further compared and functionally validated.	Sequencing	Human macrophages exhibit high activity to clear intracellular biovar Microtus strain of Y. pestis	Whole	Transcriptome	Multiisolate	Human macrophages exhibit high activity to clear intracellular biovar Microtus strain of Y. pestis	Primary submission	None	None	Eukaryotes	9606	2018/10/10 00:00	Yes	SRA/Trace	Beijing Institute of Microbiology and Epidemiology	None
27	492867	PRJEB24501	Other	Louse-borne relapsing fever (LBRF) is known to have killed millions of people over the course of European history and remains a major cause of mortality in parts of the world. Its pathogen, Borrelia recurrentis, shares a common vector with global killers, such as typhus and plague, and is known for its involvement in devastating historical epidemics, such as the Irish Potato Famine. Here, we describe a European and historical genome of B. recurrentis, recovered from a 15th-century skeleton from Oslo, Norway. Our distinct European lineage has a discrete genomic makeup, showcasing an ancestral oppA-1 gene and gene loss in antigenic variation sites. Our results illustrate the potential of ancient DNA research to elucidate dynamics of reductive evolution in a specialised human pathogen and to uncover aspects of human health usually invisible to the archaeological record.	Sequencing	15th-century LBRF	Whole	Genome	Monoisolate	Genomic blueprint of a relapsing fever pathogen in 15th century Scandinavia.	Primary submission	None	None	None	0	2018/09/24 00:00	None	SRA/Trace	CEES - Centre for Ecological and Evolutionary Synthesis	None
28	477262	PRJNA477262	Genome sequencing and assembly	Burkholderia cepacia clinical isolate from Vietnam	Sequencing	Burkholderia cepacia strain:PT02	Whole	Genome	Monoisolate	Burkholderia cepacia strain:PT02 Genome sequencing and assembly	Primary submission	None	PT02	Bacteria	292	2018/06/26 00:00	yes	Scaffolds	Volgograd Plague Control Research Institute	None
29	477261	PRJNA477261	Genome sequencing and assembly	Burkholderia pseudomallei laboratory selection isolate	Sequencing	Burkholderia pseudomallei strain:4811R	Whole	Genome	Monoisolate	Burkholderia pseudomallei strain:4811R Genome sequencing and assembly	Primary submission	None	4811R	Bacteria	28450	2018/06/26 00:00	yes	Scaffolds	Volgograd Plague Control Research Institute	None
30	477260	PRJNA477260	Genome sequencing and assembly	Burkholderia pseudomallei laboratory selection isolate	Sequencing	Burkholderia pseudomallei strain:4802R	Whole	Genome	Monoisolate	Burkholderia pseudomallei strain:4802R Genome sequencing and assembly	Primary submission	None	4802R	Bacteria	28450	2018/06/26 00:00	yes	Scaffolds	Volgograd Plague Control Research Institute	None
31	477259	PRJNA477259	Genome sequencing and assembly	Burkholderia pseudomallei clinical isolate from Vietnam	Sequencing	Burkholderia pseudomallei strain:1701	Whole	Genome	Monoisolate	Burkholderia pseudomallei strain:1701 Genome sequencing and assembly	Primary submission	None	1701	Bacteria	28450	2018/06/26 00:00	yes	Scaffolds	Volgograd Plague Control Research Institute	None
32	477258	PRJNA477258	Genome sequencing and assembly	Bukholderia pseudomallei soil isolate from Vietnam	Sequencing	Burkholderia pseudomallei strain:4802	Whole	Genome	Monoisolate	Burkholderia pseudomallei strain:4802 Genome sequencing and assembly	Primary submission	None	4802	Bacteria	28450	2018/06/26 00:00	yes	Scaffolds	Volgograd Plague Control Research Institute	None
33	477257	PRJNA477257	Genome sequencing and assembly	Bukholderia pseudomallei soil isolate from Vietnam	Sequencing	Burkholderia pseudomallei strain:4811	Whole	Genome	Monoisolate	Burkholderia pseudomallei strain:4811 Genome sequencing and assembly	Primary submission	None	4811	Bacteria	28450	2018/06/26 00:00	yes	Scaffolds	Volgograd Plague Control Research Institute	None
34	475632	PRJNA475632	Genome sequencing and assembly	Yersinia pseudotuberculosis, closely related to Yersinia pestis, is a human pathogen and model organism for studying bacterial pathogenesis. To aid in genomic analysis and understanding bacterial virulence, we sequenced and assembled the complete genome of the human pathogen, Yersinia pseudotuberculosis IP2666pIB1.	Sequencing	Yersinia pseudotuberculosis strain:IP2666pIB1	Whole	Genome	Monoisolate	Complete Genome of Yersinia pseudotuberculosis IP2666pIB1	Primary submission	None	IP2666pIB1	Bacteria	633	2018/11/23 00:00	None	Complete	University of California - Santa Cruz	None
35	475347	PRJEB24296	Other	The origin of Yersinia pestis and the early stages of its evolution are fundamental subjects of investigation given its high virulence and mortality that resulted from past pandemics. Although the earliest evidence of Y. pestis infections in humans has been identified in Late Neolithic and Bronze Age (LNBA 5000-3500y BP) individuals from Eurasia, these strains lack key genetic components required for flea adaptation, thus making their mode of transmission and disease presentation in humans unclear. Additionally, it has been previously suggested that Y. pestis did not become adapted to fleas until 3000 years ago. Here, we reconstruct ancient Y. pestis genomes from individuals associated with the Late Bronze Age (LBA) period (~3800 BP) in the Samara region of modern-day Russia. We show clear distinctions between our newly reported strains and the LNBA lineage, and suggest that the full ability for flea-mediated transmission causing bubonic plague evolved more than 1000 years earlier than previously suggested. Finally, we propose that several Y. pestis lineages were established during the Bronze Age, some of which have persisted to the present day.	Sequencing	None	Whole	Genome	Monoisolate	Analysis of 3800-year-old Yersinia pestis genomes suggests Bronze Age origin for bubonic plague	Primary submission	None	None	None	0	2018/06/09 00:00	None	SRA/Trace	Max Planck Institute for the Science of Human History	None
36	472875	PRJNA472875	Genome sequencing and assembly	Shigella sonnei strain 2013	Sequencing	Shigella sonnei strain:8600	Whole	Genome	Monoisolate	Shigella sonnei strain:8600 Genome sequencing and assembly	Primary submission	None	8600	Bacteria	624	2018/05/30 00:00	yes	Contigs	Stavropol Plague Control Reseach Institute	None
37	472074	PRJNA472074	Transcriptome or Gene expression	Nezara viridula, known as the stink bug, is a crop plague. We obtained and analyzed the adult transcriptome in order to identify genes involved in phyisiological processes and in its survival	Sequencing	None	Whole	Genome	Multispecies	Nezara viridula Transcriptomics	Primary submission	None	None	None	0	2018/05/18 00:00	None	SRA/Trace	CeBIO	None
38	470809	PRJNA470809	Genome sequencing and assembly	Vibrio cholerae str. 16241D	Sequencing	Vibrio cholerae strain:16241D	Whole	Genome	Monoisolate	Vibrio cholerae strain:16241D Genome sequencing and assembly	Primary submission	None	16241D	Bacteria	666	2018/05/16 00:00	yes	Contigs	Stavropol Plague Control Reseach Institute	None
39	470808	PRJNA470808	Genome sequencing and assembly	Vibrio cholerae str. 10213D	Sequencing	Vibrio cholerae strain:10213D	Whole	Genome	Monoisolate	Vibrio cholerae strain:10213D Genome sequencing and assembly	Primary submission	None	10213D	Bacteria	666	2018/07/18 00:00	yes	Contigs	Stavropol Plague Control Reseach Institute	None
40	470802	PRJNA470802	Genome sequencing and assembly	Vibrio cholerae str. 1270D	Sequencing	Vibrio cholerae strain:1270D	Whole	Genome	Monoisolate	Vibrio cholerae strain:1270D Genome sequencing and assembly	Primary submission	None	1270D	Bacteria	666	2018/05/16 00:00	yes	Contigs	Stavropol Plague Control Reseach Institute	None
41	470798	PRJNA470798	Genome sequencing and assembly	Vibrio cholerae str. 169D	Sequencing	Vibrio cholerae strain:169D	Whole	Genome	Monoisolate	Vibrio cholerae strain:169D Genome sequencing and assembly	Primary submission	None	169D	Bacteria	666	2018/05/16 00:00	yes	Contigs	Stavropol Plague Control Reseach Institute	None
42	470753	PRJNA470753	Genome sequencing and assembly	Vibrio cholerae str. 41D	Sequencing	Vibrio cholerae strain:41D	Whole	Genome	Monoisolate	Vibrio cholerae strain:41D Genome sequencing and assembly	Primary submission	None	41D	Bacteria	666	2018/05/16 00:00	yes	Contigs	Stavropol Plague Control Reseach Institute	None
43	454192	PRJNA454192	Genome sequencing and assembly	Vibrio cholerae nonO1/nonO139 str. 9507	Sequencing	Vibrio cholerae strain:9507	Whole	Genome	Monoisolate	Vibrio cholerae strain:9507 Genome sequencing and assembly	Primary submission	None	9507	Bacteria	666	2018/05/07 00:00	None	Scaffolds	Research Institute for Plague Control	None
44	454191	PRJNA454191	Genome sequencing and assembly	V.cholerae El Tor Ogawa 18963	Sequencing	Vibrio cholerae O1 biovar El Tor strain:Ogawa 18963	Whole	Genome	Monoisolate	Vibrio cholerae O1 biovar El Tor strain:Ogawa 18963 Genome sequencing and assembly	Primary submission	None	Ogawa 18963	Bacteria	686	2018/05/07 00:00	None	Contigs	Research Institute for Plague Control	None
45	450781	PRJEB25891	Other	For thousands of years, the Eurasian steppe has been a centre for human migrations and cultural change. To understand its population history following the Bronze Age migrations, we genome-sequenced 137 ancient humans (~1X average coverage) covering the past 4000 years. We find that Scythian groups that dominated the Eurasian steppe throughout the Iron Age, were highly structured, with diverse origins comprising Late Bronze Age herders, European farmers, and South Siberian hunter-gatherers. Later, Scythians admixed with eastern steppe nomads that formed the Xiongnu confederations, and moved westward in the ~3d/2nd century BCE, forming the Hun traditions in the 4th-5th century CE, carrying with them plague basal to the Justinian. These nomads were further admixed with East Asian groups during several short-term Medieval khanates. These historical events transformed the Eurasian steppe, from being inhabited by Indo-European speakers of largely western Eurasian ancestry, to the present-days mostly Turkic-speaking groups that are primarily of East Asian ancestry.	Sequencing	Eurasian plague 1st pandemic	Whole	Genome	Monoisolate	137 ancient human genomes from across the Eurasian steppe - plague data	Primary submission	None	None	None	0	2018/04/18 00:00	None	SRA/Trace	DTU	None
46	449269	PRJNA449269	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:139	Whole	Genome	Monoisolate	Yersinia pestis strain:139 Genome sequencing	Primary submission	None	139	Bacteria	632	2018/04/30 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe	None
47	448827	PRJNA448827	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:I-2422	Whole	Genome	Monoisolate	Yersinia pestis strain:I-2422 Genome sequencing	Primary submission	None	I-2422	Bacteria	632	2018/05/14 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe	None
48	448820	PRJNA448820	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:5M	Whole	Genome	Monoisolate	Yersinia pestis strain:5M Genome sequencing	Primary submission	None	5M	Bacteria	632	2018/04/30 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe	None
49	448814	PRJNA448814	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:262	Whole	Genome	Monoisolate	Yersinia pestis strain:262 Genome sequencing	Primary submission	None	262	Bacteria	632	2018/04/30 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe	None
50	438577	PRJNA438577	Genome sequencing and assembly	Vibrio cholerae O1 biovar El Tor Ogawa str. 2044	Sequencing	Vibrio cholerae strain:2044	Whole	Genome	Monoisolate	Vibrio cholerae strain:2044 Genome sequencing	Primary submission	None	2044	Bacteria	666	2018/03/21 00:00	yes	Contigs	Research Institute for Plague Control	None
51	436901	PRJNA436901	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:1393G	Whole	Genome	Monoisolate	Yersinia pestis strain:1393G Genome sequencing	Primary submission	None	1393G	Bacteria	632	2018/03/10 00:00	None	Contigs	Russian Research Anti-Plague institute "Microbe"	None
52	435238	PRJEB24937	Other	Recent ancient DNA (aDNA) studies of human pathogens have provided invaluable insights into their evolutionary history and prevalence in space and time. Most of these studies were based on DNA extracted from teeth or postcranial bones. In contrast, no pathogen DNA has been reported from the petrous bone which has become the most desired skeletal element in ancient DNA research due to to its high endogenous DNA content. To compare the potential for pathogenic aDNA retrieval from teeth and petrous bones, we sampled these elements from five ancient skeletons, previously shown to be carrying Y. pestis. Based on shotgun sequencing data, four of these five plague victims showed clearly detectable levels of Y. pestis DNA in the teeth whereas all the petrous bones failed to produce Y. pestis DNA above baseline levels. A broader comparative metagenomic analyses of teeth and petrous bones from 10 historical skeletons corroborated these results, showing a much higher microbial diversity in teeth than petrous bones, including pathogenic and oral microbial taxa. Our results imply that although petrous bones are highly valuable for ancient genomic analyses as an excellent source of endogenous DNA, the metagenomic potential of these dense skeletal elements is highly limited. This trade-off must be carefully considered when designing the sampling strategy for an aDNA project.	Sequencing	No ancient pathogen DNA in petrous bones	Whole	Genome	Monoisolate	Ancient pathogen DNA in human teeth and petrous bones	Primary submission	None	None	None	0	2018/02/21 00:00	None	SRA/Trace	CENTRE FOR GEOGENETICS	None
53	431599	PRJNA431599	Genome sequencing and assembly	Vibrio cholerae O1 biovar El Tor str. 5879	Sequencing	Vibrio cholerae strain:5879	Whole	Genome	Monoisolate	Vibrio cholerae strain:5879 Genome sequencing	Primary submission	None	5879	Bacteria	666	2018/01/31 00:00	yes	Scaffolds	Research Institute for Plague Control	None
54	430987	PRJNA430987	Raw sequence reads	In this study, we sequenced and compared 38 strains of Yersinia pestis isolated from different hosts, including humans, Tibetan sheep and M. himalayana. Phylogenetic relationships were reconstructed based on genome-wide single nucleotide polymorphisms identified from our isolates and the reference strains.	Sequencing	Yersinia pestis	Whole	Genome	Multiisolate	Yersinia pestis Raw sequence reads	Primary submission	None	None	Bacteria	632	2018/01/20 00:00	None	SRA/Trace	Beijing Ditan Hospital, Capital Medical University	None
55	428012	PRJEB20658	Other	The Eurasian steppe, stretching about 8000 kilometres from Hungary and Romania in the west to Mongolia and western China in the east, is culturally among the most dynamic areas in the world. In the past four millennia, it has been variously dominated by Iranian-, Turkic- and Mongolic-speaking groups, and its temperate grasslands have been a crossroad for extensive movements of peoples, goods, and ideas between Europe, Siberia, South and East Asia. In order to understand the genetic history of the Eurasian steppe populations, we have sequenced 137 ancient genomes (~1X average coverage) spanning a 4000 years time series. We also genotyped 502 individuals from 16 contemporary self-reported ethnicities. We find evidence of a highly dynamic population history; the Iranian-speaking Scythians that dominated the Eurasian steppe throughout the Iron Age (~1 millennium BCE to common era) emerged following admixture between Late Bronze Age herders of western Eurasian descent and East Asian hunter-gatherers. The steppe nomads later further admixed with Turkic-speaking groups of East Asian ancestry that spread westward across the steppe in multiple waves: firstly, the Xiongnu confederations that emerged in Mongolia around the 3nd/2nd century BC; secondly, the Huns (4-5th century CE), infected with plague basal to the Justinian Y. pestis strain that destabilized the eastern Roman Empire in the 6th century CE; and thirdly during various short term dynasties, including the Mongol Empire of Genghis Khan and his descendants. These recent historical events transformed the Eurasian steppe populations from being Indo-European speakers of largely western Eurasian ancestry to the present-day Turkic-speaking groups, primarily of East Asian ancestry.	Sequencing	None	Whole	Genome	Monoisolate	A population genomic history of the Eurasian steppe	Primary submission	None	None	None	0	2017/12/31 00:00	None	SRA/Trace	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	None
