id	BioSample_id	BioSampleAccession	BioSampleAccessionSecondary	BioSampleBioProjectAccession	BioSampleSRAAccession	BioSampleTitle	BioSampleName	BioSampleType	BioSamplePackage	BioSampleInfraspecies	BioSampleOrganism	BioSampleOrganismAlt	BioSampleSubSpecies	BioSampleStrain	BioSampleTaxonomyID	BioSampleBiovar	BioSampleSerovar	BioSampleCollectionDate	BioSampleGeographicLocation	BioSampleHost	BioSampleHostDisease	BioSampleHostHealthState	BioSampleIsolateNameAlias	BioSampleIsolationSource	BioSampleLat	BioSampleLatLon	BioSampleLon	BioSampleSubmissionDate	BioSampleModificationDate	BioSamplePublicationDate	BioSampleOrganization	BioSampleComment
21	13387509	SAMN13387509				Pathogen: clinical or host-associated sample from Vibrio cholerae	Vibrio cholerae 8048		Pathogen.cl.1.0		Vibrio cholerae	Vibrio cholerae		8048	666			21-Aug-1994	Russia	Homo sapiens	Cholera			unknown		missing		2019-11-26T06:55:04.123	2019-11-26T13:14:00.615	2019-11-26T00:00:00.000	Stavropol Plague Control Reseach Institute	REMOVE: Not Yersinia pestis
22	13387507	SAMN13387507				Pathogen: clinical or host-associated sample from Vibrio cholerae	Vibrio cholerae 5765Az		Pathogen.cl.1.0		Vibrio cholerae	Vibrio cholerae		5765Az	666			1991	Azerbaijan	Homo sapiens	Cholera			unknown		missing		2019-11-26T06:47:03.464	2019-11-26T06:47:03.464	2019-11-26T00:00:00.000	Stavropol Plague Control Reseach Institute	REMOVE: Not Yersinia pestis
23	13387502	SAMN13387502				Pathogen: clinical or host-associated sample from Vibrio cholerae	Vibrio cholerae 4017Az		Pathogen.cl.1.0		Vibrio cholerae	Vibrio cholerae		4017Az	666			1989	Azerbaijan	Homo sapiens	Cholera			unknown		missing		2019-11-26T06:40:03.222	2019-11-26T06:40:03.222	2019-11-26T00:00:00.000	Stavropol Plague Control Reseach Institute	REMOVE: Not Yersinia pestis
24	13387501	SAMN13387501				Pathogen: clinical or host-associated sample from Vibrio cholerae	Vibrio cholerae 3097Az		Pathogen.cl.1.0		Vibrio cholerae	Vibrio cholerae		3097Az	666			1989	Azerbaijan	Homo sapiens	Cholera			unknown		missing		2019-11-26T06:31:03.577	2019-11-26T06:31:03.577	2019-11-26T00:00:00.000	Stavropol Plague Control Reseach Institute	REMOVE: Not Yersinia pestis
25	13387477	SAMN13387477				Pathogen: clinical or host-associated sample from Vibrio cholerae	Vibrio cholerae 2278		Pathogen.cl.1.0		Vibrio cholerae	Vibrio cholerae		2278	666			1987	Russia	Homo sapiens	Cholera			unknown		missing		2019-11-26T06:22:03.301	2019-11-26T06:22:03.301	2019-11-26T00:00:00.000	Stavropol Plague Control Reseach Institute	REMOVE: Not Yersinia pestis
26	13387476	SAMN13387476				Pathogen: clinical or host-associated sample from Vibrio cholerae	Vibrio cholerae 454		Pathogen.cl.1.0		Vibrio cholerae	Vibrio cholerae		454	666			1990	Russia	Homo sapiens	Cholera			unknown		missing		2019-11-26T06:07:03.694	2019-11-26T06:07:03.694	2019-11-26T00:00:00.000	Stavropol Plague Control Reseach Institute	REMOVE: Not Yersinia pestis
27	13387475	SAMN13387475				Pathogen: clinical or host-associated sample from Vibrio cholerae	Vibrio cholerae 353Az		Pathogen.cl.1.0		Vibrio cholerae	Vibrio cholerae		353Az	666			1985	Azerbaijan	Homo sapiens	Cholera			unknown		missing		2019-11-26T06:00:06.198	2019-11-26T06:00:06.198	2019-11-26T00:00:00.000	Stavropol Plague Control Reseach Institute	REMOVE: Not Yersinia pestis
28	13387474	SAMN13387474				Pathogen: clinical or host-associated sample from Vibrio cholerae	Vibrio cholerae 77N		Pathogen.cl.1.0		Vibrio cholerae	Vibrio cholerae		77N	666			missing	Russia	Homo sapiens	Cholera			unknown		missing		2019-11-26T05:51:04.288	2019-11-26T05:51:04.288	2019-11-26T00:00:00.000	Stavropol Plague Control Reseach Institute	REMOVE: Not Yersinia pestis
29	13387472	SAMN13387472				Pathogen: clinical or host-associated sample from Vibrio cholerae	Vibrio cholerae 35D		Pathogen.cl.1.0		Vibrio cholerae	Vibrio cholerae		35D	666			17-oct-1998	Russia	Homo sapiens	Cholera			unknown		missing		2019-11-26T05:40:02.958	2019-11-26T05:40:02.958	2019-11-26T00:00:00.000	Stavropol Plague Control Reseach Institute	REMOVE: Not Yersinia pestis
30	13387026	SAMN13387026				Pathogen: clinical or host-associated sample from Vibrio cholerae	Vibrio cholerae 4		Pathogen.cl.1.0		Vibrio cholerae	Vibrio cholerae		4	666			1994	Russia	unknown	Cholera			unknown		missing		2019-11-26T05:29:03.776	2019-11-26T05:29:03.776	2019-11-26T00:00:00.000	Stavropol Plague Control Reseach Institute	REMOVE: Not Yersinia pestis
31	13387006	SAMN13387006				Pathogen: clinical or host-associated sample from Brucella abortus	Brucella abortus C-587		Pathogen.cl.1.0		Brucella abortus	Brucella abortus		C-587	235			17-Sep-2015	Russia	Homo sapiens	Brucellosis			blood		missing		2019-11-26T04:22:03.536	2019-11-26T13:14:00.574	2019-11-26T00:00:00.000	Stavropol Plague Control Reseach Institute	REMOVE: Not Yersinia pestis
32	13387000	SAMN13387000				Pathogen: clinical or host-associated sample from Brucella abortus	Brucella abortus I-181		Pathogen.cl.1.0		Brucella abortus	Brucella abortus		I-181	235			21-apr-1982	Russia	Homo sapiens	Brucellosis			blood		missing		2019-11-26T04:11:03.893	2019-11-26T13:14:00.547	2019-11-26T00:00:00.000	Stavropol Plague Control Reseach Institute	REMOVE: Not Yersinia pestis
33	13386990	SAMN13386990				Pathogen: clinical or host-associated sample from Brucella abortus	Brucella abortus I-34		Pathogen.cl.1.0		Brucella abortus	Brucella abortus		I-34	235			23-Feb-1958	Russia	Bos taurus	Brucellosis			unknown		missing		2019-11-26T04:00:05.253	2019-11-26T13:14:00.522	2019-11-26T00:00:00.000	Stavropol Plague Control Reseach Institute	REMOVE: Not Yersinia pestis
34	13386970	SAMN13386970				Pathogen: clinical or host-associated sample from Brucella abortus	Brucella abortus I-29		Pathogen.cl.1.0		Brucella abortus	Brucella abortus		I-29	235			1958	Russia	Bos taurus	Brucellosis			unknown		missing		2019-11-26T03:51:03.620	2019-11-26T13:14:00.496	2019-11-26T00:00:00.000	Stavropol Plague Control Reseach Institute	REMOVE: Not Yersinia pestis
35	13386912	SAMN13386912				Pathogen: clinical or host-associated sample from Brucella abortus	Brucella abortus I-12		Pathogen.cl.1.0		Brucella abortus	Brucella abortus		I-12	235			20-nov-1948	Russia	Homo sapiens	Brucellosis			blood		missing		2019-11-26T03:41:04.133	2019-11-26T13:14:00.470	2019-11-26T00:00:00.000	Stavropol Plague Control Reseach Institute	REMOVE: Not Yersinia pestis
36	13386911	SAMN13386911				Pathogen: clinical or host-associated sample from Brucella abortus	Brucella abortus I-2		Pathogen.cl.1.0		Brucella abortus	Brucella abortus		I-2	235			29-jun-1945	Russia	Homo sapiens	Brucellosis			blood		missing		2019-11-26T03:32:03.116	2019-11-26T13:14:00.444	2019-11-26T00:00:00.000	Stavropol Plague Control Reseach Institute	REMOVE: Not Yersinia pestis
37	13386900	SAMN13386900				Pathogen: clinical or host-associated sample from Brucella abortus	Brucella abortus C-577		Pathogen.cl.1.0		Brucella abortus	Brucella abortus		C-577	235			15-jun-2015	Russia	Homo sapiens	Brucellosis			blood		missing		2019-11-26T03:16:04.113	2019-11-26T13:14:00.419	2019-11-26T00:00:00.000	Stavropol Plague Control Reseach Institute	REMOVE: Not Yersinia pestis
38	13386896	SAMN13386896				Pathogen: clinical or host-associated sample from Brucella abortus	Brucella abortus C-551		Pathogen.cl.1.0		Brucella abortus	Brucella abortus		C-551	235			26-Jul-2012	Russia	Homo sapiens	Brucellosis			blood		missing		2019-11-26T02:58:03.560	2019-11-26T13:14:00.393	2019-11-26T00:00:00.000	Stavropol Plague Control Reseach Institute	REMOVE: Not Yersinia pestis
39	13386894	SAMN13386894				Pathogen: clinical or host-associated sample from Brucella abortus	Brucella abortus C-550		Pathogen.cl.1.0		Brucella abortus	Brucella abortus		C-550	235			18-Jul-2012	Russia	Homo sapiens	Brucellosis			blood		missing		2019-11-26T02:48:11.930	2019-11-26T13:14:00.364	2019-11-26T00:00:00.000	Stavropol Plague Control Reseach Institute	REMOVE: Not Yersinia pestis
40	13386803	SAMN13386803				Pathogen: clinical or host-associated sample from Brucella abortus	Brucella abortus 1552		Pathogen.cl.1.0		Brucella abortus	Brucella abortus		1552	235			1962	Russia	Homo sapiens	Brucellosis			blood		missing		2019-11-26T02:25:07.833	2019-11-26T13:14:00.338	2019-11-26T00:00:00.000	Stavropol Plague Control Reseach Institute	REMOVE: Not Yersinia pestis
41	13386788	SAMN13386788				Pathogen: clinical or host-associated sample from Brucella abortus	Brucella abortus 420		Pathogen.cl.1.0		Brucella abortus	Brucella abortus		420	235			21-aug-1972	Armenia	Bos taurus	Brucellosis			unknown		missing		2019-11-26T02:13:06.726	2019-11-26T13:14:00.312	2019-11-26T00:00:00.000	Stavropol Plague Control Reseach Institute	REMOVE: Not Yersinia pestis
42	13386681	SAMN13386681				Pathogen: clinical or host-associated sample from Brucella abortus	Brucella abortus 403		Pathogen.cl.1.0		Brucella abortus	Brucella abortus		403	235			10-nov-1971	Russia	Bos taurus	Brucellosis			unknown		missing		2019-11-26T01:35:03.653	2019-11-26T13:14:00.287	2019-11-26T00:00:00.000	Stavropol Plague Control Reseach Institute	REMOVE: Not Yersinia pestis
43	13386655	SAMN13386655				Pathogen: clinical or host-associated sample from Brucella abortus	Brucella abortus 401		Pathogen.cl.1.0		Brucella abortus	Brucella abortus		401	235			10-oct-1971	Russia	Bos taurus	Brucellosis			unknown		missing		2019-11-26T01:25:03.950	2019-11-26T13:14:00.261	2019-11-26T00:00:00.000	Stavropol Plague Control Reseach Institute	REMOVE: Not Yersinia pestis
44	13386654	SAMN13386654				Pathogen: clinical or host-associated sample from Brucella abortus	Brucella abortus 390		Pathogen.cl.1.0		Brucella abortus	Brucella abortus		390	235			18-may-1971	Russia	Bos taurus	Brucellosis			unknown		missing		2019-11-26T01:14:09.496	2019-11-26T13:14:00.237	2019-11-26T00:00:00.000	Stavropol Plague Control Reseach Institute	REMOVE: Not Yersinia pestis
45	13381921	SAMN13381921				Pathogen: clinical or host-associated sample from Brucella abortus	Brucella abortus 381		Pathogen.cl.1.0		Brucella abortus	Brucella abortus		381	235			21-nov-1971	Russia	Bos taurus	Brucellosis			unknown		missing		2019-11-25T07:02:03.350	2019-11-26T13:14:00.211	2019-11-25T00:00:00.000	Stavropol Plague Control Reseach Institute	REMOVE: Not Yersinia pestis
46	13381912	SAMN13381912				Pathogen: clinical or host-associated sample from Brucella abortus	Brucella abortus 317		Pathogen.cl.1.0		Brucella abortus	Brucella abortus		317	235			02-oct-1970	Russia	Bos taurus	Brucellosis			unknown		missing		2019-11-25T06:49:03.330	2019-11-26T13:14:00.185	2019-11-25T00:00:00.000	Stavropol Plague Control Reseach Institute	REMOVE: Not Yersinia pestis
47	13381901	SAMN13381901				Pathogen: clinical or host-associated sample from Brucella abortus	Brucella abortus 313		Pathogen.cl.1.0		Brucella abortus	Brucella abortus		313	235			04-mar-1970	Russia	Bos taurus	Brucellosis			unknown		missing		2019-11-25T06:36:03.516	2019-11-26T13:14:00.160	2019-11-25T00:00:00.000	Stavropol Plague Control Reseach Institute	REMOVE: Not Yersinia pestis
48	13381898	SAMN13381898				Pathogen: clinical or host-associated sample from Brucella abortus	Brucella abortus 293		Pathogen.cl.1.0		Brucella abortus	Brucella abortus		293	235			01-nov-1967	Russia	Bos taurus	Brucellosis			unknown		missing		2019-11-25T06:23:03.620	2019-11-26T13:14:00.135	2019-11-25T00:00:00.000	Stavropol Plague Control Reseach Institute	REMOVE: Not Yersinia pestis
49	13381880	SAMN13381880				Pathogen: clinical or host-associated sample from Brucella abortus	Brucella abortus 264		Pathogen.cl.1.0		Brucella abortus	Brucella abortus		264	235			01-feb-1965	Russia	Bos taurus	Brucellosis			unknown		missing		2019-11-25T06:09:03.386	2019-11-26T13:14:00.110	2019-11-25T00:00:00.000	Stavropol Plague Control Reseach Institute	REMOVE: Not Yersinia pestis
50	13381877	SAMN13381877				Pathogen: clinical or host-associated sample from Brucella abortus	Brucella abortus 240		Pathogen.cl.1.0		Brucella abortus	Brucella abortus		240	235			01-Jan-1963	Russia	Bos taurus	Brucellosis			unknown		unknown		2019-11-25T05:51:07.090	2019-11-26T13:14:00.079	2019-11-25T00:00:00.000	Stavropol Plague Control Reseach Institute	REMOVE: Not Yersinia pestis
51	7722925	SAMN07722925		PRJNA412676		Pathogen: clinical or host-associated sample from Yersinia pestis	42126		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		42126	632			28-Aug-2006	China: Xinjiang Guertu	missing	missing			Citellus undulatus		missing		2017-09-29T20:14:04.637	2019-11-20T12:38:03.923	2019-11-20T12:38:03.923	Beijing Institute of Microbiology and Epidemiology	KEEP: Assembly
52	7722924	SAMN07722924		PRJNA412676		Pathogen: clinical or host-associated sample from Yersinia pestis	42123		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		42123	632			02-Jul-2005	China: Xinjiang Guertu	missing	missing			Frontopsylla elatoides		missing		2017-09-29T20:14:04.623	2019-11-20T12:38:03.910	2019-11-20T12:38:03.910	Beijing Institute of Microbiology and Epidemiology	KEEP: Assembly
53	7722923	SAMN07722923		PRJNA412676		Pathogen: clinical or host-associated sample from Yersinia pestis	42118		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		42118	632			14-Jul-2005	China: Xinjiang Guertu	missing	missing			Citellus undulatus		missing		2017-09-29T20:14:04.610	2019-11-20T12:38:03.893	2019-11-20T12:38:03.893	Beijing Institute of Microbiology and Epidemiology	KEEP: Assembly
54	7722922	SAMN07722922		PRJNA412676		Pathogen: clinical or host-associated sample from Yersinia pestis	42117		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		42117	632			30-Jun-2005	China: Xinjiang Guertu	missing	missing			Frontopsylla elatoides		missing		2017-09-29T20:14:04.597	2019-11-20T12:38:03.893	2019-11-20T12:38:03.893	Beijing Institute of Microbiology and Epidemiology	KEEP: Assembly
55	7722921	SAMN07722921		PRJNA412676		Pathogen: clinical or host-associated sample from Yersinia pestis	42116		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		42116	632			15-Jun-2005	China: Xinjiang Guertu	missing	missing			Citellus undulatus		missing		2017-09-29T20:14:04.583	2019-11-20T12:38:03.877	2019-11-20T12:38:03.877	Beijing Institute of Microbiology and Epidemiology	KEEP: Assembly
56	7722920	SAMN07722920		PRJNA412676		Pathogen: clinical or host-associated sample from Yersinia pestis	42114		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		42114	632			30-Jun-2004	China: Xinjiang Guertu	missing	missing			Citellus undulatus		missing		2017-09-29T20:14:04.570	2019-11-20T12:38:03.860	2019-11-20T12:38:03.860	Beijing Institute of Microbiology and Epidemiology	KEEP: Assembly
57	7722919	SAMN07722919		PRJNA412676		Pathogen: clinical or host-associated sample from Yersinia pestis	42113		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		42113	632			07-Aug-2003	China: Xinjiang Guertu	missing	missing			Citellus undulatus		missing		2017-09-29T20:14:04.557	2019-11-20T12:38:03.860	2019-11-20T12:38:03.860	Beijing Institute of Microbiology and Epidemiology	KEEP: Assembly
58	7722918	SAMN07722918		PRJNA412676		Pathogen: clinical or host-associated sample from Yersinia pestis	42110		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		42110	632			19-Aug-2002	China: Xinjiang Guertu	missing	missing			Citellus undulatus		missing		2017-09-29T20:14:04.543	2019-11-20T12:38:03.847	2019-11-20T12:38:03.847	Beijing Institute of Microbiology and Epidemiology	KEEP: Assembly
59	7722917	SAMN07722917		PRJNA412676		Pathogen: clinical or host-associated sample from Yersinia pestis	42102		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		42102	632			24-Jun-1987	China: Xinjiang Guertu	missing	missing			Citellophilus tesquorum altaicus		missing		2017-09-29T20:14:04.530	2019-11-20T12:38:03.847	2019-11-20T12:38:03.847	Beijing Institute of Microbiology and Epidemiology	KEEP: Assembly
60	7722916	SAMN07722916		PRJNA412676		Pathogen: clinical or host-associated sample from Yersinia pestis	42099		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		42099	632			01-Jul-1986	China: Xinjiang Guertu	missing	missing			Citellophilus tesquorum altaicus		missing		2017-09-29T20:14:04.517	2019-11-20T12:38:03.830	2019-11-20T12:38:03.830	Beijing Institute of Microbiology and Epidemiology	KEEP: Assembly
61	7722915	SAMN07722915		PRJNA412676		Pathogen: clinical or host-associated sample from Yersinia pestis	42098		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		42098	632			07-Jul-1986	China: Xinjiang Guertu	missing	missing			Citellophilus tesquorum altaicus		missing		2017-09-29T20:14:04.503	2019-11-20T12:38:03.813	2019-11-20T12:38:03.813	Beijing Institute of Microbiology and Epidemiology	KEEP: Assembly
62	7722914	SAMN07722914		PRJNA412676		Pathogen: clinical or host-associated sample from Yersinia pestis	42094		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		42094	632			30-May-1983	China: Xinjiang Guertu	missing	missing			Citellophilus tesquorum altaicus		missing		2017-09-29T20:14:04.490	2019-11-20T12:38:03.813	2019-11-20T12:38:03.813	Beijing Institute of Microbiology and Epidemiology	KEEP: Assembly
63	7722913	SAMN07722913		PRJNA412676		Pathogen: clinical or host-associated sample from Yersinia pestis	42093		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		42093	632			29-May-1983	China: Xinjiang Guertu	missing	missing			Marmota baibacina		missing		2017-09-29T20:14:04.477	2019-11-20T12:38:03.800	2019-11-20T12:38:03.800	Beijing Institute of Microbiology and Epidemiology	KEEP: Assembly
64	7722912	SAMN07722912		PRJNA412676		Pathogen: clinical or host-associated sample from Yersinia pestis	42092		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		42092	632			15-Jun-1980	China: Xinjiang Guertu	missing	missing			Citellophilus tesquorum altaicus		missing		2017-09-29T20:14:04.463	2019-11-20T12:38:03.783	2019-11-20T12:38:03.783	Beijing Institute of Microbiology and Epidemiology	KEEP: Assembly
65	7722911	SAMN07722911		PRJNA412676		Pathogen: clinical or host-associated sample from Yersinia pestis	42090		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		42090	632			10-Aug-2001	China: Xinjiang Guertu	missing	missing			Oropsylla silantiewi		missing		2017-09-29T20:14:04.447	2019-11-20T12:38:03.767	2019-11-20T12:38:03.767	Beijing Institute of Microbiology and Epidemiology	KEEP: Assembly
66	7722910	SAMN07722910		PRJNA412676		Pathogen: clinical or host-associated sample from Yersinia pestis	42089		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		42089	632			01-Aug-2001	China: Xinjiang Guertu	missing	missing			Anoplura		missing		2017-09-29T20:14:04.437	2019-11-20T12:38:03.767	2019-11-20T12:38:03.767	Beijing Institute of Microbiology and Epidemiology	KEEP: Assembly
