BioSampleAccession	BioSampleAccessionSecondary	BioSampleBioProjectAccession	BioSampleSRAAccession	BioSampleStrain	BioSampleBiovar	BioSampleCollectionDate	BioSampleGeographicLocation	BioSampleHost	BioSampleLat	BioSampleLatLon	BioSampleLon	BioSampleComment
SAMN13386912				I-12		20-nov-1948	Russia	Homo sapiens		missing		REMOVE: Not Yersinia pestis
SAMN13386911				I-2		29-jun-1945	Russia	Homo sapiens		missing		REMOVE: Not Yersinia pestis
SAMN13386900				C-577		15-jun-2015	Russia	Homo sapiens		missing		REMOVE: Not Yersinia pestis
SAMN13386896				C-551		26-Jul-2012	Russia	Homo sapiens		missing		REMOVE: Not Yersinia pestis
SAMN13386894				C-550		18-Jul-2012	Russia	Homo sapiens		missing		REMOVE: Not Yersinia pestis
SAMN13386803				1552		1962	Russia	Homo sapiens		missing		REMOVE: Not Yersinia pestis
SAMN13386788				420		21-aug-1972	Armenia	Bos taurus		missing		REMOVE: Not Yersinia pestis
SAMN13386681				403		10-nov-1971	Russia	Bos taurus		missing		REMOVE: Not Yersinia pestis
SAMN13386655				401		10-oct-1971	Russia	Bos taurus		missing		REMOVE: Not Yersinia pestis
SAMN13386654				390		18-may-1971	Russia	Bos taurus		missing		REMOVE: Not Yersinia pestis
SAMN13381921				381		21-nov-1971	Russia	Bos taurus		missing		REMOVE: Not Yersinia pestis
SAMN13381912				317		02-oct-1970	Russia	Bos taurus		missing		REMOVE: Not Yersinia pestis
SAMN13381901				313		04-mar-1970	Russia	Bos taurus		missing		REMOVE: Not Yersinia pestis
SAMN13381898				293		01-nov-1967	Russia	Bos taurus		missing		REMOVE: Not Yersinia pestis
SAMN13381880				264		01-feb-1965	Russia	Bos taurus		missing		REMOVE: Not Yersinia pestis
SAMN13381877				240		01-Jan-1963	Russia	Bos taurus		unknown		REMOVE: Not Yersinia pestis
SAMN07722925		PRJNA412676		42126		2006	China:Xinjiang:Guertu	Citellus undulatus		missing		KEEP: Assembly Modern
SAMN07722924		PRJNA412676		42123		2005	China:Xinjiang:Guertu	Frontopsylla elatoides		missing		KEEP: Assembly Modern
SAMN07722923		PRJNA412676		42118		2005	China:Xinjiang:Guertu	Citellus undulatus		missing		KEEP: Assembly Modern
SAMN07722922		PRJNA412676		42117		2005	China:Xinjiang:Guertu	Frontopsylla elatoides		missing		KEEP: Assembly Modern
SAMN07722921		PRJNA412676		42116		2005	China:Xinjiang:Guertu	Citellus undulatus		missing		KEEP: Assembly Modern
SAMN07722920		PRJNA412676		42114		2004	China:Xinjiang:Guertu	Citellus undulatus		missing		KEEP: Assembly Modern
SAMN07722919		PRJNA412676		42113		2003	China:Xinjiang:Guertu	Citellus undulatus		missing		KEEP: Assembly Modern
SAMN07722918		PRJNA412676		42110		2002	China:Xinjiang:Guertu	Citellus undulatus		missing		KEEP: Assembly Modern
SAMN07722917		PRJNA412676		42102		1987	China:Xinjiang:Guertu	Citellophilus tesquorum altaicus		missing		KEEP: Assembly Modern
SAMN07722916		PRJNA412676		42099		1986	China:Xinjiang:Guertu	Citellophilus tesquorum altaicus		missing		KEEP: Assembly Modern
SAMN07722915		PRJNA412676		42098		1986	China:Xinjiang:Guertu	Citellophilus tesquorum altaicus		missing		KEEP: Assembly Modern
SAMN07722914		PRJNA412676		42094		1983	China:Xinjiang:Guertu	Citellophilus tesquorum altaicus		missing		KEEP: Assembly Modern
SAMN07722913		PRJNA412676		42093		1983	China:Xinjiang:Guertu	Marmota baibacina		missing		KEEP: Assembly Modern
SAMN07722912		PRJNA412676		42092		1980	China:Xinjiang:Guertu	Citellophilus tesquorum altaicus		missing		KEEP: Assembly Modern
SAMN07722911		PRJNA412676		42090		2001	China:Xinjiang:Guertu	Oropsylla silantiewi		missing		KEEP: Assembly Modern
SAMN07722910		PRJNA412676		42089		2001	China:Xinjiang:Guertu	Anoplura		missing		KEEP: Assembly Modern
SAMN07722909		PRJNA412676		42088		2001	China:Xinjiang:Guertu	Ixodex crenulatus		missing		KEEP: Assembly Modern
SAMN07722908		PRJNA412676		42086		2001	China:Xinjiang:Guertu	Neopsylla mana Wagn		missing		KEEP: Assembly Modern
SAMN07722907		PRJNA412676		42085		2001	China:Xinjiang:Guertu	Citellus undulatus		missing		KEEP: Assembly Modern
SAMN07722906		PRJNA412676		42084		2000	China:Xinjiang:Guertu	Citellus undulatus		missing		KEEP: Assembly Modern
SAMN07722905		PRJNA412676		42083		1999	China:Xinjiang:Guertu	Citellus undulatus		missing		KEEP: Assembly Modern
SAMN07722904		PRJNA412676		42081		1995	China:Xinjiang:Guertu	Citellus undulatus		missing		KEEP: Assembly Modern
SAMN07722903		PRJNA412676		42080		1995	China:Xinjiang:Guertu	Citellus undulatus		missing		KEEP: Assembly Modern
SAMN07722902		PRJNA412676		42079		1995	China:Xinjiang:Guertu	Citellus undulatus		missing		KEEP: Assembly Modern
SAMN07722901		PRJNA412676		42078		1995	China:Xinjiang:Guertu	Citellophilus tesquorum altaicus		missing		KEEP: Assembly Modern
SAMN07722900		PRJNA412676		42077		1994	China:Xinjiang:Guertu	Marmota baibacina		missing		KEEP: Assembly Modern
SAMN07722899		PRJNA412676		42075		1993	China:Xinjiang:Guertu	Citellophilus tesquorum altaicus		missing		KEEP: Assembly Modern
SAMN07722898		PRJNA412676		42074		1993	China:Xinjiang:Guertu	Citellus undulatus		missing		KEEP: Assembly Modern
SAMN07722897		PRJNA412676		42072		1992	China:Xinjiang:Guertu	Frontopsylla luculenta		missing		KEEP: Assembly Modern
SAMN07722896		PRJNA412676		42071		1991	China:Xinjiang:Guertu	Citellus undulatus		missing		KEEP: Assembly Modern
SAMN07722895		PRJNA412676		42070		1991	China:Xinjiang:Guertu	Citellus undulatus		missing		KEEP: Assembly Modern
SAMN07722894		PRJNA412676		42069		1991	China:Xinjiang:Guertu	Citellus undulatus		missing		KEEP: Assembly Modern
SAMN07722893		PRJNA412676		42068		1989	China:Xinjiang:Guertu	Marmota baibacina		missing		KEEP: Assembly Modern
SAMN07722892		PRJNA412676		42065		1988	China:Xinjiang:Guertu	Citellus undulatus		missing		KEEP: Assembly Modern
SAMN07722891		PRJNA412676		42064		1988	China:Xinjiang:Guertu	Citellophilus tesquorum		missing		KEEP: Assembly Modern
SAMN07722890		PRJNA412676		42063		1987	China:Xinjiang:Guertu	Citellus undulatus		missing		KEEP: Assembly Modern
SAMN07722889		PRJNA412676		42062		1987	China:Xinjiang:Guertu	Citellus undulatus		missing		KEEP: Assembly Modern
SAMN07722888		PRJNA412676		42061		1987	China:Xinjiang:Guertu	Citellophilus tesquorum		missing		KEEP: Assembly Modern
SAMN07722887		PRJNA412676		42060		1987	China:Xinjiang:Guertu	Rhadinopsylla li ventricosa		missing		KEEP: Assembly Modern
SAMN07722886		PRJNA412676		42059		1987	China:Xinjiang:Guertu	Citellophilus tesquorum		missing		KEEP: Assembly Modern
SAMN07722885		PRJNA412676		42058		1987	China:Xinjiang:Guertu	Citellophilus tesquorum		missing		KEEP: Assembly Modern
SAMN07722884		PRJNA412676		42057		1987	China:Xinjiang:Guertu	Citellophilus tesquorum		missing		KEEP: Assembly Modern
SAMN07722883		PRJNA412676		42056		1986	China:Xinjiang:Guertu	Citellus undulatus		missing		KEEP: Assembly Modern
SAMN07722882		PRJNA412676		42055		1986	China:Xinjiang:Guertu	Frontopsylla elatoides		missing		KEEP: Assembly Modern
SAMN07722881		PRJNA412676		42054		1986	China:Xinjiang:Guertu	Citellophilus tesquorum		missing		KEEP: Assembly Modern
SAMN07722880		PRJNA412676		42053		1986	China:Xinjiang:Guertu	Anoplura		missing		KEEP: Assembly Modern
SAMN07722879		PRJNA412676		42052		1986	China:Xinjiang:Guertu	Rhadinopsylla li ventricosa		missing		KEEP: Assembly Modern
SAMN07722878		PRJNA412676		42051		1986	China:Xinjiang:Guertu	Citellophilus tesquorum		missing		KEEP: Assembly Modern
SAMN07722877		PRJNA412676		42050		1986	China:Xinjiang:Guertu	Citellophilus tesquorum		missing		KEEP: Assembly Modern
SAMN07722876		PRJNA412676		42049		1986	China:Xinjiang:Guertu	Neopsylla mana Wagn		missing		KEEP: Assembly Modern
SAMN07722875		PRJNA412676		42047		1984	China:Xinjiang:Guertu	Flea		missing		KEEP: Assembly Modern
SAMN07722874		PRJNA412676		42046		1984	China:Xinjiang:Guertu	Frontopsylla elatoides		missing		KEEP: Assembly Modern
SAMN07722873		PRJNA412676		42045		1984	China:Xinjiang:Guertu	Citellus undulatus		missing		KEEP: Assembly Modern
SAMN07722872		PRJNA412676		42044		1984	China:Xinjiang:Guertu	Citellus undulatus		missing		KEEP: Assembly Modern
SAMN07722871		PRJNA412676		42043		1983	China:Xinjiang:Guertu	Citellophilus tesquorum		missing		KEEP: Assembly Modern
SAMN07722870		PRJNA412676		42042		1983	China:Xinjiang:Guertu	Rhadinopsylla li ventricosa		missing		KEEP: Assembly Modern
SAMN07722869		PRJNA412676		42040		1983	China:Xinjiang:Guertu	Frontopsylla elatoides		missing		KEEP: Assembly Modern
SAMN07722868		PRJNA412676		42039		1983	China:Xinjiang:Guertu	Citellophilus tesquorum		missing		KEEP: Assembly Modern
SAMN07722867		PRJNA412676		42038		1983	China:Xinjiang:Guertu	Flea		missing		KEEP: Assembly Modern
SAMN07722866		PRJNA412676		42037		1983	China:Xinjiang:Guertu	Citellus undulatus		missing		KEEP: Assembly Modern
SAMN07722865		PRJNA412676		42034		1982	China:Xinjiang:Guertu	Citellus undulatus		missing		KEEP: Assembly Modern
SAMN07722864		PRJNA412676		42033		1982	China:Xinjiang:Guertu	Citellus undulatus		missing		KEEP: Assembly Modern
SAMN07722863		PRJNA412676		42032		1981	China:Xinjiang:Guertu	Citellus undulatus		missing		KEEP: Assembly Modern
SAMN07722862		PRJNA412676		42029		1980	China:Xinjiang:Guertu	Citellus undulatus		missing		KEEP: Assembly Modern
SAMN07722861		PRJNA412676		42028		1974	China:Xinjiang:Guertu	Citellus undulatus		missing		KEEP: Assembly Modern
SAMN07722860		PRJNA412676		42027		1972	China:Xinjiang:Guertu	Citellus undulatus		missing		KEEP: Assembly Modern
SAMN07722859		PRJNA412676		42022		1977	China:Xinjiang:Guertu	Citellus undulatus		missing		KEEP: Assembly Modern
SAMN07722858		PRJNA412676		42021		1977	China:Xinjiang:Guertu	Citellus undulatus		missing		KEEP: Assembly Modern
SAMN07722857		PRJNA412676		42020		1977	China:Xinjiang:Guertu	Citellus undulatus		missing		KEEP: Assembly Modern
SAMN07722856		PRJNA412676		42016		1976	China:Xinjiang:Guertu	Citellus undulatus		missing		KEEP: Assembly Modern
SAMN07722855		PRJNA412676		42015		1976	China:Xinjiang:Guertu	Citellus undulatus		missing		KEEP: Assembly Modern
SAMN07722854		PRJNA412676		42014		1972	China:Xinjiang:Guertu	Citellus undulatus		missing		KEEP: Assembly Modern
SAMN07722853		PRJNA412676		42012		1971	China:Xinjiang:Guertu	Marmota baibacina		missing		KEEP: Assembly Modern
SAMN07722852		PRJNA412676		42010		1969	China:Xinjiang:Guertu	Citellus undulatus		missing		KEEP: Assembly Modern
SAMN07722851		PRJNA412676		42009		1969	China:Xinjiang:Guertu	Citellus undulatus		missing		KEEP: Assembly Modern
SAMN07722850		PRJNA412676		42008		1968	China:Xinjiang:Guertu	Citellus undulatus		missing		KEEP: Assembly Modern
SAMN07722849		PRJNA412676		42005		1967	China:Xinjiang:Guertu	Citellus undulatus		missing		KEEP: Assembly Modern
SAMN07722848		PRJNA412676		42003		1967	China:Xinjiang:Guertu	Marmota baibacina		missing		KEEP: Assembly Modern
SAMN12421884		PRJNA558013	SRS5194648	PAN259								REMOVE: Lab manipulation
SAMN12421883		PRJNA558013	SRS5194649	PAN259								REMOVE: Lab manipulation
SAMN12421880		PRJNA558013	SRS5194650	PAN933								REMOVE: Lab manipulation
SAMN12421879		PRJNA558013	SRS5194651	PAN933								REMOVE: Lab manipulation
SAMN12421809		PRJNA558013	SRS5194646	PAN259								REMOVE: Lab manipulation
SAMN12421808		PRJNA558013	SRS5194647	PAN259								REMOVE: Lab manipulation
SAMN12991209			SRS5502742	SCPM-O-B-6291 (C-25)		1953	Russia:Chechnya	Neopsylla setosa				KEEP: Assembly Modern
SAMN12991208			SRS5502741	SCPM-O-B-5935 (I-1996)	Antiqua	1970	Russia:Zabaykalsky Krai:Chita	Spermophilus dauricus				KEEP: Assembly Modern
SAMN12991207			SRS5502740	SCPM-O-B-5942 (I-2638)	Antiqua	1977	Russia:Tuva Republic	Urocitellus undulatus				KEEP: Assembly Modern
SAMN12991206			SRS5502739	SCPM-O-DNA-18 (I-3113)		1984	Russia:Tuva Republic	Marmota sibirica				KEEP: Assembly Modern
SAMN12991205			SRS5502738	SCPM-O-B-6899 (231)	Antiqua	1947	Kyrgyzstan:Naryn Region:Focus 33 Aksai high-mountain focus	Marmota baibacina				KEEP: Assembly Modern
SAMEA5970710			ERS3773554	KIM6								REMOVE: Lab manipulation
SAMEA5970709			ERS3773553	KIM6								REMOVE: Lab manipulation
SAMEA5970708			ERS3773552	KIM6								REMOVE: Lab manipulation
SAMEA5970707			ERS3773551	KIM6								REMOVE: Lab manipulation
SAMEA5970605			ERS3773449	KIM6								REMOVE: Lab manipulation
SAMEA5970604			ERS3773448	KIM6								REMOVE: Lab manipulation
SAMEA5970603			ERS3773447	KIM6								REMOVE: Lab manipulation
SAMEA5970602			ERS3773446	KIM6								REMOVE: Lab manipulation
SAMN01853158		PRJNA184590	SRS385146	154/98 B		1998	Madagascar: Mahajanga	Homo sapiens		15.71171171 S 46.31395349 E		KEEP: EAGER Modern
SAMN12721152				C-742		1997	Russia:Kabardino-Balkaria:Chereksky District	Microtus arvalis		43.35 N 43.45 E		KEEP: Assembly Modern
SAMN12721149				C-826		2011	Russia:Republic of Dagestan:Kulinsky District	Microtus arvalis		42.04 N 47.12 E		KEEP: Assembly Modern
SAMN12721146				C-719		1996	Russia:Karachay-Cherkessia:Karachayevsky District	Siphonaptera		43.42 N 42.30 E		KEEP: Assembly Modern
SAMN12720423				C-672		1988	Russia:Republic of Dagestan:Rutulsky District	Siphonaptera		41.59 N 47.16 E		KEEP: Assembly Modern
SAMN12715009				C-528		1984	Russia:Republic of Dagestan:Tarumovsky District	Gerbillinae		44.19 N 46.59 E		KEEP: Assembly Modern
SAMN12714845				C-527		1984	Azerbaijan:Qazakh District	Meriones libycus		41.18 N 45.27 E		KEEP: Assembly Modern
SAMN12714485				C-506		1982	Russia:Karachay-Cherkessia:Karachayevsky District	Spermophilus musicus		43.27 N 42.16 E		KEEP: Assembly Modern
SAMEA5851981			ERS3640506				Russia					REMOVE: Long branch length from hybrid lab strain
SAMN03399931			SRS872077	Yersinia pestis KIM6dCsrA		2014	not applicable					REMOVE: Lab manipulation
SAMN03399930			SRS872076	Yersinia pestis CO92dCsrA-P+		2014	not applicable					REMOVE: Lab manipulation
SAMN03399929			SRS872074	Yersinia pestis CO92dCsrA		2014	not applicable					REMOVE: Lab manipulation
SAMN01853157		PRJNA184590	SRS385142	64/91		1991	Madagascar: Mahajanga	Homo sapiens		15.71171171 S 46.31395349 E		KEEP: EAGER Modern
SAMN01853130		PRJNA184590	SRS385148	53/91		1991	Madagascar: Mahajanga	flea		15.711712 S 46.313954 E		KEEP: EAGER Modern
SAMEA5818833		PRJEB29990	ERS3607426									KEEP: EAGER Ancient
SAMEA5818832		PRJEB29990	ERS3607425									REMOVE: EAGER Ancient Low coverage
SAMEA5818831		PRJEB29990	ERS3607424									REMOVE: EAGER Ancient Low coverage
SAMEA5818830		PRJEB29990	ERS3607423									KEEP: EAGER Ancient
SAMEA5818829		PRJEB29990	ERS3607422									KEEP: EAGER Ancient
SAMEA5818828		PRJEB29990	ERS3607421									KEEP: EAGER Ancient
SAMEA5818827		PRJEB29990	ERS3607420									KEEP: EAGER Ancient
SAMEA5818826		PRJEB29990	ERS3607419									KEEP: EAGER Ancient
SAMEA5818825		PRJEB29990	ERS3607418									KEEP: EAGER Ancient
SAMEA5818824		PRJEB29990	ERS3607417									KEEP: EAGER Ancient
SAMEA5818823		PRJEB29990	ERS3607416									KEEP: EAGER Ancient
SAMEA5818822		PRJEB29990	ERS3607415									KEEP: EAGER Ancient
SAMEA5818821		PRJEB29990	ERS3607414									KEEP: EAGER Ancient
SAMEA5818820		PRJEB29990	ERS3607413									KEEP: EAGER Ancient
SAMEA5818819		PRJEB29990	ERS3607412									KEEP: EAGER Ancient
SAMEA5818818		PRJEB29990	ERS3607411									KEEP: EAGER Ancient
SAMEA5818817		PRJEB29990	ERS3607410									KEEP: EAGER Ancient
SAMEA5818816		PRJEB29990	ERS3607409									KEEP: EAGER Ancient
SAMEA5818815		PRJEB29990	ERS3607408									KEEP: EAGER Ancient
SAMEA5818814		PRJEB29990	ERS3607407									KEEP: EAGER Ancient
SAMEA5818813		PRJEB29990	ERS3607406									KEEP: EAGER Ancient
SAMEA5818812		PRJEB29990	ERS3607405									KEEP: EAGER Ancient
SAMEA5818811		PRJEB29990	ERS3607404									KEEP: EAGER Ancient
SAMEA5818810		PRJEB29990	ERS3607403									KEEP: EAGER Ancient
SAMEA5818809		PRJEB29990	ERS3607402									KEEP: EAGER Ancient
SAMEA5818808		PRJEB29990	ERS3607401									KEEP: EAGER Ancient
SAMEA5818807		PRJEB29990	ERS3607400									KEEP: EAGER Ancient
SAMEA5818806		PRJEB29990	ERS3607399									KEEP: EAGER Ancient
SAMEA5818805		PRJEB29990	ERS3607398									KEEP: EAGER Ancient
SAMEA5818804		PRJEB29990	ERS3607397									KEEP: EAGER Ancient
SAMEA5818803		PRJEB29990	ERS3607396									KEEP: EAGER Ancient
SAMEA5818802		PRJEB29990	ERS3607395									KEEP: EAGER Ancient
SAMEA5818801		PRJEB29990	ERS3607394									KEEP: EAGER Ancient
SAMEA5818800		PRJEB29990	ERS3607393									KEEP: EAGER Ancient
SAMEA5818799		PRJEB29990	ERS3607392									KEEP: EAGER Ancient
SAMEA5818798		PRJEB29990	ERS3607391									KEEP: EAGER Ancient
SAMN01991279		PRJNA194125	SRS429133	KIM (D27)		1968		Homo sapiens				KEEP: EAGER Modern
SAMN02769635		PRJNA208246	SRS605686	771	Medievalis	unknown	Georgia:Samtskhe-Javakheti:Ninotsminda					KEEP: EAGER Modern
SAMN02713604				VKMV-2020D		11-Jan-1988	Russia: Rostov-on-Don					REMOVE: Not Yersinia pestis
SAMN01991267		PRJNA194125	SRS424547	Java (D88)								KEEP: EAGER Modern
SAMN01991266		PRJNA194125	SRS424548	Kimberley (D17)								KEEP: EAGER Modern
SAMN01991264		PRJNA194125	SRS424550	TS (D5)								KEEP: EAGER Modern
SAMN01853159			SRS385147	17/99 B		1999	Madagascar: Mahajanga	Homo sapiens		46.31395349 N 15.71171171 W		KEEP: EAGER Modern
SAMN12254088		PRJNA310777	SRS5085564	wild-type strain 201								REMOVE: Lab manipulation
SAMN12254087		PRJNA310777	SRS5085565	wild-type strain 201 carrying pACYC184-Hfq-Flag								REMOVE: Lab manipulation
SAMN12254086		PRJNA310777	SRS5085566	wild-type strain 201 carrying pACYC184-Flag								REMOVE: Lab manipulation
SAMN12214386		PRJNA552616	SRS5063436									REMOVE: Lab manipulation
SAMN12214385		PRJNA552616	SRS5063437									REMOVE: Lab manipulation
SAMN12214384		PRJNA552616	SRS5063438									REMOVE: Lab manipulation
SAMN12214383		PRJNA552616	SRS5063439									REMOVE: Lab manipulation
SAMN12214382		PRJNA552616	SRS5063440									REMOVE: Lab manipulation
SAMN12214381		PRJNA552616	SRS5063441									REMOVE: Lab manipulation
SAMN12011895		PRJNA548232		C-144				Meriones tamariscinus		missing		REMOVE: Assembly Modern No Date
SAMN12138636				I_3269		1990	Mongolia:Bayan-Olgii:Sagsai sum	Ochotona pallasi		missing		KEEP: Assembly Modern
SAMN12138635				I_3196		1986	Mongolia:Govi-Altai:Altai Sum	Ochotona pallasi		missing		KEEP: Assembly Modern
SAMN12138633				I_3193		1987	Mongolia:Khovd:Khovd Sum	Ochotona pallasi		missing		KEEP: Assembly Modern
SAMN12131171				I_3068		1982	Mongolia:Uvurkhangai:Zuunbayan-Ulaan	Lasiopodomys brandti		missing		KEEP: Assembly Modern
SAMEA5661394		PRJEB29991	ERS3465413									KEEP: EAGER Ancient
SAMEA5661393		PRJEB29991	ERS3465412									KEEP: EAGER Ancient
SAMEA5661392		PRJEB29991	ERS3465411									KEEP: EAGER Ancient
SAMEA5661391		PRJEB29991	ERS3465410									KEEP: EAGER Ancient
SAMEA5661390		PRJEB29991	ERS3465409									KEEP: EAGER Ancient
SAMEA5661389		PRJEB29991	ERS3465408									KEEP: EAGER Ancient
SAMEA5661388		PRJEB29991	ERS3465407									KEEP: EAGER Ancient
SAMEA5661387		PRJEB29991	ERS3465406									KEEP: EAGER Ancient
SAMEA5661386		PRJEB29991	ERS3465405									KEEP: EAGER Ancient
SAMEA5661385		PRJEB29991	ERS3465404									KEEP: EAGER Ancient
SAMEA5661384		PRJEB29991	ERS3465403									KEEP: EAGER Ancient
SAMEA5661383		PRJEB29991	ERS3465402									KEEP: EAGER Ancient
SAMEA5661382		PRJEB29991	ERS3465401									KEEP: EAGER Ancient
SAMEA5661381		PRJEB29991	ERS3465400									KEEP: EAGER Ancient
SAMEA5661380		PRJEB29991	ERS3465399									KEEP: EAGER Ancient
SAMEA5661379		PRJEB29991	ERS3465398									KEEP: EAGER Ancient
SAMEA5661378		PRJEB29991	ERS3465397									KEEP: EAGER Ancient
SAMEA5661377		PRJEB29991	ERS3465396									KEEP: EAGER Ancient
SAMEA5661376		PRJEB29991	ERS3465395									KEEP: EAGER Ancient
SAMEA5661375		PRJEB29991	ERS3465394									KEEP: EAGER Ancient
SAMEA5661374		PRJEB29991	ERS3465393									KEEP: EAGER Ancient
SAMEA5661373		PRJEB29991	ERS3465392									KEEP: EAGER Ancient
SAMEA5661372		PRJEB29991	ERS3465391									KEEP: EAGER Ancient
SAMEA5661371		PRJEB29991	ERS3465390									KEEP: EAGER Ancient
SAMEA5661370		PRJEB29991	ERS3465389									KEEP: EAGER Ancient
SAMEA5661369		PRJEB29991	ERS3465388									KEEP: EAGER Ancient
SAMEA5661368		PRJEB29991	ERS3465387									KEEP: EAGER Ancient
SAMEA5661367		PRJEB29991	ERS3465386									KEEP: EAGER Ancient
SAMEA5661366		PRJEB29991	ERS3465385									KEEP: EAGER Ancient
SAMEA5661365		PRJEB29991	ERS3465384									KEEP: EAGER Ancient
SAMEA5661364		PRJEB29991	ERS3465383									KEEP: EAGER Ancient
SAMEA5661363		PRJEB29991	ERS3465382									KEEP: EAGER Ancient
SAMEA5661362		PRJEB29991	ERS3465381									KEEP: EAGER Ancient
SAMEA5661361		PRJEB29991	ERS3465380									KEEP: EAGER Ancient
SAMEA5661360		PRJEB29991	ERS3465379									KEEP: EAGER Ancient
SAMN04455485		PRJNA310777	SRS1274645	Yersinia pestis hfq mutant								REMOVE: Lab manipulation
SAMN04455484		PRJNA310777	SRS1274646	Yersinia pestis hfq mutant carrying pACYC184-Hfq-Flag								REMOVE: Lab manipulation
SAMN04455483		PRJNA310777	SRS1274647	Yersinia pestis wild-type strain 201 carrying pACYC184-Flag								REMOVE: Lab manipulation
SAMN04455482		PRJNA310777	SRS1274648	Yersinia pestis hfq mutant carrying pACYC184-Hfq-Flag								REMOVE: Lab manipulation
SAMN04455481		PRJNA310777	SRS1274649	Yersinia pestis wild-type strain 201 carrying pACYC184-Flag								REMOVE: Lab manipulation
SAMN03161124		PRJNA240106	SRS1040976	Dodson	Orientalis	1967	United States of America:Arizona:Tuba City	Human (male, 4.5 yrs)				KEEP: Assembly Modern
SAMN03120838		PRJNA239341	SRS1024603	Shasta		1954	United States of America:California	Homo sapiens				KEEP: Assembly Modern
SAMN02905649		PRJNA254747	SRS659643	EV76		missing	missing					REMOVE: Lab manipulation
SAMN02905648		PRJNA254747	SRS659642	EV76		missing	missing					REMOVE: Lab manipulation
SAMN02777961				231	Antiqua	1947	Kyrgyzstan:Naryn Region:Focus 33 Aksai high-mountain focus	Marmota baibacina				KEEP: Assembly Modern
SAMN02769655		PRJNA240100	SRS605759	Harbin35	Antiqua	1940	China:Heilongjiang:Harbin	Homo sapiens				KEEP: Assembly Modern
SAMN02404404		PRJNA17691		UG05-0454	Antiqua	2004	Uganda	Homo sapiens				KEEP: Assembly Modern Morelli 2010 Cui 2013
