BioSampleAccession	BioSampleBioProjectAccession	BioSampleStrain	BioSampleOrganism	BioSampleSRAAccession	BioSampleAccessionSecondary	BioSampleCollectionDate	BioSampleGeographicLocation	BioSampleHost	BioSampleComment
SAMN02614613	PRJNA237115	Niagara R	Hylemonella gracilis str. Niagara R			07-Aug	USA: Upper Niagara River		REMOVE: Not Yersinia pestis
SAMN02929926	PRJNA255985		synthetic metagenome	SRS664879		not applicable	not applicable		REMOVE: Not Yersinia pestis
SAMN02929927	PRJNA255985		synthetic metagenome	SRS664880		not applicable	not applicable		REMOVE: Not Yersinia pestis
SAMN02929928	PRJNA255985		synthetic metagenome	SRS664882		not applicable	not applicable		REMOVE: Not Yersinia pestis
SAMN03436133	PRJNA279011	P18899	Vibrio cholerae O1 biovar El Tor			2006	Russia: Murmansk	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN02604093	PRJNA288	KIM10+							
SAMN03856499	PRJNA289649	C57BL6/J	Mus musculus						REMOVE: Not Yersinia pestis
SAMN03856500	PRJNA289649	C57BL6/J	Mus musculus						REMOVE: Not Yersinia pestis
SAMN03856536	PRJNA289649	C57BL6/J	Mus musculus						REMOVE: Not Yersinia pestis
SAMN03856537	PRJNA289649	C57BL6/J	Mus musculus						REMOVE: Not Yersinia pestis
SAMN03856538	PRJNA289649	C57BL6/J	Mus musculus						REMOVE: Not Yersinia pestis
SAMN03856539	PRJNA289649	C57BL6/J	Mus musculus						REMOVE: Not Yersinia pestis
SAMN03856540	PRJNA289649	C57BL6/J	Mus musculus						REMOVE: Not Yersinia pestis
SAMN03856541	PRJNA289649	C57BL6/J	Mus musculus						REMOVE: Not Yersinia pestis
SAMN03856542	PRJNA289649	C57BL6/J	Mus musculus						REMOVE: Not Yersinia pestis
SAMN02403941	PRJNA30503	Nepal516							
SAMN02603222	PRJNA30505	Harbin 35					China	Homo sapiens	
SAMN02403942	PRJNA30507	India 195							
SAMN02403943	PRJNA30509	PEXU2							
SAMN02403944	PRJNA30511	Pestoides A							
SAMN05386311	PRJNA328937	BALB/c	Mus musculus	SRS1560259					REMOVE: Not Yersinia pestis
SAMN05386312	PRJNA328937	BALB/c	Mus musculus	SRS1560260					REMOVE: Not Yersinia pestis
SAMN05386313	PRJNA328937	BALB/c	Mus musculus	SRS1560258					REMOVE: Not Yersinia pestis
SAMN05386314	PRJNA328937	BALB/c	Mus musculus	SRS1560261					REMOVE: Not Yersinia pestis
SAMN05386315	PRJNA328937	BALB/c	Mus musculus	SRS1560262					REMOVE: Not Yersinia pestis
SAMN05386316	PRJNA328937	BALB/c	Mus musculus	SRS1560263					REMOVE: Not Yersinia pestis
SAMN05386317	PRJNA328937	BALB/c	Mus musculus	SRS1560264					REMOVE: Not Yersinia pestis
SAMN05386318	PRJNA328937	BALB/c	Mus musculus	SRS1560265					REMOVE: Not Yersinia pestis
SAMN05386319	PRJNA328937	BALB/c	Mus musculus	SRS1560266					REMOVE: Not Yersinia pestis
SAMN05386320	PRJNA328937	BALB/c	Mus musculus	SRS1560268					REMOVE: Not Yersinia pestis
SAMN05386321	PRJNA328937	BALB/c	Mus musculus	SRS1560267					REMOVE: Not Yersinia pestis
SAMN05386322	PRJNA328937	BALB/c	Mus musculus	SRS1560269					REMOVE: Not Yersinia pestis
SAMN05386323	PRJNA328937	BALB/c	Mus musculus	SRS1560270					REMOVE: Not Yersinia pestis
SAMN05386324	PRJNA328937	BALB/c	Mus musculus	SRS1560271					REMOVE: Not Yersinia pestis
SAMN05386325	PRJNA328937	BALB/c	Mus musculus	SRS1560272					REMOVE: Not Yersinia pestis
SAMN05386326	PRJNA328937	BALB/c	Mus musculus	SRS1560273					REMOVE: Not Yersinia pestis
SAMN05386327	PRJNA328937	BALB/c	Mus musculus	SRS1560274					REMOVE: Not Yersinia pestis
SAMN05386328	PRJNA328937	BALB/c	Mus musculus	SRS1560275					REMOVE: Not Yersinia pestis
SAMN05450311	PRJNA335692	110	Burkholderia pseudomallei	SRS1589458		1985	Viet Nam		REMOVE: Not Yersinia pestis
SAMN05715376	PRJNA335692	110	Burkholderia pseudomallei			1983	Australia: Pearce	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN06075482	PRJNA355374	I-136	Brucella melitensis			1959	Russia	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN02603871	PRJNA36507	D106004							
SAMN02603872	PRJNA36545	D182038							
SAMN02603873	PRJNA36547	Z176003							
SAMN01902219	PRJNA38409	G1670E		SRS388211					
SAMN07286086	PRJNA392236		human blood metagenome	SRS2320267		20-Feb-17	not applicable	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN07286087	PRJNA392236		human blood metagenome	SRS2320268		28-Feb-17	not applicable	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN02404405	PRJNA41469	KIM D27							
SAMN02402991	PRJNA47685	12							
SAMN02402992	PRJNA47685	164							
SAMN02402993	PRJNA47685	2							
SAMN02402994	PRJNA47685	2330							
SAMN02402995	PRJNA47685	2504							
SAMN02402996	PRJNA47685	2506							
SAMN02402997	PRJNA47685	2654							
SAMN02402998	PRJNA47685	30017							
SAMN02402999	PRJNA47685	34008							
SAMN02403000	PRJNA47685	34202							
SAMN02403001	PRJNA47685	351001							
SAMN02403002	PRJNA47685	42013							
SAMN02403003	PRJNA47685	42082							
SAMN02403004	PRJNA47685	42091							
SAMN02403005	PRJNA47685	42095							
SAMN02403006	PRJNA47685	5							
SAMN02403007	PRJNA47685	5761							
SAMN02403008	PRJNA47685	620024							
SAMN02403009	PRJNA47685	7							
SAMN02403010	PRJNA47685	71021							
SAMN02403011	PRJNA47685	710317							
SAMN02403012	PRJNA47685	7338							
SAMN02403013	PRJNA47685	735							
SAMN02403014	PRJNA47685	780441							
SAMN02403015	PRJNA47685	9							
SAMN02403016	PRJNA47685	91							
SAMN02403017	PRJNA47685	945							
SAMN02403018	PRJNA47685	970754							
SAMN02403019	PRJNA47685	A1956001							
SAMN02403020	PRJNA47685	A1973001							
SAMN02403021	PRJNA47685	E1979001							
SAMN02403022	PRJNA47685	C1975003							
SAMN02403023	PRJNA47685	C1976001							
SAMN02403024	PRJNA47685	C1989001							
SAMN02403025	PRJNA47685	CMCC02041							
SAMN02403026	PRJNA47685	CMCC03001							
SAMN02403027	PRJNA47685	CMCC05009							
SAMN02403028	PRJNA47685	CMCC05013							
SAMN02403029	PRJNA47685	CMCC10012							
SAMN02403030	PRJNA47685	CMCC104003							
SAMN02403031	PRJNA47685	CMCC106002							
SAMN02403032	PRJNA47685	CMCC107004							
SAMN02403033	PRJNA47685	CMCC11001							
SAMN02403034	PRJNA47685	CMCC114001							
SAMN02403035	PRJNA47685	CMCC12003							
SAMN02403036	PRJNA47685	CMCC125002							
SAMN02403037	PRJNA47685	CMCC18019							
SAMN02403038	PRJNA47685	CMCC21106							
SAMN02403039	PRJNA47685	CMCC27002							
SAMN02403040	PRJNA47685	CMCC31004							
SAMN02403041	PRJNA47685	CMCC347001							
SAMN02403042	PRJNA47685	CMCC348002							
SAMN02403043	PRJNA47685	CMCC38001							
SAMN02403044	PRJNA47685	CMCC42007							
SAMN02403045	PRJNA47685	CMCC43032							
SAMN02403046	PRJNA47685	CMCC49003							
SAMN02403047	PRJNA47685	CMCC51020							
SAMN02403048	PRJNA47685	CMCC64001							
SAMN02403049	PRJNA47685	CMCC640047							
SAMN02403050	PRJNA47685	CMCC67001							
SAMN02403051	PRJNA47685	CMCC71001							
SAMN02403052	PRJNA47685	CMCC8211							
SAMN02403053	PRJNA47685	CMCC84033							
SAMN02403054	PRJNA47685	CMCC84038							
SAMN02403055	PRJNA47685	CMCC84046							
SAMN02403056	PRJNA47685	CMCC87001							
SAMN02403057	PRJNA47685	CMCC90027							
SAMN02403058	PRJNA47685	CMCC91090							
SAMN02403059	PRJNA47685	CMCC92004							
SAMN02403060	PRJNA47685	CMCC92010							
SAMN02403061	PRJNA47685	CMCC93014							
SAMN02403062	PRJNA47685	CMCC95001							
SAMN02403063	PRJNA47685	CMCC96001							
SAMN02403064	PRJNA47685	CMCC96007							
SAMN02403065	PRJNA47685	CMCC99103							
SAMN02403066	PRJNA47685	CMCCK100001							
SAMN02403067	PRJNA47685	CMCCK110001							
SAMN02403068	PRJNA47685	CMCCN010025							
SAMN02403069	PRJNA47685	D1964001							
SAMN02403070	PRJNA47685	D1964002							
SAMN02403071	PRJNA47685	D1982001							
SAMN02403072	PRJNA47685	D1991004							
SAMN02403073	PRJNA47685	E1977001							
SAMN02403074	PRJNA47685	EV76-CN					China: Lanzhou		
SAMN02403075	PRJNA47685	F1946001							
SAMN02403076	PRJNA47685	F1954001							
SAMN02403077	PRJNA47685	F1984001							
SAMN02403078	PRJNA47685	G1996006							
SAMN02403079	PRJNA47685	G1996010							
SAMN02403080	PRJNA47685	G8786							
SAMN02403081	PRJNA47685	H1958004							
SAMN02403082	PRJNA47685	H1959004							
SAMN02403083	PRJNA47685	I160001							
SAMN02403084	PRJNA47685	I1969003							
SAMN02403085	PRJNA47685	I1970005							
SAMN02403086	PRJNA47685	I1991001							
SAMN02403087	PRJNA47685	I1994006							
SAMN02403088	PRJNA47685	I2001001							
SAMN02403089	PRJNA47685	J1963002							
SAMN02403090	PRJNA47685	J1978002							
SAMN02403091	PRJNA47685	K11973002							
SAMN02403092	PRJNA47685	K21985002							
SAMN02403093	PRJNA47685	M0000002							
SAMN02403094	PRJNA47685	MGJZ11							
SAMN02403095	PRJNA47685	MGJZ12							
SAMN02403096	PRJNA47685	MGJZ3							
SAMN02403097	PRJNA47685	MGJZ6							
SAMN02403098	PRJNA47685	MGJZ7							
SAMN02403099	PRJNA47685	MGJZ9							
SAMN02403100	PRJNA47685	SHAN11							
SAMN02403101	PRJNA47685	SHAN12							
SAMN02403102	PRJNA47685	YN1065							
SAMN02403103	PRJNA47685	YN1683							
SAMN02403104	PRJNA47685	YN2179							
SAMN02403105	PRJNA47685	YN2551							
SAMN02403106	PRJNA47685	YN2588							
SAMN02403107	PRJNA47685	YN472							
SAMN02403108	PRJNA47685	YN663							
SAMN12214381	PRJNA552616		Homo sapiens	SRS5063441					REMOVE: Not Yersinia pestis
SAMN12214382	PRJNA552616		Homo sapiens	SRS5063440					REMOVE: Not Yersinia pestis
SAMN12214383	PRJNA552616		Homo sapiens	SRS5063439					REMOVE: Not Yersinia pestis
SAMN12214384	PRJNA552616		Homo sapiens	SRS5063438					REMOVE: Not Yersinia pestis
SAMN12214385	PRJNA552616		Homo sapiens	SRS5063437					REMOVE: Not Yersinia pestis
SAMN12214386	PRJNA552616		Homo sapiens	SRS5063436					REMOVE: Not Yersinia pestis
SAMN13679873	PRJNA597674	4701	Burkholderia sp. 4701			2018	Viet Nam		REMOVE: Not Yersinia pestis
SAMN13680007	PRJNA597689	4812	Burkholderia sp. 4812			2018	Viet Nam		REMOVE: Not Yersinia pestis
SAMN02603531	PRJNA67155	A1122							
SAMEA104443954			Aphanomyces astaci	ERS2061896			Czech Republic		REMOVE: Not Yersinia pestis
SAMEA104567043			Yersinia phage fEV-1	ERS2178327					REMOVE: Not Yersinia pestis
SAMEA5818798				ERS3607391					
SAMEA5818799				ERS3607392					
SAMEA5818800				ERS3607393					
SAMEA5818801				ERS3607394					
SAMEA5818802				ERS3607395					
SAMEA5818803				ERS3607396					
SAMEA5818804				ERS3607397					
SAMEA5818805				ERS3607398					
SAMEA5818806				ERS3607399					
SAMEA5818807				ERS3607400					
SAMEA5818808				ERS3607401					
SAMEA5818809				ERS3607402					
SAMEA5818810				ERS3607403					
SAMEA5818811				ERS3607404					
SAMEA5818812				ERS3607405					
SAMEA5818813				ERS3607406					
SAMEA5818814				ERS3607407					
SAMEA5818815				ERS3607408					
SAMEA5818816				ERS3607409					
SAMEA5818817				ERS3607410					
SAMEA5818818				ERS3607411					
SAMEA5818819				ERS3607412					
SAMEA5818820				ERS3607413					
SAMEA5818821				ERS3607414					
SAMEA5818822				ERS3607415					
SAMEA5818823				ERS3607416					
SAMEA5818824				ERS3607417					
SAMEA5818825				ERS3607418					
SAMEA5818826				ERS3607419					
SAMEA5818827				ERS3607420					
SAMEA5818828				ERS3607421					
SAMEA5818829				ERS3607422					
SAMEA5818830				ERS3607423					
SAMEA5818831				ERS3607424					
SAMEA5818832				ERS3607425					
SAMEA5818833				ERS3607426					
SAMEA5970602		KIM6		ERS3773446					
SAMEA5970603		KIM6		ERS3773447					
SAMEA5970604		KIM6		ERS3773448					
SAMEA5970605		KIM6		ERS3773449					
SAMEA5970707		KIM6		ERS3773551					
SAMEA5970708		KIM6		ERS3773552					
SAMEA5970709		KIM6		ERS3773553					
SAMEA5970710		KIM6		ERS3773554					
SAMN00004706		KIM D27		SRS006933					
SAMN00115134		??		SRS116667					
SAMN00115135		??		SRS116668					
SAMN00115136		??		SRS116669					
SAMN00115137		??		SRS116670					
SAMN00115138		??		SRS116671					
SAMN00115139		??		SRS116672					
SAMN00115140		??		SRS116673					
SAMN00115141		??		SRS116674					
SAMN00115142		??		SRS116675					
SAMN00115143		??		SRS116676					
SAMN00115144		??		SRS116677					
SAMN00115145		??		SRS116678					
SAMN00115146		??		SRS116679					
SAMN00115147		??		SRS116680					
SAMN00115148		??		SRS116681					
SAMN00115149		??		SRS116682					
SAMN00115150		??		SRS116683					
SAMN00115151		??		SRS116684					
SAMN00115152		??		SRS116685					
SAMN00115153		??		SRS116686					
SAMN00115154		??		SRS116687					
SAMN00115155		??		SRS116688					
SAMN00115156		??		SRS116689					
SAMN00115157		??		SRS116690					
SAMN00115158		??		SRS116691					
SAMN00115159		??		SRS116692					
SAMN00115160		??		SRS116693					
SAMN00115161		??		SRS116694					
SAMN00115162		??		SRS116695					
SAMN00115163		??		SRS116696					
SAMN00115164		??		SRS116697					
SAMN00115165		??		SRS116698					
SAMN00115166		??		SRS116699					
SAMN00115167		??		SRS116700					
SAMN00115168		??		SRS116701					
SAMN00115169		??		SRS116702					
SAMN00115170		??		SRS116703					
SAMN00115171		??		SRS116704					
SAMN00115172		??		SRS116705					
SAMN00115173		??		SRS116706					
SAMN00115174		??		SRS116707					
SAMN00115175		??		SRS116708					
SAMN00115176		??		SRS116709					
SAMN00115177		??		SRS116710					
SAMN00115178		??		SRS116711					
SAMN00115179		??		SRS116712					
SAMN00115180		??		SRS116713					
SAMN00115181		??		SRS116714					
SAMN00115182		??		SRS116715					
SAMN00115183		??		SRS116716					
SAMN00115184		??		SRS116717					
SAMN00115185		??		SRS116718					
SAMN00115186		??		SRS116719					
SAMN00115187		??		SRS116720					
SAMN00115188		??		SRS116721					
SAMN00115189		??		SRS116722					
SAMN00115190		??		SRS116723					
SAMN00115191		??		SRS116724					
SAMN00115192		??		SRS116725					
SAMN00115193		??		SRS116726					
SAMN00115194		??		SRS116727					
SAMN00115195		??		SRS116728					
SAMN00115196		??		SRS116729					
SAMN00115197		??		SRS116730					
SAMN00115198		??		SRS116731					
SAMN00115199		??		SRS116732					
SAMN00115200		??		SRS116733					
SAMN00115201		??		SRS116734					
SAMN00115202		??		SRS116735					
SAMN00115203		??		SRS116736					
SAMN00115204		??		SRS116737					
SAMN00115205		??		SRS116738					
SAMN00115206		??		SRS116739					
SAMN00115207		??		SRS116740					
SAMN00115208		??		SRS116741					
SAMN00115209		??		SRS116742					
SAMN00115210		??		SRS116743					
SAMN00115211		??		SRS116744					
SAMN00115212		??		SRS116745					
SAMN00115213		??		SRS116746					
SAMN00115214		??		SRS116747					
SAMN00115215		??		SRS116748					
SAMN00115216		??		SRS116749					
SAMN00115217		??		SRS116750					
SAMN00115218		??		SRS116751					
SAMN00115219		??		SRS116752					
SAMN00115220		??		SRS116753					
SAMN00115221		??		SRS116754					
SAMN00115222		??		SRS116755					
SAMN00115223		??		SRS116756					
SAMN00115224		??		SRS116757					
SAMN00115225		??		SRS116758					
SAMN00115226		??		SRS116759					
SAMN00115227		??		SRS116760					
SAMN00115228		??		SRS116761					
SAMN00115229		??		SRS116762					
SAMN00115230		??		SRS116763					
SAMN00115231		??		SRS116764					
SAMN00115232		??		SRS116765					
SAMN00115233		??		SRS116766					
SAMN00115234		??		SRS116767					
SAMN00115235		??		SRS116768					
SAMN00115236		??		SRS116769					
SAMN00115237		??		SRS116770					
SAMN00115238		??		SRS116771					
SAMN00115239		??		SRS116772					
SAMN00115240		??		SRS116773					
SAMN00115241		??		SRS116774					
SAMN00115242		??		SRS116775					
SAMN00115243		??		SRS116776					
SAMN00115244		??		SRS116777					
SAMN00115245		??		SRS116778					
SAMN00115246		??		SRS116779					
SAMN00115247		??		SRS116780					
SAMN00115248		??		SRS116781					
SAMN00115249		??		SRS116782					
SAMN00115250		??		SRS116783					
SAMN00115251		??		SRS116784					
SAMN00222601		KIM D27		SRS178859					
SAMN00704075		PY-03		SRS255993					
SAMN00704077		PY-04		SRS255995					
SAMN00704239		PY-05		SRS256153					
SAMN00704240		PY-06		SRS256154					
SAMN00704241		PY-07		SRS256155					
SAMN00704242		PY-08		SRS256156					
SAMN00704243		PY-09		SRS256157					
SAMN00704244		PY-10		SRS256158					
SAMN00704246		PY-11		SRS256160					
SAMN00704247		PY-12		SRS256161					
SAMN00704248		PY-13		SRS256162					
SAMN00704249		PY-14		SRS256163					
SAMN00704250		PY-15		SRS256164					
SAMN00704251		PY-16		SRS256165					
SAMN00704252		PY-19		SRS256166					
SAMN00704253		PY-100		SRS256167					
SAMN00704254		PY-101		SRS256168					
SAMN00704255		PY-103		SRS256169					
SAMN00704256		PY-102		SRS256170					
SAMN00704257		PY-113		SRS256171					
SAMN00704265		PY-25		SRS256179					
SAMN00704266		PY-29		SRS256180					
SAMN00704267		PY-34		SRS256181					
SAMN00704268		PY-36		SRS256182					
SAMN00704269		PY-32		SRS256183					
SAMN00704270		PY-42		SRS256184					
SAMN00704271		PY-54		SRS256185					
SAMN00704272		PY-45		SRS256186					
SAMN00704273		PY-47		SRS256187					
SAMN00704274		PY-53		SRS256188					
SAMN00704275		PY-55		SRS256189					
SAMN00704276		PY-52		SRS256190					
SAMN00704277		PY-46		SRS256191					
SAMN00704278		PY-48		SRS256192					
SAMN00704279		PY-58		SRS256193					
SAMN00704280		PY-59		SRS256194					
SAMN00704281		PY-61		SRS256195					
SAMN00704282		PY-63		SRS256196					
SAMN00704283		PY-64		SRS256197					
SAMN00704284		PY-66		SRS256198					
SAMN00704285		PY-56		SRS256199					
SAMN00704286		PY-60		SRS256200					
SAMN00704287		PY-65		SRS256201					
SAMN00704288		PY-71		SRS256202					
SAMN00704289		PY-72		SRS256203					
SAMN00704290		PY-76		SRS256204					
SAMN00704291		PY-88		SRS256205					
SAMN00704292		PY-89		SRS256206					
SAMN00704293		PY-90		SRS256207					
SAMN00704294		PY-91		SRS256208					
SAMN00704295		PY-92		SRS256209					
SAMN00706751		PY-93		SRS256215					
SAMN00706752		PY-94		SRS256216					
SAMN00706753		PY-95		SRS256217					
SAMN00706754		PY-96		SRS256218					
SAMN00706755		PY-98		SRS256219					
SAMN00706783		PY-99		SRS256247					
SAMN00710637		PY-02		SRS258342					
SAMN00715799				SRS259944					
SAMN00715800				SRS259945					
SAMN00715801				SRS259946					
SAMN00715802				SRS259947					
SAMN00739929		PY-01		SRS267443					
SAMN01818177		KIM D27		SRS376627					
SAMN01831179		AS200901156		SRS379546					
SAMN01831180		AS200901434		SRS379547					
SAMN01831181		AS200901509		SRS379548					
SAMN01831182		AS200901539		SRS379549					
SAMN01831183		BA200901703		SRS379550					
SAMN01831184		BA200901799		SRS379551					
SAMN01831185		BA200901990		SRS379552					
SAMN01831186		BA200902009		SRS379553					
SAMN01831187		AS200902147		SRS379554					
SAMN01853159		17/99 B		SRS385147		1999	Madagascar: Mahajanga	Homo sapiens	
SAMN01902218		G1670		SRS388210					
SAMN01902220		G3768		SRS388212					
SAMN01909378		G1670A		SRS391123					
SAMN02141448		PY-01				2006	"Peru:Chota, San Juan de Licupis, Los Porongos"	house mouse	
SAMN02141449		PY-02				2006	"Peru:Jaen, Santo Domingo de la Capilla, Chamana"	black rat	
SAMN02141450		PY-03				2006	"Peru:Jaen, Santo Domingo de la Capilla, Chamana"	black rat	
SAMN02141451		PY-04				2006	"Peru:Chota, San Juan de Licupis, Pay Pay"	black rat	
SAMN02141452		PY-05				2006	"Peru:Chota, San Juan de Licupis, Pay Pay"	black rat	
SAMN02141453		PY-06				2006	"Peru:Chota, San Juan de Licupis, Pay Pay"	guinea pig	
SAMN02141454		PY-07				2006	"Peru:Chota, San Juan de Licupis, Pay Pay"	black rat	
SAMN02141455		PY-08				2006	Peru:Jean	Homo sapiens	
SAMN02141456		PY-09				2006	Peru:Jean	Homo sapiens	
SAMN02141457		PY-10				2006	Peru:Jean	Homo sapiens	
SAMN02141458		PY-11				2007	Peru:Chota	Homo sapiens	
SAMN02141459		PY-12				2008	Peru:Jean	Homo sapiens	
SAMN02141460		PY-13				2008	Peru:Santa Cruz	Homo sapiens	
SAMN02141461		PY-14				2009	"Peru:Ascope, Casa Grande, Toma Jauregui"	black rat	
SAMN02141462		PY-15				2009	"Peru:Ascope, Casa Grande, Toma Jauregui"	Homo sapiens	
SAMN02141463		PY-16				2009	"Peru:Ascope, Casa Grande, Toma Jauregui"	Homo sapiens	
SAMN02141464		PY-19				2010	"Peru:Ascope, Casa Grande, Toma Jauregui"	rodent	
SAMN02141465		PY-25				2010	"Peru:Ascope, Chicama, La Libertad, AA.HH."	house mouse	
SAMN02141466		PY-29				2010	"Peru:Ascope, Chicama, La Libertad, AA.HH."	house mouse	
SAMN02141467		PY-32				2010	"Peru:Ascope, Chicama, Chicama"	Homo sapiens	
SAMN02141468		PY-34				2010	"Peru:Ascope, Chicama, La Libertad, AA.HH."	domestic cat	
SAMN02141469		PY-36				2010	"Peru:Ascope, Casa Grande, Mocan"	house mouse	
SAMN02141470		PY-42				2010	"Peru:Ascope, Chicama, La Libertad, AA.HH."	house mouse	
SAMN02141471		PY-45				2010	"Peru:Ascope, Chicama, La Libertad, AA.HH."	house mouse	
SAMN02141472		PY-46				2010	"Peru:Ascope, San Antonio"	domestic cat	
SAMN02141473		PY-47				2010	"Peru:Ascope, Casa Grande, Mocan"	domestic cat	
SAMN02141474		PY-48				2010	"Peru:Ascope, Chicama, La Libertad, AA.HH."	house mouse	
SAMN02141475		PY-52				2010	"Peru:Ascope, Chicama, Sector Peaje"	dog	
SAMN02141476		PY-53				2010	"Peru:Ascope, Chicama, Sector Peaje"	dog	
SAMN02141477		PY-54				2010	"Peru:Ascope, Chicama, Sector Peaje"	dog	
SAMN02141478		PY-55				2010	"Peru:Ascope, Chicama, Sector Peaje"	dog	
SAMN02141479		PY-56				2010	"Peru:Ascope, Chicama, La Libertad, AA.HH."	dog	
SAMN02141480		PY-58				2010	"Peru:Ascope, Chicama, La Libertad, AA.HH."	Norway rat	
SAMN02141481		PY-59				2010	Peru:Ascope	black rat	
SAMN02141482		PY-60				2010	"Peru:Trujillo, El Milagro, Sector 9"	Norway rat	
SAMN02141483		PY-61				2010	"Peru:Trujillo, El Milagro, Sector 9"	Norway rat	
SAMN02141484		PY-63				2010	"Peru:Trujillo, Salaverry, ENAPU"	Norway rat	
SAMN02141485		PY-64				2010	"Peru:Trujillo, Salaverry, ENAPU"	Norway rat	
SAMN02141486		PY-65				2010	"Peru:Trujillo, Salaverry, ENAPU"	Norway rat	
SAMN02141487		PY-66				2010	"Peru:Trujillo, Salaverry, ENAPU"	Norway rat	
SAMN02141488		PY-71				2010	"Peru:Ascope, Chicama, La Libertad, AA.HH."	black rat	
SAMN02141489		PY-72				2010	"Peru:Ascope, Chicama, La Libertad, AA.HH."	black rat	
SAMN02141490		PY-76				2010	"Peru:Ascope, Chicama, La Libertad, AA.HH."	cotton rat	
SAMN02141491		PY-88				2010	"Peru:Pacasmayo, Guadalupe, Mariscal Castilla"	black rat	
SAMN02141492		PY-89				2010	"Peru:Pacasmayo, Guadalupe, Mariscal Castilla"	Norway rat	
SAMN02141493		PY-90				2010	"Peru:Pacasmayo, Guadalupe, Mariscal Castilla"	Norway rat	
SAMN02141494		PY-91				2010	Peru:Chota	black rat	
SAMN02141495		PY-92				2010	Peru:Chota	black rat	
SAMN02141496		PY-93				2010	Peru:Chota	black rat	
SAMN02141497		PY-94				2010	Peru:Chota	black rat	
SAMN02141498		PY-95				2010	Peru:Chota	black rat	
SAMN02141499		PY-96				2010	"Peru:Ascope, Chicama, Sausal"	dog	
SAMN02141500		PY-98				2010	Peru:Ascope	Homo sapiens	
SAMN02141501		PY-99				2010	"Peru:Ascope, Chicama, La Libertad, AA.HH."	Norway rat	
SAMN02141502		PY-100				2010	"Peru:Ascope, Chicama, La Libertad, AA.HH."	Norway rat	
SAMN02141503		PY-101				2010	"Peru:Ascope, Santiago de Cao, Cartavio"	Homo sapiens	
SAMN02141504		PY-102				2010	"Peru:Ascope, Chicama, Sausal"	southern opossum	
SAMN02141505		PY-103				2010	"Peru:Ascope, Chicama, La Libertad, AA.HH."	southern opossum	
SAMN02141506		PY-113				2010	Peru:Ascope	Homo sapiens	
SAMN02442692		Justinian		SRS514388					
SAMN02442693		Justinian		SRS514389					
