#node	clock_length	mutation_length	rate	fold_change
NODE32	6.171e-07	1.504e-06	8.791e-09	1.00
GCA_001972395.1_ASM197239v1_genomic	6.070e-06	1.055e-05	8.791e-09	1.00
GCA_002165475.1_ASM216547v1_genomic	6.298e-06	1.033e-05	8.791e-09	1.00
NODE44	1.205e-05	1.553e-05	8.791e-09	1.00
NODE45	5.720e-06	6.667e-06	8.791e-09	1.00
NODE46	2.434e-07	4.298e-07	8.791e-09	1.00
GCA_001295055.1_ASM129505v1_genomic	2.476e-06	2.149e-07	8.791e-09	1.00
NODE48	1.597e-07	4.298e-07	8.791e-09	1.00
GCA_001294985.1_ASM129498v1_genomic	2.219e-06	9.447e-22	8.791e-09	1.00
GCA_001972415.1_ASM197241v1_genomic	2.140e-06	1.292e-05	8.791e-09	1.00
GCA_003074435.1_ASM307443v1_genomic	2.272e-06	2.149e-07	8.791e-09	1.00
NODE49	2.228e-06	4.298e-07	8.791e-09	1.00
GCA_003074395.1_ASM307439v1_genomic	-1.000e-12	9.500e-22	8.791e-09	1.00
GCA_003074415.1_ASM307441v1_genomic	-1.000e-12	9.463e-22	8.791e-09	1.00
NODE57	1.601e-06	6.447e-07	8.791e-09	1.00
GCA_001295065.1_ASM129506v1_genomic	9.429e-07	4.298e-07	8.791e-09	1.00
NODE60	4.495e-07	4.299e-07	8.791e-09	1.00
GCA_003085875.1_ASM308587v1_genomic	5.462e-07	9.320e-22	8.791e-09	1.00
NODE62	5.403e-07	1.075e-06	8.791e-09	1.00
GCA_001188325.1_YPY_1_genomic	0.000e+00	9.272e-22	8.791e-09	1.00
GCA_001188715.1_ASM118871v1_genomic	0.000e+00	9.268e-22	8.791e-09	1.00
NODE65	4.449e-07	4.298e-07	8.791e-09	1.00
GCA_001295185.1_ASM129518v1_genomic	4.804e-07	4.298e-07	8.791e-09	1.00
GCA_000834315.1_ASM83431v1_genomic	3.309e-07	9.373e-22	8.791e-09	1.00
GCA_001294905.1_ASM129490v1_genomic	5.155e-07	9.354e-22	8.791e-09	1.00
NODE71	6.711e-08	2.149e-07	8.791e-09	1.00
GCA_001295105.1_ASM129510v1_genomic	4.221e-07	9.356e-22	8.791e-09	1.00
GCA_006376505.1_ASM637650v1_genomic	4.221e-07	1.720e-06	8.791e-09	1.00
NODE74	7.283e-06	7.966e-06	8.791e-09	1.00
GCA_000834985.1_ASM83498v1_genomic	8.134e-07	9.450e-22	8.791e-09	1.00
NODE76	9.984e-08	2.149e-07	8.791e-09	1.00
GCA_003085935.1_ASM308593v1_genomic	7.839e-07	9.407e-22	8.791e-09	1.00
NODE78	6.711e-08	2.149e-07	8.791e-09	1.00
GCA_001295045.1_ASM129504v1_genomic	8.311e-07	9.407e-22	8.791e-09	1.00
GCA_001294915.1_ASM129491v1_genomic	8.751e-07	9.397e-22	8.791e-09	1.00
GCA_006376545.1_ASM637654v1_genomic	8.135e-07	1.290e-06	8.791e-09	1.00
NODE84	9.757e-08	4.298e-07	8.791e-09	1.00
GCA_001188795.1_ASM118879v1_genomic	6.896e-07	4.298e-07	8.791e-09	1.00
GCA_002993145.1_ASM299314v1_genomic	8.039e-07	9.379e-22	8.791e-09	1.00
NODE90	2.749e-07	8.596e-07	8.791e-09	1.00
GCA_000382505.1_Yersinia_pestis_G1670E_assembly_genomic	7.136e-07	1.289e-06	8.791e-09	1.00
GCA_001294815.1_ASM129481v1_genomic	5.641e-07	1.290e-06	8.791e-09	1.00
NODE93	9.582e-07	3.870e-06	8.791e-09	1.00
GCA_000382545.1_Yersinia_pestis_assembly_genomic	0.000e+00	9.356e-22	8.791e-09	1.00
GCA_001188335.1_DYA_1_genomic	0.000e+00	9.340e-22	8.791e-09	1.00
NODE96	3.774e-07	2.149e-07	8.791e-09	1.00
NODE97	5.408e-07	2.149e-07	8.791e-09	1.00
GCA_000382525.1_Yersinia_pestis_G3768_assembly_genomic	0.000e+00	9.320e-22	8.791e-09	1.00
GCA_001188755.1_ASM118875v1_genomic	-1.000e-12	9.289e-22	8.791e-09	1.00
NODE100	1.720e-07	2.149e-07	8.791e-09	1.00
GCA_001188775.1_ASM118877v1_genomic	1.402e-07	9.387e-22	8.791e-09	1.00
GCA_000324925.1_ASM32492v1_genomic	0.000e+00	9.363e-22	8.791e-09	1.00
NODE104	3.909e-07	1.075e-06	8.791e-09	1.00
GCA_001188695.1_ASM118869v1_genomic	0.000e+00	9.329e-22	8.791e-09	1.00
GCA_001188935.1_ASM118893v1_genomic	0.000e+00	9.337e-22	8.791e-09	1.00
NODE107	8.427e-06	9.680e-06	8.791e-09	1.00
SAMEA104488961	0.000e+00	1.098e-21	8.791e-09	1.00
NODE110	6.995e-07	4.298e-07	8.791e-09	1.00
NODE111	3.228e-05	1.766e-05	8.791e-09	1.00
GCA_000320425.1_ASM32042v1_genomic	1.382e-07	2.149e-07	8.791e-09	1.00
GCA_000323625.1_ASM32362v1_genomic	1.382e-07	1.044e-21	8.791e-09	1.00
NODE114	1.500e-05	1.615e-05	8.791e-09	1.00
NODE115	9.916e-06	8.177e-06	8.791e-09	1.00
NODE116	7.258e-06	4.515e-06	8.791e-09	1.00
GCA_000324665.1_ASM32466v1_genomic	2.113e-07	9.673e-22	8.791e-09	1.00
NODE118	1.361e-07	2.149e-07	8.791e-09	1.00
GCA_000324045.1_ASM32404v1_genomic	8.399e-08	9.908e-22	8.791e-09	1.00
GCA_000325185.1_ASM32518v1_genomic	8.399e-08	2.149e-07	8.791e-09	1.00
NODE121	5.275e-07	6.447e-07	8.791e-09	1.00
NODE122	4.981e-06	3.010e-06	8.791e-09	1.00
GCA_000324525.1_ASM32452v1_genomic	1.697e-06	4.298e-07	8.791e-09	1.00
NODE124	9.556e-07	1.289e-06	8.791e-09	1.00
GCA_000007885.1_ASM788v1_genomic	7.413e-07	1.505e-06	8.791e-09	1.00
GCA_000324465.1_ASM32446v1_genomic	7.413e-07	2.149e-07	8.791e-09	1.00
NODE127	1.183e-06	1.934e-06	8.791e-09	1.00
NODE128	9.375e-07	8.596e-07	8.791e-09	1.00
GCA_001294805.1_ASM129480v1_genomic	4.680e-06	1.257e-22	8.791e-09	1.00
GCA_002188815.1_ASM218881v1_genomic	4.680e-06	9.036e-06	8.791e-09	1.00
NODE131	2.437e-07	4.298e-07	8.791e-09	1.00
GCA_002188845.1_ASM218884v1_genomic	5.356e-06	1.442e-05	8.791e-09	1.00
GCA_003074175.1_ASM307417v1_genomic	5.365e-06	9.728e-22	8.791e-09	1.00
NODE134	8.558e-07	1.075e-06	8.791e-09	1.00
NODE135	1.474e-06	2.149e-06	8.791e-09	1.00
NODE136	1.460e-05	1.787e-05	8.791e-09	1.00
GCA_001294885.1_ASM129488v1_genomic	2.711e-07	9.405e-22	8.791e-09	1.00
GCA_002412235.1_Y.pestis_A-1249_genomic	1.920e-07	4.298e-07	8.791e-09	1.00
NODE139	7.916e-06	9.681e-06	8.791e-09	1.00
GCA_001601735.1_ASM160173v1_genomic	6.964e-06	1.055e-05	8.791e-09	1.00
GCA_001294975.1_ASM129497v1_genomic	6.964e-06	8.596e-07	8.791e-09	1.00
GCA_001295145.1_ASM129514v1_genomic	6.964e-06	2.149e-07	8.791e-09	1.00
GCA_001972505.1_ASM197250v1_genomic	6.964e-06	1.874e-05	8.791e-09	1.00
NODE146	8.049e-06	6.451e-06	8.791e-09	1.00
NODE147	1.466e-06	1.075e-06	8.791e-09	1.00
NODE148	1.285e-07	2.149e-07	8.791e-09	1.00
GCA_001294965.1_ASM129496v1_genomic	6.904e-06	2.149e-07	8.791e-09	1.00
NODE150	3.225e-07	8.596e-07	8.791e-09	1.00
GCA_002188725.1_ASM218872v1_genomic	6.625e-06	1.119e-05	8.791e-09	1.00
GCA_002188765.1_ASM218876v1_genomic	6.625e-06	1.356e-05	8.791e-09	1.00
NODE153	2.192e-06	4.298e-07	8.791e-09	1.00
GCA_002188685.1_ASM218868v1_genomic	4.884e-06	8.389e-06	8.791e-09	1.00
GCA_003085955.1_ASM308595v1_genomic	4.946e-06	1.290e-06	8.791e-09	1.00
GCA_003086035.1_ASM308603v1_genomic	4.928e-06	8.596e-07	8.791e-09	1.00
NODE158	2.316e-06	2.365e-06	8.791e-09	1.00
GCA_000182545.1_ASM18254v1_genomic	5.725e-06	2.149e-07	8.791e-09	1.00
GCA_003085895.1_ASM308589v1_genomic	6.006e-06	2.149e-07	8.791e-09	1.00
GCA_000834925.1_ASM83492v1_genomic	5.725e-06	2.149e-07	8.791e-09	1.00
GCA_001295115.1_ASM129511v1_genomic	5.822e-06	2.149e-07	8.791e-09	1.00
NODE159	4.587e-07	8.596e-07	8.791e-09	1.00
GCA_001972475.1_ASM197247v1_genomic	5.715e-06	9.251e-06	8.791e-09	1.00
GCA_002188755.1_ASM218875v1_genomic	5.504e-06	6.882e-06	8.791e-09	1.00
NODE171	3.027e-07	8.596e-07	8.791e-09	1.00
GCA_002173795.1_ASM217379v1_genomic	5.924e-06	9.035e-06	8.791e-09	1.00
GCA_002173805.1_ASM217380v1_genomic	5.871e-06	1.357e-05	8.791e-09	1.00
NODE174	1.919e-07	4.298e-07	8.791e-09	1.00
GCA_002188775.1_ASM218877v1_genomic	6.034e-06	7.528e-06	8.791e-09	1.00
NODE176	7.518e-07	1.504e-06	8.791e-09	1.00
GCA_001972515.1_ASM197251v1_genomic	5.230e-06	6.884e-06	8.791e-09	1.00
GCA_002173815.1_ASM217381v1_genomic	5.230e-06	8.821e-06	8.791e-09	1.00
NODE179	2.923e-06	1.934e-06	8.791e-09	1.00
NODE180	2.607e-05	2.264e-05	8.791e-09	1.00
NODE181	2.589e-06	3.224e-06	8.791e-09	1.00
GCA_006546725.1_ASM654672v1_genomic	1.381e-06	9.995e-22	8.791e-09	1.00
NODE183	4.858e-07	1.075e-06	8.791e-09	1.00
GCA_006517425.1_ASM651742v1_genomic	8.596e-07	2.149e-07	8.791e-09	1.00
NODE185	2.161e-07	6.447e-07	8.791e-09	1.00
GCA_002981995.1_ASM298199v1_genomic	5.643e-07	9.997e-22	8.791e-09	1.00
NODE187	1.076e-07	4.298e-07	8.791e-09	1.00
GCA_000950945.1_ASM95094v1_genomic	5.710e-07	2.795e-06	8.791e-09	1.00
GCA_002981915.1_ASM298191v1_genomic	5.710e-07	9.963e-22	8.791e-09	1.00
NODE190	2.033e-06	1.289e-06	8.791e-09	1.00
NODE191	1.420e-06	6.447e-07	8.791e-09	1.00
GCA_003122795.1_Y.pestis_I-2422_genomic	4.113e-07	4.298e-07	8.791e-09	1.00
GCA_006546665.1_ASM654666v1_genomic	5.256e-07	2.149e-07	8.791e-09	1.00
NODE194	8.989e-07	1.075e-06	8.791e-09	1.00
GCA_006546745.1_ASM654674v1_genomic	1.073e-06	8.602e-07	8.791e-09	1.00
NODE196	9.148e-07	1.290e-06	8.791e-09	1.00
GCA_002981955.1_ASM298195v1_genomic	-1.000e-12	9.988e-22	8.791e-09	1.00
GCA_002981895.1_ASM298189v1_genomic	-1.000e-12	1.001e-21	8.791e-09	1.00
GCA_001295025.1_ASM129502v1_genomic	-1.000e-12	9.978e-22	8.791e-09	1.00
GCA_002981925.1_ASM298192v1_genomic	-1.000e-12	9.988e-22	8.791e-09	1.00
NODE203	1.079e-05	8.607e-06	8.791e-09	1.00
NODE204	7.139e-06	2.364e-06	8.791e-09	1.00
NODE205	9.912e-06	8.819e-06	8.791e-09	1.00
GCA_000323665.1_ASM32366v1_genomic	2.267e-06	2.149e-07	8.791e-09	1.00
NODE207	2.030e-06	3.870e-06	8.791e-09	1.00
GCA_000324345.1_ASM32434v1_genomic	1.319e-07	9.917e-22	8.791e-09	1.00
GCA_000324205.1_ASM32420v1_genomic	1.143e-07	9.901e-22	8.791e-09	1.00
GCA_000323425.1_ASM32342v1_genomic	2.989e-07	1.012e-21	8.791e-09	1.00
GCA_000323185.1_ASM32318v1_genomic	1.582e-07	9.927e-22	8.791e-09	1.00
GCA_000324185.1_ASM32418v1_genomic	-1.000e-12	9.925e-22	8.791e-09	1.00
NODE216	9.332e-06	4.085e-06	8.791e-09	1.00
GCA_000324225.1_ASM32422v1_genomic	2.688e-06	1.039e-21	8.791e-09	1.00
NODE218	2.411e-06	3.439e-06	8.791e-09	1.00
GCA_009670935.1_ASM967093v1_genomic	1.986e-07	2.149e-07	8.791e-09	1.00
GCA_009670475.1_ASM967047v1_genomic	3.393e-07	2.149e-07	8.791e-09	1.00
NODE223	3.481e-07	2.149e-07	8.791e-09	1.00
GCA_009670245.1_ASM967024v1_genomic	2.637e-08	1.013e-21	8.791e-09	1.00
GCA_009670445.1_ASM967044v1_genomic	-1.000e-12	1.023e-21	8.791e-09	1.00
NODE227	2.074e-07	2.149e-07	8.791e-09	1.00
GCA_009669715.1_ASM966971v1_genomic	1.582e-07	2.149e-07	8.791e-09	1.00
GCA_009670155.1_ASM967015v1_genomic	2.022e-07	1.029e-21	8.791e-09	1.00
GCA_009670875.1_ASM967087v1_genomic	8.790e-09	1.016e-21	8.791e-09	1.00
GCA_009670135.1_ASM967013v1_genomic	2.022e-07	1.026e-21	8.791e-09	1.00
GCA_009669975.1_ASM966997v1_genomic	2.374e-07	1.456e-22	8.791e-09	1.00
GCA_009670385.1_ASM967038v1_genomic	1.582e-07	2.149e-07	8.791e-09	1.00
GCA_009667895.1_ASM966789v1_genomic	2.022e-07	1.449e-22	8.791e-09	1.00
GCA_009670895.1_ASM967089v1_genomic	8.790e-09	1.456e-22	8.791e-09	1.00
GCA_009670015.1_ASM967001v1_genomic	2.286e-07	1.456e-22	8.791e-09	1.00
GCA_009670905.1_ASM967090v1_genomic	-1.000e-12	1.456e-22	8.791e-09	1.00
GCA_009670515.1_ASM967051v1_genomic	1.319e-07	1.456e-22	8.791e-09	1.00
GCA_009670565.1_ASM967056v1_genomic	1.319e-07	1.456e-22	8.791e-09	1.00
GCA_009669775.1_ASM966977v1_genomic	1.319e-07	1.456e-22	8.791e-09	1.00
GCA_009670075.1_ASM967007v1_genomic	2.198e-07	1.456e-22	8.791e-09	1.00
NODE255	1.143e-07	4.298e-07	8.791e-09	1.00
GCA_009670055.1_ASM967005v1_genomic	1.055e-07	1.027e-21	8.791e-09	1.00
GCA_009670115.1_ASM967011v1_genomic	9.670e-08	1.414e-22	8.791e-09	1.00
GCA_009670665.1_ASM967066v1_genomic	-1.000e-12	1.025e-21	8.791e-09	1.00
NODE262	1.231e-07	2.149e-07	8.791e-09	1.00
GCA_009669935.1_ASM966993v1_genomic	-1.000e-12	1.445e-22	8.791e-09	1.00
GCA_009669625.1_ASM966962v1_genomic	8.791e-08	1.445e-22	8.791e-09	1.00
GCA_009670045.1_ASM967004v1_genomic	-1.000e-12	1.025e-21	8.791e-09	1.00
NODE267	1.497e-07	4.298e-07	8.791e-09	1.00
GCA_009669675.1_ASM966967v1_genomic	5.254e-08	1.023e-21	8.791e-09	1.00
GCA_009669635.1_ASM966963v1_genomic	4.375e-08	2.149e-07	8.791e-09	1.00
GCA_009669825.1_ASM966982v1_genomic	2.617e-08	1.023e-21	8.791e-09	1.00
NODE272	1.036e-07	2.149e-07	8.791e-09	1.00
GCA_009670865.1_ASM967086v1_genomic	1.301e-07	1.027e-21	8.791e-09	1.00
GCA_009667885.1_ASM966788v1_genomic	2.620e-07	1.028e-21	8.791e-09	1.00
GCA_009670325.1_ASM967032v1_genomic	2.620e-07	1.026e-21	8.791e-09	1.00
GCA_009670355.1_ASM967035v1_genomic	2.620e-07	1.025e-21	8.791e-09	1.00
NODE277	5.335e-08	2.149e-07	8.791e-09	1.00
GCA_009669705.1_ASM966970v1_genomic	2.087e-07	1.025e-21	8.791e-09	1.00
GCA_009670995.1_ASM967099v1_genomic	4.164e-08	2.149e-07	8.791e-09	1.00
NODE293	1.389e-07	2.149e-07	8.791e-09	1.00
GCA_009670725.1_ASM967072v1_genomic	1.758e-08	1.026e-21	8.791e-09	1.00
GCA_009670815.1_ASM967081v1_genomic	-1.000e-12	1.445e-22	8.791e-09	1.00
NODE283	1.829e-07	2.149e-07	8.791e-09	1.00
GCA_009670775.1_ASM967077v1_genomic	-1.000e-12	1.025e-21	8.791e-09	1.00
GCA_009670715.1_ASM967071v1_genomic	-1.000e-12	1.024e-21	8.791e-09	1.00
GCA_009670575.1_ASM967057v1_genomic	5.275e-08	1.024e-21	8.791e-09	1.00
GCA_009670625.1_ASM967062v1_genomic	5.275e-08	1.024e-21	8.791e-09	1.00
NODE297	1.389e-07	2.149e-07	8.791e-09	1.00
GCA_009670005.1_ASM967000v1_genomic	2.022e-07	2.149e-07	8.791e-09	1.00
GCA_009670465.1_ASM967046v1_genomic	1.055e-07	1.016e-21	8.791e-09	1.00
GCA_009669765.1_ASM966976v1_genomic	9.670e-08	1.028e-21	8.791e-09	1.00
GCA_009670705.1_ASM967070v1_genomic	-1.000e-12	1.028e-21	8.791e-09	1.00
NODE304	1.198e-07	2.149e-07	8.791e-09	1.00
GCA_009667985.1_ASM966798v1_genomic	1.422e-07	2.149e-07	8.791e-09	1.00
GCA_009669555.1_ASM966955v1_genomic	3.093e-07	1.025e-21	8.791e-09	1.00
GCA_009670485.1_ASM967048v1_genomic	1.246e-07	1.022e-21	8.791e-09	1.00
GCA_009669545.1_ASM966954v1_genomic	3.181e-07	1.445e-22	8.791e-09	1.00
GCA_009669605.1_ASM966960v1_genomic	3.093e-07	1.025e-21	8.791e-09	1.00
GCA_009670605.1_ASM967060v1_genomic	1.071e-07	1.026e-21	8.791e-09	1.00
GCA_009670675.1_ASM967067v1_genomic	8.948e-08	1.442e-22	8.791e-09	1.00
GCA_000323365.1_ASM32336v1_genomic	1.035e-08	2.149e-07	8.791e-09	1.00
GCA_009667935.1_ASM966793v1_genomic	1.422e-07	1.028e-21	8.791e-09	1.00
GCA_009670765.1_ASM967076v1_genomic	6.310e-08	1.027e-21	8.791e-09	1.00
GCA_009670395.1_ASM967039v1_genomic	1.246e-07	2.149e-07	8.791e-09	1.00
GCA_009670415.1_ASM967041v1_genomic	1.422e-07	2.149e-07	8.791e-09	1.00
GCA_009670835.1_ASM967083v1_genomic	5.431e-08	1.445e-22	8.791e-09	1.00
GCA_009669905.1_ASM966990v1_genomic	2.741e-07	1.445e-22	8.791e-09	1.00
GCA_009670205.1_ASM967020v1_genomic	1.598e-07	1.445e-22	8.791e-09	1.00
GCA_009670785.1_ASM967078v1_genomic	5.431e-08	1.445e-22	8.791e-09	1.00
GCA_009670345.1_ASM967034v1_genomic	1.510e-07	1.445e-22	8.791e-09	1.00
GCA_009669875.1_ASM966987v1_genomic	2.741e-07	1.445e-22	8.791e-09	1.00
GCA_009669565.1_ASM966956v1_genomic	3.093e-07	1.445e-22	8.791e-09	1.00
GCA_009669805.1_ASM966980v1_genomic	8.948e-08	1.445e-22	8.791e-09	1.00
GCA_009670585.1_ASM967058v1_genomic	1.071e-07	1.445e-22	8.791e-09	1.00
GCA_009669955.1_ASM966995v1_genomic	2.653e-07	1.445e-22	8.791e-09	1.00
GCA_009669925.1_ASM966992v1_genomic	2.565e-07	1.445e-22	8.791e-09	1.00
GCA_009669835.1_ASM966983v1_genomic	2.741e-07	1.445e-22	8.791e-09	1.00
GCA_009669845.1_ASM966984v1_genomic	2.741e-07	1.445e-22	8.791e-09	1.00
GCA_009670545.1_ASM967054v1_genomic	1.158e-07	1.445e-22	8.791e-09	1.00
GCA_009670105.1_ASM967010v1_genomic	1.686e-07	1.445e-22	8.791e-09	1.00
GCA_009667945.1_ASM966794v1_genomic	1.422e-07	1.445e-22	8.791e-09	1.00
GCA_009669665.1_ASM966966v1_genomic	2.829e-07	1.445e-22	8.791e-09	1.00
NODE329	1.290e-07	4.298e-07	8.791e-09	1.00
GCA_009670285.1_ASM967028v1_genomic	2.205e-08	1.022e-21	8.791e-09	1.00
GCA_009669725.1_ASM966972v1_genomic	2.205e-08	1.022e-21	8.791e-09	1.00
GCA_009670305.1_ASM967030v1_genomic	2.205e-08	1.022e-21	8.791e-09	1.00
GCA_009670235.1_ASM967023v1_genomic	2.205e-08	2.149e-07	8.791e-09	1.00
GCA_009670185.1_ASM967018v1_genomic	3.084e-08	1.022e-21	8.791e-09	1.00
GCA_009667925.1_ASM966792v1_genomic	2.205e-08	1.022e-21	8.791e-09	1.00
GCA_009670225.1_ASM967022v1_genomic	2.205e-08	1.022e-21	8.791e-09	1.00
NODE375	1.309e-06	1.934e-06	8.791e-09	1.00
NODE376	6.545e-07	1.075e-06	8.791e-09	1.00
SAMEA1061800	1.706e-06	8.599e-07	8.791e-09	1.00
NODE378	3.949e-06	8.389e-06	8.791e-09	1.00
SAMEA5661365	2.709e-07	1.044e-21	8.791e-09	1.00
NODE379	6.447e-07	6.447e-07	8.791e-09	1.00
SAMEA5661363	0.000e+00	9.982e-22	8.791e-09	1.00
SAMEA5661364	0.000e+00	1.051e-21	8.791e-09	1.00
NODE384	2.117e-07	6.447e-07	8.791e-09	1.00
SAMEA5661384	0.000e+00	1.003e-21	8.791e-09	1.00
NODE386	7.143e-08	2.149e-07	8.791e-09	1.00
SAMEA5661385	2.149e-07	2.149e-07	8.791e-09	1.00
NODE396	2.488e-06	3.655e-06	8.791e-09	1.00
SAMEA5661367	2.149e-07	2.149e-07	8.791e-09	1.00
NODE398	7.298e-07	1.075e-06	8.791e-09	1.00
SAMEA5661372	0.000e+00	1.016e-21	8.791e-09	1.00
SAMEA5661375	2.365e-06	2.365e-06	8.791e-09	1.00
NODE387	8.174e-08	2.149e-07	8.791e-09	1.00
SAMEA4354665	0.000e+00	9.931e-22	8.791e-09	1.00
SAMEA5661389	0.000e+00	9.993e-22	8.791e-09	1.00
SAMEA5661360	0.000e+00	1.020e-21	8.791e-09	1.00
SAMEA5661390	2.314e-07	6.449e-07	8.791e-09	1.00
NODE401	6.436e-06	5.160e-06	8.791e-09	1.00
NODE403	1.165e-05	3.224e-06	8.791e-09	1.00
GCA_000169675.1_ASM16967v1_genomic	-1.000e-12	1.011e-21	8.791e-09	1.00
GCA_000320465.1_ASM32046v1_genomic	-1.000e-12	1.013e-21	8.791e-09	1.00
NODE406	4.451e-06	6.021e-06	8.791e-09	1.00
NODE407	3.512e-06	6.447e-07	8.791e-09	1.00
GCA_002412245.1_Y.pestis_A-1691_genomic	3.407e-06	3.440e-06	8.791e-09	1.00
GCA_003074595.1_ASM307459v1_genomic	3.372e-06	1.010e-21	8.791e-09	1.00
NODE410	3.682e-07	8.596e-07	8.791e-09	1.00
GCA_002412255.1_Y.pestis_A-1836_genomic	6.656e-06	2.222e-05	8.791e-09	1.00
GCA_003074535.1_ASM307453v1_genomic	6.384e-06	1.005e-21	8.791e-09	1.00
NODE413	9.436e-07	1.075e-06	8.791e-09	1.00
NODE414	9.128e-06	3.225e-06	8.791e-09	1.00
NODE415	4.913e-07	6.447e-07	8.791e-09	1.00
NODE416	4.122e-07	2.149e-07	8.791e-09	1.00
GCA_000323385.1_ASM32338v1_genomic	6.062e-07	4.298e-07	8.791e-09	1.00
GCA_000323705.1_ASM32370v1_genomic	2.633e-07	2.149e-07	8.791e-09	1.00
NODE419	2.342e-07	4.298e-07	8.791e-09	1.00
GCA_001188675.1_ASM118867v1_genomic	4.852e-07	2.149e-07	8.791e-09	1.00
GCA_002412225.1_Y.pestis_A-1486_genomic	5.292e-07	1.290e-06	8.791e-09	1.00
NODE422	9.080e-07	2.149e-07	8.791e-09	1.00
GCA_000734805.1_ASM73480v1_genomic	1.797e-07	1.008e-21	8.791e-09	1.00
GCA_000324165.1_ASM32416v1_genomic	4.610e-07	2.149e-07	8.791e-09	1.00
NODE426	5.528e-07	8.596e-07	8.791e-09	1.00
GCA_000323405.1_ASM32340v1_genomic	8.399e-08	2.149e-07	8.791e-09	1.00
GCA_000324065.1_ASM32406v1_genomic	1.016e-07	1.024e-21	8.791e-09	1.00
NODE429	4.875e-07	8.596e-07	8.791e-09	1.00
NODE430	7.959e-07	2.149e-07	8.791e-09	1.00
NODE431	2.517e-06	1.935e-06	8.791e-09	1.00
NODE432	4.005e-06	2.149e-07	8.791e-09	1.00
GCA_000323505.1_ASM32350v1_genomic	2.911e-06	1.000e-21	8.791e-09	1.00
NODE434	2.329e-06	2.364e-06	8.791e-09	1.00
GCA_000324325.1_ASM32432v1_genomic	2.040e-07	2.149e-07	8.791e-09	1.00
NODE436	2.248e-07	2.149e-07	8.791e-09	1.00
GCA_000323525.1_ASM32352v1_genomic	2.253e-07	1.002e-21	8.791e-09	1.00
GCA_000323765.1_ASM32376v1_genomic	1.111e-07	2.149e-07	8.791e-09	1.00
NODE439	2.416e-06	4.301e-06	8.791e-09	1.00
GCA_002188855.1_ASM218885v1_genomic	4.210e-06	1.076e-05	8.791e-09	1.00
NODE441	2.535e-06	6.447e-07	8.791e-09	1.00
NODE442	1.912e-06	2.364e-06	8.791e-09	1.00
GCA_000325205.1_ASM32520v1_genomic	1.758e-08	9.701e-22	8.791e-09	1.00
GCA_000325305.1_ASM32530v1_genomic	-1.000e-12	9.727e-22	8.791e-09	1.00
NODE445	1.121e-06	2.149e-07	8.791e-09	1.00
GCA_000325245.1_ASM32524v1_genomic	6.325e-07	2.149e-07	8.791e-09	1.00
