#Lower and upper bound delineate the 95% max posterior region
#node	date	numeric date	lower bound	upper bound
GCA_003085875.1_ASM308587v1_genomic	1975-01-01	1975.000000	1975.000000	1975.000000
NODE62	1974-05-03	1974.335307	1961.208144	1974.335193
GCA_001188325.1_YPY_1_genomic	1974-05-03	1974.335307	1961.000000	1976.000000
GCA_001188715.1_ASM118871v1_genomic	1974-05-03	1974.335307	1961.000000	1976.000000
NODE65	1919-06-13	1919.447380	1958.562727	1962.135321
GCA_001295185.1_ASM129518v1_genomic	1967-01-01	1967.000000	1967.000000	1967.000000
GCA_000834315.1_ASM83431v1_genomic	1950-01-01	1950.000114	1958.638947	1984.000000
GCA_001294905.1_ASM129490v1_genomic	1971-01-01	1971.000000	1971.000000	1971.000000
NODE71	1926-12-04	1926.924217	1958.916619	1966.900585
GCA_001295105.1_ASM129510v1_genomic	1968-01-01	1968.000000	1968.000000	1968.000000
GCA_006376505.1_ASM637650v1_genomic	1968-01-01	1968.000000	1968.000000	1968.000000
NODE74	1873-11-04	1873.841686	1750.524166	1872.233440
GCA_000834985.1_ASM83498v1_genomic	1950-01-01	1950.000114	1950.000000	1981.975052
NODE76	1890-11-05	1890.845869	1789.463109	1890.454228
GCA_003085935.1_ASM308593v1_genomic	1958-01-01	1958.000000	1958.000000	1958.000000
NODE78	1903-08-07	1903.598103	1824.608816	1906.631237
GCA_001295045.1_ASM129504v1_genomic	1971-01-01	1971.000000	1971.000000	1971.000000
GCA_001294915.1_ASM129491v1_genomic	1976-01-01	1976.000000	1976.000000	1976.000000
GCA_006376545.1_ASM637654v1_genomic	1969-01-01	1969.000000	1969.000000	1969.000000
NODE84	1917-10-20	1917.800303	1577.742765	1969.601070
GCA_001188795.1_ASM118879v1_genomic	1966-01-01	1966.000114	1977.754915	1997.000000
GCA_002993145.1_ASM299314v1_genomic	1979-01-01	1979.000000	1979.000000	1979.000000
NODE90	1943-03-15	1943.202534	1971.979503	1978.075629
GCA_000382505.1_Yersinia_pestis_G1670E_assembly_genomic	2000-01-01	2000.000114	1993.432242	2000.000000
GCA_001294815.1_ASM129481v1_genomic	1983-01-01	1983.000000	1983.000000	1983.000000
NODE93	1996-07-22	1996.555646	1989.975129	1996.555532
GCA_000382545.1_Yersinia_pestis_assembly_genomic	1996-07-22	1996.555646	1992.219014	2000.000000
GCA_001188335.1_DYA_1_genomic	1996-07-22	1996.555646	1992.219014	2000.000000
NODE96	1952-04-21	1952.304010	1969.860420	1977.013438
NODE97	1982-10-11	1982.777774	1983.183031	1992.000000
GCA_000382525.1_Yersinia_pestis_G3768_assembly_genomic	1982-10-11	1982.777774	1983.093277	2000.000000
GCA_001188755.1_ASM118875v1_genomic	1992-01-01	1992.000000	1992.000000	1992.000000
NODE100	1964-05-25	1964.397830	1969.986539	1989.984104
GCA_001188775.1_ASM118877v1_genomic	1966-01-01	1966.000114	1970.200550	1997.000000
GCA_000324925.1_ASM32492v1_genomic	1964-05-25	1964.397830	1970.145940	2000.000000
NODE104	1994-07-10	1994.521747	-4919.313471	1994.521634
GCA_001188695.1_ASM118869v1_genomic	1994-07-10	1994.521747	1994.606594	1996.964401
GCA_001188935.1_ASM118893v1_genomic	1994-07-10	1994.521747	1994.606594	1996.964401
NODE107	-1764-10-05	-1763.240964	-1884.952650	-1779.045752
SAMEA104488961	-1764-10-05	-1763.240964	-1918.000000	-1754.000000
NODE110	-1651-07-27	-1650.431551	-1747.830682	-1522.868895
NODE111	1982-10-29	1982.826901	1949.323074	2002.284148
GCA_000320425.1_ASM32042v1_genomic	2004-01-01	2004.000000	2004.000000	2004.000000
GCA_000323625.1_ASM32362v1_genomic	2004-01-01	2004.000000	2004.000000	2004.000000
NODE114	0132-01-20	132.054044	-158.454483	135.331466
NODE115	1282-01-16	1282.043574	1274.175302	1543.805784
NODE116	1975-10-11	1975.776691	1917.804424	1989.395345
GCA_000324665.1_ASM32466v1_genomic	2000-01-01	2000.000000	2000.000000	2000.000000
NODE118	1985-08-24	1985.644177	1976.177016	2000.987235
GCA_000324045.1_ASM32404v1_genomic	2001-01-01	2001.000000	2001.000000	2001.000000
GCA_000325185.1_ASM32518v1_genomic	2001-01-01	2001.000000	2001.000000	2001.000000
NODE121	1328-04-11	1328.274517	1324.835072	1457.945470
NODE122	1805-06-06	1805.429639	1801.828655	1906.771188
GCA_000324525.1_ASM32452v1_genomic	1970-01-01	1970.000000	1970.000000	1970.000000
NODE124	1903-08-18	1903.629591	1931.753272	1961.080047
GCA_000007885.1_ASM788v1_genomic	1970-01-01	1970.000000	1970.000000	1970.000000
GCA_000324465.1_ASM32446v1_genomic	1970-01-01	1970.000000	1970.000000	1970.000000
NODE127	1439-10-05	1439.759460	1629.485065	1697.527716
NODE128	1524-12-28	1524.991673	1823.535202	1896.419403
GCA_001294805.1_ASM129480v1_genomic	1984-01-01	1984.000000	1984.000000	1984.000000
GCA_002188815.1_ASM218881v1_genomic	1984-01-01	1984.000000	1984.000000	1984.000000
NODE131	1471-03-12	1471.192319	1939.299793	1943.646063
GCA_002188845.1_ASM218884v1_genomic	1982-01-01	1982.000000	1982.000000	1982.000000
GCA_003074175.1_ASM307417v1_genomic	1983-01-01	1983.000000	1983.000000	1983.000000
NODE134	0242-05-03	242.334484	540.936552	634.015118
NODE135	0455-04-19	455.296261	546.252732	737.989624
NODE136	1952-10-12	1952.780951	1913.531028	1969.007681
GCA_001294885.1_ASM129488v1_genomic	1979-01-01	1979.000000	1979.000000	1979.000000
GCA_002412235.1_Y.pestis_A-1249_genomic	1970-01-01	1970.000000	1970.000000	1970.000000
NODE139	1314-05-02	1314.332771	1305.480795	1430.006157
GCA_001601735.1_ASM160173v1_genomic	1980-01-01	1980.000000	1980.000000	1980.000000
GCA_001294975.1_ASM129497v1_genomic	1980-01-01	1980.000000	1980.000000	1980.000000
GCA_001295145.1_ASM129514v1_genomic	1980-01-01	1980.000000	1980.000000	1980.000000
GCA_001972505.1_ASM197250v1_genomic	1980-01-01	1980.000000	1980.000000	1980.000000
NODE146	1159-05-31	1159.411758	1304.544163	1347.112323
NODE147	1296-12-06	1296.929170	1348.833952	1501.006004
NODE148	1316-09-11	1316.695544	1361.279768	1513.866267
GCA_001294965.1_ASM129496v1_genomic	2002-01-01	2002.000000	2002.000000	2002.000000
NODE150	1374-08-10	1374.607594	1730.507109	1817.004712
GCA_002188725.1_ASM218872v1_genomic	2007-01-01	2007.000000	2007.000000	2007.000000
GCA_002188765.1_ASM218876v1_genomic	2007-01-01	2007.000000	2007.000000	2007.000000
NODE153	1615-06-12	1615.444664	1820.806841	1902.444241
GCA_002188685.1_ASM218868v1_genomic	2007-01-01	2007.000000	2007.000000	2007.000000
GCA_003085955.1_ASM308595v1_genomic	2014-01-01	2014.000000	2014.000000	2014.000000
GCA_003086035.1_ASM308603v1_genomic	2012-01-01	2012.000000	2012.000000	2012.000000
NODE158	1423-01-04	1423.009167	1401.834014	1506.044909
GCA_000182545.1_ASM18254v1_genomic	1950-01-01	1950.000114	1950.000000	1982.172051
GCA_003085895.1_ASM308589v1_genomic	1982-01-01	1982.000000	1982.000000	1982.000000
GCA_000834925.1_ASM83492v1_genomic	1950-01-01	1950.000114	1950.000000	1982.172796
GCA_001295115.1_ASM129511v1_genomic	1961-01-01	1961.000000	1961.000000	1961.000000
NODE159	1481-06-21	1481.469973	1785.972908	1861.065079
GCA_001972475.1_ASM197247v1_genomic	2001-01-01	2001.000000	2001.000000	2001.000000
GCA_002188755.1_ASM218875v1_genomic	1977-01-01	1977.000000	1977.000000	1977.000000
NODE171	1476-01-22	1476.057600	1751.086936	1832.534064
GCA_002173795.1_ASM217379v1_genomic	2007-01-01	2007.000000	2007.000000	2007.000000
GCA_002173805.1_ASM217380v1_genomic	2001-01-01	2001.000000	2001.000000	2001.000000
NODE174	1454-03-06	1454.177634	1741.429315	1821.620972
GCA_002188775.1_ASM218877v1_genomic	2007-01-01	2007.000000	2007.000000	2007.000000
NODE176	1545-07-01	1545.496933	1856.580465	1914.712097
GCA_001972515.1_ASM197251v1_genomic	2001-01-01	2001.000000	2001.000000	2001.000000
GCA_002173815.1_ASM217381v1_genomic	2001-01-01	2001.000000	2001.000000	2001.000000
NODE179	-1318-05-24	-1317.605528	-1557.884884	-1175.358231
NODE180	1570-03-23	1570.223266	1388.272557	1639.488169
NODE181	1802-09-04	1802.674332	1718.134449	1870.005157
GCA_006546725.1_ASM654672v1_genomic	1986-01-01	1986.000000	1986.000000	1986.000000
NODE183	1868-05-11	1868.358377	1815.599160	1920.775131
GCA_006517425.1_ASM651742v1_genomic	1982-01-01	1982.000000	1982.000000	1982.000000
NODE185	1902-09-29	1902.742725	1917.527386	1961.758815
GCA_002981995.1_ASM298199v1_genomic	1973-01-01	1973.000000	1973.000000	1973.000000
NODE187	1920-01-15	1920.039816	1973.433679	1978.868472
GCA_000950945.1_ASM95094v1_genomic	1986-01-01	1986.000000	1986.000000	1986.000000
GCA_002981915.1_ASM298191v1_genomic	1986-01-01	1986.000000	1986.000000	1986.000000
NODE190	1827-08-12	1827.613089	1793.597215	1901.250352
NODE191	1953-01-22	1953.059712	1968.331635	1973.288835
GCA_003122795.1_Y.pestis_I-2422_genomic	1974-01-01	1974.000000	1974.000000	1974.000000
GCA_006546665.1_ASM654666v1_genomic	1987-01-01	1987.000000	1987.000000	1987.000000
NODE194	1904-05-12	1904.361098	1964.069974	1968.119279
GCA_006546745.1_ASM654674v1_genomic	1990-01-01	1990.000000	1990.000000	1990.000000
NODE196	1972-01-01	1972.000114	1966.371557	1972.000000
GCA_002981955.1_ASM298195v1_genomic	1972-01-01	1972.000000	1972.000000	1972.000000
GCA_002981895.1_ASM298189v1_genomic	1972-01-01	1972.000000	1972.000000	1972.000000
GCA_001295025.1_ASM129502v1_genomic	1972-01-01	1972.000000	1972.000000	1972.000000
GCA_002981925.1_ASM298192v1_genomic	1972-01-01	1972.000000	1972.000000	1972.000000
NODE203	-154-06-07	-153.567326	-542.451096	-150.326067
NODE204	0787-04-11	787.274332	424.623076	969.120999
NODE205	1751-11-24	1751.895896	1602.052591	1820.032367
GCA_000323665.1_ASM32366v1_genomic	1994-01-01	1994.000000	1994.000000	1994.000000
NODE207	1967-01-01	1967.000114	1957.240250	1967.000000
GCA_000324345.1_ASM32434v1_genomic	1982-01-01	1982.000000	1982.000000	1982.000000
GCA_000324205.1_ASM32420v1_genomic	1980-01-01	1980.000000	1980.000000	1980.000000
GCA_000323425.1_ASM32342v1_genomic	2001-01-01	2001.000000	2001.000000	2001.000000
GCA_000323185.1_ASM32318v1_genomic	1985-01-01	1985.000000	1985.000000	1985.000000
GCA_000324185.1_ASM32418v1_genomic	1967-01-01	1967.000000	1967.000000	1967.000000
NODE216	1728-10-10	1728.775106	1542.163480	1797.379840
GCA_000324225.1_ASM32422v1_genomic	1976-01-01	1976.000000	1976.000000	1976.000000
NODE218	1952-10-15	1952.786914	1929.680694	1958.253320
GCA_009670935.1_ASM967093v1_genomic	1967-01-01	1967.000000	1967.000000	1967.000000
GCA_009670475.1_ASM967047v1_genomic	1983-01-01	1983.000000	1983.000000	1983.000000
NODE223	1984-01-01	1984.000114	1967.115315	1984.000000
GCA_009670245.1_ASM967024v1_genomic	1987-01-01	1987.000000	1987.000000	1987.000000
GCA_009670445.1_ASM967044v1_genomic	1984-01-01	1984.000000	1984.000000	1984.000000
NODE227	1968-01-01	1968.000114	1962.754381	1968.000000
GCA_009669715.1_ASM966971v1_genomic	1986-01-01	1986.000000	1986.000000	1986.000000
GCA_009670155.1_ASM967015v1_genomic	1991-01-01	1991.000000	1991.000000	1991.000000
GCA_009670875.1_ASM967087v1_genomic	1969-01-01	1969.000000	1969.000000	1969.000000
GCA_009670135.1_ASM967013v1_genomic	1991-01-01	1991.000000	1991.000000	1991.000000
GCA_009669975.1_ASM966997v1_genomic	1995-01-01	1995.000000	1995.000000	1995.000000
GCA_009670385.1_ASM967038v1_genomic	1986-01-01	1986.000000	1986.000000	1986.000000
GCA_009667895.1_ASM966789v1_genomic	1991-01-01	1991.000000	1991.000000	1991.000000
GCA_009670895.1_ASM967089v1_genomic	1969-01-01	1969.000000	1969.000000	1969.000000
GCA_009670015.1_ASM967001v1_genomic	1994-01-01	1994.000000	1994.000000	1994.000000
GCA_009670905.1_ASM967090v1_genomic	1968-01-01	1968.000000	1968.000000	1968.000000
GCA_009670515.1_ASM967051v1_genomic	1983-01-01	1983.000000	1983.000000	1983.000000
GCA_009670565.1_ASM967056v1_genomic	1983-01-01	1983.000000	1983.000000	1983.000000
GCA_009669775.1_ASM966977v1_genomic	1983-01-01	1983.000000	1983.000000	1983.000000
GCA_009670075.1_ASM967007v1_genomic	1993-01-01	1993.000000	1993.000000	1993.000000
NODE255	1981-01-01	1981.000114	1972.457501	1981.000000
GCA_009670055.1_ASM967005v1_genomic	1993-01-01	1993.000000	1993.000000	1993.000000
GCA_009670115.1_ASM967011v1_genomic	1992-01-01	1992.000000	1992.000000	1992.000000
GCA_009670665.1_ASM967066v1_genomic	1981-01-01	1981.000000	1981.000000	1981.000000
NODE262	1995-01-01	1995.000114	1983.846116	1995.000000
GCA_009669935.1_ASM966993v1_genomic	1995-01-01	1995.000000	1995.000000	1995.000000
GCA_009669625.1_ASM966962v1_genomic	2005-01-01	2005.000000	2005.000000	2005.000000
GCA_009670045.1_ASM967004v1_genomic	1995-01-01	1995.000000	1995.000000	1995.000000
NODE267	1994-08-20	1994.633623	-1892817.540038	2001.000000
GCA_009669675.1_ASM966967v1_genomic	2004-01-01	2004.000000	2004.000000	2004.000000
GCA_009669635.1_ASM966963v1_genomic	2003-01-01	2003.000000	2003.000000	2003.000000
GCA_009669825.1_ASM966982v1_genomic	2001-01-01	2001.000000	2001.000000	2001.000000
NODE272	1961-08-14	1961.617313	1950.552679	1961.268612
GCA_009670865.1_ASM967086v1_genomic	1971-01-01	1971.000000	1971.000000	1971.000000
GCA_009667885.1_ASM966788v1_genomic	1986-01-01	1986.000000	1986.000000	1986.000000
GCA_009670325.1_ASM967032v1_genomic	1986-01-01	1986.000000	1986.000000	1986.000000
GCA_009670355.1_ASM967035v1_genomic	1986-01-01	1986.000000	1986.000000	1986.000000
NODE277	1964-04-25	1964.316419	1963.084673	1966.104347
GCA_009669705.1_ASM966970v1_genomic	1986-01-01	1986.000000	1986.000000	1986.000000
GCA_009670995.1_ASM967099v1_genomic	1967-01-01	1967.000000	1967.000000	1967.000000
NODE293	1972-01-01	1972.000114	1964.320414	1972.000000
GCA_009670725.1_ASM967072v1_genomic	1974-01-01	1974.000000	1974.000000	1974.000000
GCA_009670815.1_ASM967081v1_genomic	1972-01-01	1972.000000	1972.000000	1972.000000
NODE283	1977-01-01	1977.000114	1968.495966	1977.000000
GCA_009670775.1_ASM967077v1_genomic	1977-01-01	1977.000000	1977.000000	1977.000000
GCA_009670715.1_ASM967071v1_genomic	1977-01-01	1977.000000	1977.000000	1977.000000
GCA_009670575.1_ASM967057v1_genomic	1983-01-01	1983.000000	1983.000000	1983.000000
GCA_009670625.1_ASM967062v1_genomic	1983-01-01	1983.000000	1983.000000	1983.000000
NODE297	1972-01-01	1972.000114	1964.735885	1972.000000
GCA_009670005.1_ASM967000v1_genomic	1995-01-01	1995.000000	1995.000000	1995.000000
GCA_009670465.1_ASM967046v1_genomic	1984-01-01	1984.000000	1984.000000	1984.000000
GCA_009669765.1_ASM966976v1_genomic	1983-01-01	1983.000000	1983.000000	1983.000000
GCA_009670705.1_ASM967070v1_genomic	1972-01-01	1972.000000	1972.000000	1972.000000
NODE304	1970-10-20	1970.802592	1965.782814	1970.953280
GCA_009667985.1_ASM966798v1_genomic	1986-01-01	1986.000000	1986.000000	1986.000000
GCA_009669555.1_ASM966955v1_genomic	2005-01-01	2005.000000	2005.000000	2005.000000
GCA_009670485.1_ASM967048v1_genomic	1984-01-01	1984.000000	1984.000000	1984.000000
GCA_009669545.1_ASM966954v1_genomic	2006-01-01	2006.000000	2006.000000	2006.000000
GCA_009669605.1_ASM966960v1_genomic	2005-01-01	2005.000000	2005.000000	2005.000000
GCA_009670605.1_ASM967060v1_genomic	1982-01-01	1982.000000	1982.000000	1982.000000
GCA_009670675.1_ASM967067v1_genomic	1980-01-01	1980.000000	1980.000000	1980.000000
GCA_000323365.1_ASM32336v1_genomic	1971-01-01	1971.000000	1971.000000	1971.000000
GCA_009667935.1_ASM966793v1_genomic	1986-01-01	1986.000000	1986.000000	1986.000000
GCA_009670765.1_ASM967076v1_genomic	1977-01-01	1977.000000	1977.000000	1977.000000
GCA_009670395.1_ASM967039v1_genomic	1984-01-01	1984.000000	1984.000000	1984.000000
GCA_009670415.1_ASM967041v1_genomic	1986-01-01	1986.000000	1986.000000	1986.000000
GCA_009670835.1_ASM967083v1_genomic	1976-01-01	1976.000000	1976.000000	1976.000000
GCA_009669905.1_ASM966990v1_genomic	2001-01-01	2001.000000	2001.000000	2001.000000
GCA_009670205.1_ASM967020v1_genomic	1988-01-01	1988.000000	1988.000000	1988.000000
GCA_009670785.1_ASM967078v1_genomic	1976-01-01	1976.000000	1976.000000	1976.000000
GCA_009670345.1_ASM967034v1_genomic	1987-01-01	1987.000000	1987.000000	1987.000000
GCA_009669875.1_ASM966987v1_genomic	2001-01-01	2001.000000	2001.000000	2001.000000
GCA_009669565.1_ASM966956v1_genomic	2005-01-01	2005.000000	2005.000000	2005.000000
GCA_009669805.1_ASM966980v1_genomic	1980-01-01	1980.000000	1980.000000	1980.000000
GCA_009670585.1_ASM967058v1_genomic	1982-01-01	1982.000000	1982.000000	1982.000000
GCA_009669955.1_ASM966995v1_genomic	2000-01-01	2000.000000	2000.000000	2000.000000
GCA_009669925.1_ASM966992v1_genomic	1999-01-01	1999.000000	1999.000000	1999.000000
GCA_009669835.1_ASM966983v1_genomic	2001-01-01	2001.000000	2001.000000	2001.000000
GCA_009669845.1_ASM966984v1_genomic	2001-01-01	2001.000000	2001.000000	2001.000000
GCA_009670545.1_ASM967054v1_genomic	1983-01-01	1983.000000	1983.000000	1983.000000
GCA_009670105.1_ASM967010v1_genomic	1989-01-01	1989.000000	1989.000000	1989.000000
GCA_009667945.1_ASM966794v1_genomic	1986-01-01	1986.000000	1986.000000	1986.000000
GCA_009669665.1_ASM966966v1_genomic	2002-01-01	2002.000000	2002.000000	2002.000000
NODE329	1983-01-22	1983.057624	1976.661606	1986.447606
GCA_009670285.1_ASM967028v1_genomic	1987-01-01	1987.000000	1987.000000	1987.000000
GCA_009669725.1_ASM966972v1_genomic	1987-01-01	1987.000000	1987.000000	1987.000000
GCA_009670305.1_ASM967030v1_genomic	1987-01-01	1987.000000	1987.000000	1987.000000
GCA_009670235.1_ASM967023v1_genomic	1987-01-01	1987.000000	1987.000000	1987.000000
GCA_009670185.1_ASM967018v1_genomic	1988-01-01	1988.000000	1988.000000	1988.000000
GCA_009667925.1_ASM966792v1_genomic	1987-01-01	1987.000000	1987.000000	1987.000000
GCA_009670225.1_ASM967022v1_genomic	1987-01-01	1987.000000	1987.000000	1987.000000
NODE375	-032-09-01	-31.332784	-110.453101	57.522172
NODE376	0053-08-21	53.636929	163.389208	231.213399
SAMEA1061800	0261-01-01	261.000114	237.438465	261.000000
NODE378	0448-12-01	448.917328	419.097102	485.414134
SAMEA5661365	0500-01-01	500.000114	500.000000	511.700530
NODE379	0512-12-07	512.931999	535.304556	620.592173
SAMEA5661363	0512-12-07	512.931999	538.035052	632.325267
SAMEA5661364	0512-12-07	512.931999	532.196755	630.644448
NODE384	0484-07-17	484.541711	493.354732	523.497675
SAMEA5661384	0484-07-17	484.541711	486.563719	535.704037
NODE386	0498-04-19	498.297812	499.764596	527.468646
SAMEA5661385	0521-09-11	521.694206	532.654462	596.319794
NODE396	0798-12-23	798.977527	690.485426	815.856530
SAMEA5661367	0822-06-15	822.454533	650.000000	850.479482
NODE398	0867-05-28	867.403103	860.580735	867.402990
SAMEA5661372	0867-05-28	867.403103	876.309234	880.000000
SAMEA5661375	NA	NA	NA	NA
SAMEA5661375	--	--	--	--
NODE387	0508-12-01	508.916362	505.378804	532.227780
SAMEA4354665	0508-12-01	508.916362	504.615263	532.471145
SAMEA5661389	0508-12-01	508.916362	504.578372	532.587916
SAMEA5661360	0508-12-01	508.916362	504.488966	532.450275
SAMEA5661390	0537-01-01	537.000114	523.040950	537.000000
NODE401	0651-11-04	651.842692	568.768802	743.354656
NODE403	2001-01-11	2001.028869	1966.974084	2003.000000
GCA_000169675.1_ASM16967v1_genomic	2003-01-01	2003.000000	2003.000000	2003.000000
GCA_000320465.1_ASM32046v1_genomic	2003-01-01	2003.000000	2003.000000	2003.000000
NODE406	1229-12-27	1229.987468	1185.841212	1379.128064
NODE407	1668-03-15	1668.202058	1809.613536	1900.454771
GCA_002412245.1_Y.pestis_A-1691_genomic	1971-01-01	1971.000000	1971.000000	1971.000000
GCA_003074595.1_ASM307459v1_genomic	1967-01-01	1967.000000	1967.000000	1967.000000
NODE410	1297-06-01	1297.414883	1682.377552	1748.505105
GCA_002412255.1_Y.pestis_A-1836_genomic	1983-01-01	1983.000000	1983.000000	1983.000000
GCA_003074535.1_ASM307453v1_genomic	1952-01-01	1952.000000	1952.000000	1952.000000
NODE413	0733-03-05	733.173872	840.746697	879.944906
NODE414	1855-08-18	1855.627785	1752.207526	1890.771170
NODE415	1902-09-27	1902.739624	1936.062743	1946.751073
NODE416	1938-03-27	1938.234918	1936.784033	1950.820244
GCA_000323385.1_ASM32338v1_genomic	1995-01-01	1995.000000	1995.000000	1995.000000
GCA_000323705.1_ASM32370v1_genomic	1956-01-01	1956.000000	1956.000000	1956.000000
NODE419	1923-03-04	1923.170788	1949.229508	1958.296308
GCA_001188675.1_ASM118867v1_genomic	1961-01-01	1961.000114	1961.000000	1963.092656
GCA_002412225.1_Y.pestis_A-1486_genomic	1966-01-01	1966.000000	1966.000000	1966.000000
NODE422	1947-01-01	1947.000114	1873.426069	1947.000000
GCA_000734805.1_ASM73480v1_genomic	1947-01-01	1947.000000	1947.000000	1947.000000
GCA_000324165.1_ASM32416v1_genomic	1979-01-01	1979.000000	1979.000000	1979.000000
NODE426	1985-10-01	1985.749942	1969.286673	1997.610530
GCA_000323405.1_ASM32340v1_genomic	1999-01-01	1999.000000	1999.000000	1999.000000
GCA_000324065.1_ASM32406v1_genomic	2001-01-01	2001.000000	2001.000000	2001.000000
NODE429	0797-07-01	797.498326	879.171442	900.452863
NODE430	0986-04-28	986.320782	917.060779	1132.975125
NODE431	1299-01-25	1299.066862	1663.557872	1695.261894
NODE432	1742-02-09	1742.109372	1663.949028	1701.626068
GCA_000323505.1_ASM32350v1_genomic	2004-01-01	2004.000000	2004.000000	2004.000000
NODE434	1950-01-31	1950.083006	1950.650769	1960.871828
GCA_000324325.1_ASM32432v1_genomic	1961-01-01	1961.000000	1961.000000	1961.000000
NODE436	1963-11-27	1963.905390	1959.247567	1975.732320
GCA_000323525.1_ASM32352v1_genomic	1989-01-01	1989.000000	1989.000000	1989.000000
GCA_000323765.1_ASM32376v1_genomic	1976-01-01	1976.000000	1976.000000	1976.000000
NODE439	1542-12-10	1542.940709	1836.927741	1891.326756
GCA_002188855.1_ASM218885v1_genomic	1971-01-01	1971.000000	1971.000000	1971.000000
NODE441	1841-01-19	1841.052008	1944.656503	1952.902544
NODE442	1998-01-01	1998.000114	1987.333509	1998.000000
GCA_000325205.1_ASM32520v1_genomic	2000-01-01	2000.000000	2000.000000	2000.000000
GCA_000325305.1_ASM32530v1_genomic	1998-01-01	1998.000000	1998.000000	1998.000000
NODE445	1952-08-24	1952.646986	1959.175189	1974.862500
