Name	UFboot	aLRT	Branch_Length	Branch_Support_Color	coord_x	coord_y	Strain	Date	DateBP	Country	Province	CountryLat	CountryLon	ProvinceLat	ProvinceLon	Biovar	Branch_Major	Branch_Minor	BioSample	Mugration_Branch_Major	Mugration_Branch_Major_Confidence	Mugration_Branch_Minor	Mugration_Branch_Minor_Confidence
NODE34	10.0	0.0	2.3399999999999998e-08	black	4.455209999999995e-05	65.71197128295897	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.9999999886571725	1.ORI1	0.9999974465260583
NODE35	100.0	76.7	2.344e-07	black	4.478649999999995e-05	59.77550506591797	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.999999988669766	1.ORI1	0.9999999555533061
NODE36	100.0	99.7	2.3444e-06	red	4.713089999999994e-05	57.55101013183594	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.9999999886697659	1.ORI1	0.9999999594985982
NODE37	100.0	95.9	9.376999999999999e-07	red	4.806859999999995e-05	54.10202026367188	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.9999999886571728	1.ORI1	0.99999995945592
NODE38	16.0	0.0	2.3399999999999998e-08	black	4.809199999999994e-05	49.07904052734375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.9999999886571727	1.ORI1	0.9999999594559292
NODE39	14.0	0.0	2.3399999999999998e-08	black	4.8115399999999936e-05	42.6580810546875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.9999999886571436	1.ORI1	0.9999999594558077
NODE40	5.0	0.0	2.3399999999999998e-08	black	4.813879999999994e-05	34.027099609375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.999999988657158	1.ORI1	0.9999999594558685
NODE41	11.0	0.0	2.3399999999999998e-08	black	4.816219999999994e-05	26.80419921875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.9999999886571437	1.ORI1	0.9999999594558077
NODE42	1.0	0.0	2.3399999999999998e-08	black	4.818559999999994e-05	17.6376953125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.9999999886571728	1.ORI1	0.9999999594559296
NODE43	8.0	0.0	2.3399999999999998e-08	black	4.820899999999993e-05	15.775390625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.9999999886571872	1.ORI1	0.9999999594559904
NODE44	11.0	74.9	2.3399999999999998e-08	black	4.8232399999999935e-05	14.05078125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.999999988669766	1.ORI1	0.9999999595048007
NODE45	26.0	74.9	2.0899999999999998e-07	black	4.844139999999993e-05	12.1015625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.9999999886697658	1.ORI1	0.9999999595048004
NODE46	9.0	0.0	2.3399999999999998e-08	black	4.846479999999992e-05	9.203125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.999999988657158	1.ORI1	0.9999999594558688
NODE47	12.0	0.0	2.3399999999999998e-08	black	4.848819999999992e-05	6.09375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.9999999886571871	1.ORI1	0.9999999594559904
NODE48	25.0	74.4	2.344e-07	black	4.872259999999992e-05	4.6875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.9999999886697514	1.ORI1	0.9999999595047402
NODE49	9.0	0.0	2.3399999999999998e-08	black	4.874599999999992e-05	3.375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.9999999886572015	1.ORI1	0.9999999594560512
NODE50	15.0	0.0	2.3399999999999998e-08	black	4.8769399999999906e-05	2.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.9999999886697802	1.ORI1	0.9999999595048614
NODE51	48.0	78.7	2.344e-07	black	4.9003799999999905e-05	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.9999999886823592	1.ORI1	0.9999999595536716
GCA_000268385.1_ASM26838v1_genomic	NA	NA	2.344e-07	grey	4.923819999999991e-05	1.0	PY-07	2006	-15	Peru	Cajamarca	-6.8699697	-75.0458515	-6.25	-78.833333	Orientalis	1.ORI	1.ORI1	SAMN02141454	1.ORI	1.0	1.ORI1	1.0
GCA_000268925.1_ASM26892v1_genomic	NA	NA	7.033e-07	grey	4.970709999999991e-05	2.0	PY-63	2010	-11	Peru	La Libertad	-6.8699697	-75.0458515	-8.0	-78.5	Orientalis	1.ORI	1.ORI1	SAMN02141484	1.ORI	1.0	1.ORI1	1.0
GCA_000268625.1_ASM26862v1_genomic	NA	NA	2.344e-07	grey	4.9003799999999905e-05	3.0	PY-12	2008	-13	Peru	Cajamarca	-6.8699697	-75.0458515	-6.25	-78.833333	Orientalis	1.ORI	1.ORI1	SAMN02141459	1.ORI	0.9999999999999999	1.ORI1	1.0
NODE55	100.0	75.8	2.344e-07	black	4.898039999999992e-05	4.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.9999999886823447	1.ORI1	0.9999999595536111
GCA_000268585.1_ASM26858v1_genomic	NA	NA	2.3399999999999998e-08	grey	4.9003799999999905e-05	4.0	PY-04	2006	-15	Peru	Cajamarca	-6.8699697	-75.0458515	-6.25	-78.833333	Orientalis	1.ORI	1.ORI1	SAMN02141451	1.ORI	1.0	1.ORI1	1.0
GCA_000268825.1_ASM26882v1_genomic	NA	NA	2.3399999999999998e-08	grey	4.9003799999999905e-05	5.0	PY-55	2010	-11	Peru	La Libertad	-6.8699697	-75.0458515	-8.0	-78.5	Orientalis	1.ORI	1.ORI1	SAMN02141478	1.ORI	1.0	1.ORI1	1.0
GCA_000269445.1_ASM26944v1_genomic	NA	NA	2.3399999999999998e-08	grey	4.874599999999992e-05	6.0	PY-95	2010	-11	Peru	Cajamarca	-6.8699697	-75.0458515	-6.25	-78.833333	Orientalis	1.ORI	1.ORI1	SAMN02141498	1.ORI	1.0	1.ORI1	1.0
NODE59	100.0	88.0	4.689e-07	red	4.895709999999992e-05	7.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.9999999886823447	1.ORI1	0.9999999595536112
GCA_000268805.1_ASM26880v1_genomic	NA	NA	2.3399999999999998e-08	grey	4.898049999999992e-05	7.0	PY-54	2010	-11	Peru	La Libertad	-6.8699697	-75.0458515	-8.0	-78.5	Orientalis	1.ORI	1.ORI1	SAMN02141477	1.ORI	1.0	1.ORI1	0.9999999999999999
GCA_000268805.2_ASM26880v2_genomic	NA	NA	2.3399999999999998e-08	grey	4.898049999999992e-05	8.0	PY-54	2010	-11	Peru	La Libertad	-6.8699697	-75.0458515	-8.0	-78.5	Orientalis	1.ORI	1.ORI1	SAMN02141477	1.ORI	1.0	1.ORI1	0.9999999999999999
NODE62	10.0	0.0	2.3399999999999998e-08	black	4.848819999999992e-05	12.3125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.999999988657187	1.ORI1	0.9999999594559905
NODE63	24.0	0.0	2.3399999999999998e-08	black	4.8511599999999924e-05	11.125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.999999988669766	1.ORI1	0.9999999595048008
NODE64	71.0	77.5	2.344e-07	black	4.874599999999992e-05	10.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.9999999886697948	1.ORI1	0.9999999595049223
NODE65	100.0	99.3	1.4066e-06	red	5.0152599999999924e-05	9.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.9999999886823593	1.ORI1	0.9999999595536719
GCA_000268725.1_ASM26872v1_genomic	NA	NA	2.3399999999999998e-08	grey	5.017599999999992e-05	9.0	PY-34	2010	-11	Peru	La Libertad	-6.8699697	-75.0458515	-8.0	-78.5	Orientalis	1.ORI	1.ORI1	SAMN02141468	1.ORI	1.0	1.ORI1	1.0
GCA_000268725.2_ASM26872v2_genomic	NA	NA	2.3399999999999998e-08	grey	5.017599999999992e-05	10.0	PY-34	2010	-11	Peru	La Libertad	-6.8699697	-75.0458515	-8.0	-78.5	Orientalis	1.ORI	1.ORI1	SAMN02141468	1.ORI	1.0	1.ORI1	1.0
GCA_000268905.1_ASM26890v1_genomic	NA	NA	2.344e-07	grey	4.898039999999992e-05	11.0	PY-60	2010	-11	Peru	La Libertad	-6.8699697	-75.0458515	-8.0	-78.5	Orientalis	1.ORI	1.ORI1	SAMN02141482	1.ORI	1.0	1.ORI1	1.0
GCA_000269105.1_ASM26910v1_genomic	NA	NA	2.344e-07	grey	4.874599999999992e-05	12.0	PY-92	2010	-11	Peru	Cajamarca	-6.8699697	-75.0458515	-6.25	-78.833333	Orientalis	1.ORI	1.ORI1	SAMN02141495	1.ORI	0.9999999999999999	1.ORI1	1.0
NODE70	12.0	0.0	2.3399999999999998e-08	black	4.8511599999999924e-05	13.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.9999999886823447	1.ORI1	0.9999999595536112
GCA_000268405.1_ASM26840v1_genomic	NA	NA	2.344e-07	grey	4.874599999999992e-05	13.0	PY-08	2006	-15	Peru	Cajamarca	-6.8699697	-75.0458515	-6.25	-78.833333	Orientalis	1.ORI	1.ORI1	SAMN02141455	1.ORI	1.0	1.ORI1	0.9999999999999999
GCA_000268445.1_ASM26844v1_genomic	NA	NA	2.344e-07	grey	4.874599999999992e-05	14.0	PY-10	2006	-15	Peru	Cajamarca	-6.8699697	-75.0458515	-6.25	-78.833333	Orientalis	1.ORI	1.ORI1	SAMN02141457	1.ORI	1.0	1.ORI1	0.9999999999999999
GCA_000268945.1_ASM26894v1_genomic	NA	NA	2.3399999999999998e-08	grey	4.846479999999992e-05	15.0	PY-64	2010	-11	Peru	La Libertad	-6.8699697	-75.0458515	-8.0	-78.5	Orientalis	1.ORI	1.ORI1	SAMN02141485	1.ORI	1.0	1.ORI1	1.0
GCA_000268845.1_ASM26884v1_genomic	NA	NA	2.3399999999999998e-08	grey	4.825579999999993e-05	16.0	PY-56	2010	-11	Peru	La Libertad	-6.8699697	-75.0458515	-8.0	-78.5	Orientalis	1.ORI	1.ORI1	SAMN02141479	1.ORI	1.0	1.ORI1	0.9999999999999999
NODE75	20.0	0.0	2.3399999999999998e-08	black	4.8232399999999935e-05	17.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.9999999886823447	1.ORI1	0.9999999595536111
GCA_000268685.1_ASM26868v1_genomic	NA	NA	2.3399999999999998e-08	grey	4.825579999999993e-05	17.0	PY-29	2010	-11	Peru	La Libertad	-6.8699697	-75.0458515	-8.0	-78.5	Orientalis	1.ORI	1.ORI1	SAMN02141466	1.ORI	1.0	1.ORI1	0.9999999999999999
GCA_000269225.1_ASM26922v1_genomic	NA	NA	2.3399999999999998e-08	grey	4.825579999999993e-05	18.0	PY-102	2010	-11	Peru	La Libertad	-6.8699697	-75.0458515	-8.0	-78.5	Orientalis	1.ORI	1.ORI1	SAMN02141504	1.ORI	1.0	1.ORI1	0.9999999999999999
NODE78	8.0	0.0	2.3399999999999998e-08	black	4.820899999999993e-05	19.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.9999999886823447	1.ORI1	0.9999999595536108
GCA_000268745.1_ASM26874v1_genomic	NA	NA	2.3399999999999998e-08	grey	4.8232399999999935e-05	19.0	PY-45	2010	-11	Peru	La Libertad	-6.8699697	-75.0458515	-8.0	-78.5	Orientalis	1.ORI	1.ORI1	SAMN02141471	1.ORI	1.0	1.ORI1	1.0
GCA_000269085.1_ASM26908v1_genomic	NA	NA	2.344e-07	grey	4.844339999999993e-05	20.0	PY-91	2010	-11	Peru	Cajamarca	-6.8699697	-75.0458515	-6.25	-78.833333	Orientalis	1.ORI	1.ORI1	SAMN02141494	1.ORI	1.0	1.ORI1	1.0
NODE81	10.0	0.0	2.3399999999999998e-08	black	4.818559999999994e-05	35.970703125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.9999999886571871	1.ORI1	0.9999999594559903
NODE82	7.0	0.0	2.3399999999999998e-08	black	4.820899999999993e-05	33.44140625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.9999999886697515	1.ORI1	0.9999999595047399
NODE83	6.0	0.0	2.3399999999999998e-08	black	4.8232399999999935e-05	29.8828125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.9999999886571581	1.ORI1	0.9999999594558687
NODE84	8.0	0.0	2.3399999999999998e-08	black	4.825579999999993e-05	25.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.9999999886571725	1.ORI1	0.9999999594559296
NODE85	79.0	74.6	2.344e-07	black	4.849019999999992e-05	23.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.9999999886697515	1.ORI1	0.9999999595047401
NODE86	50.0	0.0	2.3399999999999998e-08	black	4.851359999999992e-05	22.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.9999999886572164	1.ORI1	0.999999959456112
NODE87	79.0	79.1	2.344e-07	black	4.874799999999992e-05	21.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.9999999886823447	1.ORI1	0.9999999595536112
GCA_000268325.1_ASM26832v1_genomic	NA	NA	2.344e-07	grey	4.898239999999992e-05	21.0	PY-02	2006	-15	Peru	Cajamarca	-6.8699697	-75.0458515	-6.25	-78.833333	Orientalis	1.ORI	1.ORI1	SAMN02141449	1.ORI	1.0	1.ORI1	1.0
GCA_000268345.1_ASM26834v1_genomic	NA	NA	7.033e-07	grey	4.945129999999992e-05	22.0	PY-05	2006	-15	Peru	Cajamarca	-6.8699697	-75.0458515	-6.25	-78.833333	Orientalis	1.ORI	1.ORI1	SAMN02141452	1.ORI	1.0	1.ORI1	1.0
NODE90	100.0	97.2	1.1722e-06	red	4.968579999999992e-05	23.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.9999999886823447	1.ORI1	0.9999999595536112
GCA_000268865.1_ASM26886v1_genomic	NA	NA	2.3399999999999998e-08	grey	4.970919999999992e-05	23.0	PY-58	2010	-11	Peru	La Libertad	-6.8699697	-75.0458515	-8.0	-78.5	Orientalis	1.ORI	1.ORI1	SAMN02141480	1.ORI	1.0	1.ORI1	1.0
GCA_000268865.2_ASM26886v2_genomic	NA	NA	2.3399999999999998e-08	grey	4.970919999999992e-05	24.0	PY-58	2010	-11	Peru	La Libertad	-6.8699697	-75.0458515	-8.0	-78.5	Orientalis	1.ORI	1.ORI1	SAMN02141480	1.ORI	1.0	1.ORI1	1.0
GCA_000269045.1_ASM26904v1_genomic	NA	NA	2.3399999999999998e-08	grey	4.851359999999992e-05	25.0	PY-89	2010	-11	Peru	La Libertad	-6.8699697	-75.0458515	-8.0	-78.5	Orientalis	1.ORI	1.ORI1	SAMN02141492	1.ORI	1.0	1.ORI1	1.0
NODE94	99.0	79.4	2.344e-07	black	4.849019999999992e-05	27.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.9999999886697803	1.ORI1	0.9999999595048613
NODE95	100.0	97.0	7.033e-07	red	4.919349999999992e-05	26.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.9999999886823592	1.ORI1	0.9999999595536716
GCA_000269285.1_ASM26928v1_genomic	NA	NA	2.3399999999999998e-08	grey	4.921689999999992e-05	26.0	PY-42	2010	-11	Peru	La Libertad	-6.8699697	-75.0458515	-8.0	-78.5	Orientalis	1.ORI	1.ORI1	SAMN02141470	1.ORI	1.0	1.ORI1	1.0
GCA_000269285.2_ASM26928v2_genomic	NA	NA	2.3399999999999998e-08	grey	4.921689999999992e-05	27.0	PY-42	2010	-11	Peru	La Libertad	-6.8699697	-75.0458515	-8.0	-78.5	Orientalis	1.ORI	1.ORI1	SAMN02141470	1.ORI	1.0	1.ORI1	1.0
GCA_000268365.1_ASM26836v1_genomic	NA	NA	2.3399999999999998e-08	grey	4.851359999999992e-05	28.0	PY-06	2006	-15	Peru	Cajamarca	-6.8699697	-75.0458515	-6.25	-78.833333	Orientalis	1.ORI	1.ORI1	SAMN02141453	1.ORI	1.0	1.ORI1	1.0
NODE99	27.0	78.9	2.344e-07	black	4.8466799999999934e-05	34.265625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.9999999886571872	1.ORI1	0.9999999594559904
NODE100	14.0	0.0	2.3399999999999998e-08	black	4.849019999999992e-05	33.03125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.999999988669766	1.ORI1	0.9999999595048007
NODE101	14.0	0.0	2.3399999999999998e-08	black	4.851359999999992e-05	32.0625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.9999999886697802	1.ORI1	0.9999999595048614
NODE102	55.0	74.3	2.344e-07	black	4.874799999999992e-05	31.125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.9999999886697803	1.ORI1	0.9999999595048616
NODE103	19.0	0.0	2.3399999999999998e-08	black	4.877139999999992e-05	30.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.999999988669795	1.ORI1	0.9999999595049223
NODE104	93.0	81.0	2.344e-07	black	4.900579999999992e-05	29.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.9999999886823592	1.ORI1	0.9999999595536717
GCA_000269185.1_ASM26918v1_genomic	NA	NA	2.344e-07	grey	4.924019999999992e-05	29.0	PY-99	2010	-11	Peru	La Libertad	-6.8699697	-75.0458515	-8.0	-78.5	Orientalis	1.ORI	1.ORI1	SAMN02141501	1.ORI	1.0	1.ORI1	1.0
GCA_000269305.1_ASM26930v1_genomic	NA	NA	2.344e-07	grey	4.924019999999992e-05	30.0	PY-46	2010	-11	Peru	La Libertad	-6.8699697	-75.0458515	-8.0	-78.5	Orientalis	1.ORI	1.ORI1	SAMN02141472	1.ORI	1.0	1.ORI1	1.0
GCA_000268965.1_ASM26896v1_genomic	NA	NA	2.344e-07	grey	4.900579999999992e-05	31.0	PY-65	2010	-11	Peru	La Libertad	-6.8699697	-75.0458515	-8.0	-78.5	Orientalis	1.ORI	1.ORI1	SAMN02141486	1.ORI	0.9999999999999999	1.ORI1	1.0
GCA_000269425.1_ASM26942v1_genomic	NA	NA	2.3399999999999998e-08	grey	4.877139999999992e-05	32.0	PY-94	2010	-11	Peru	Cajamarca	-6.8699697	-75.0458515	-6.25	-78.833333	Orientalis	1.ORI	1.ORI1	SAMN02141497	1.ORI	1.0	1.ORI1	0.9999999999999999
GCA_000269405.1_ASM26940v1_genomic	NA	NA	4.689e-07	grey	4.898249999999992e-05	33.0	PY-88	2010	-11	Peru	La Libertad	-6.8699697	-75.0458515	-8.0	-78.5	Orientalis	1.ORI	1.ORI1	SAMN02141491	1.ORI	0.9999999999999999	1.ORI1	1.0
