BioSampleAccession	AssemblyFTPGenbank	SRARunAccession	BioSampleStrain	BioSampleCollectionDate	BioSampleHost	BioSampleGeographicLocation	BioSampleBiovar	PubmedArticleTitle	PubmedAuthorsLastName	AssemblyContigCount	AssemblyTotalLength	NucleotideGenes	NucleotideGenesTotal	NucleotidePseudoGenes	NucleotidePseudoGenesTotal	NucleotiderRNAs	AssemblySubmissionDate	SRARunPublishDate	BioSampleComment
SAMN08161989		SRR6366934	Yp3843	1974	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Pau Casado												2018-12-13 00:37:55	
SAMN08161988		SRR6366992	Yp3842	1974	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Pau Casado												2018-12-13 00:37:53	
SAMN08161987		SRR6366991	Yp3841	1974	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Pau Casado												2018-12-13 00:37:53	
SAMN08161986		SRR6367006	Yp3840	1974	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Pau Casado												2018-12-13 00:37:53	
SAMN08161985		SRR6367005	Yp3839	1972	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Santo Amaro												2018-12-13 00:37:53	
SAMN08161984		SRR6367004	Yp3838	1972	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Santo Amaro												2018-12-13 00:37:53	
SAMN08161983		SRR6367003	Yp3837	1972	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Romania												2018-12-13 00:37:53	
SAMN08161982		SRR6367002	Yp3834	1972	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Lagoa da Rapadura												2018-12-13 00:37:53	
SAMN08161981		SRR6367001	Yp3833	1972	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Lagoa da Rapadura												2018-12-13 00:37:53	
SAMN08161980		SRR6366932	Yp3832	1972	Polygenis	Brazil:Ceara,Ibiapaba,Sao Benedito,Sitio Pimenteira												2018-12-13 00:37:55	
SAMN08161979		SRR6366931	Yp3830	1971	Homo sapiens	Brazil:Ceara,Ibiapaba,Guaraciaba do Norte,Sitio Sao Jose												2018-12-13 00:37:55	
SAMN08161978		SRR6367120	Yp3829	1971	Homo sapiens	Brazil:Ceara,Ibiapaba,Guaraciaba do Norte,Sitio Sussuanha												2018-12-13 00:38:00	
SAMN08161977		SRR6367121	Yp3828	1971	Homo sapiens	Brazil:Ceara,Ibiapaba,Guaraciaba do Norte,Sitio Benedito												2018-12-13 00:38:00	
SAMN08161976		SRR6367111	Yp3826	1971	Homo sapiens	Brazil:Ceara,Ipu,Ipueiras,Povoado America												2018-12-13 00:38:00	
SAMN08161975		SRR6367112	Yp3825	1971	Homo sapiens	Brazil:Ceara,Ipu,Ipu,Sitio Mato Grosso												2018-12-13 00:38:00	
SAMN08161974		SRR6367113	Yp3824	1971	Homo sapiens	Brazil:Pernambuco,Araripina,Exu,Sitio Serra da Matinha												2018-12-13 00:38:00	
SAMN08161973		SRR6367114	Yp3823	1971	Homo sapiens	Brazil:Ceara,Ibiapaba,Guaraciaba do Norte,Sitio Timbauba												2018-12-13 00:38:00	
SAMN08161972		SRR6367115	Yp3822	1971	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Manicoba												2018-12-13 00:38:00	
SAMN08161971		SRR6367116	Yp3821	1971	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Pocos												2018-12-13 00:38:00	
SAMN08161970		SRR6367117	Yp3820	1971	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Manicoba												2018-12-13 00:38:00	
SAMN08161969		SRR6367118	Yp3819	1971	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Pocos												2018-12-13 00:38:00	
SAMN08161968		SRR6366765	Yp3817	1971	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Aracaju												2018-12-13 00:37:59	
SAMN08161967		SRR6366764	Yp3816	1971	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Manicoba												2018-12-13 00:37:59	
SAMN08161966		SRR6366767	Yp3815	1971	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Manicoba												2018-12-13 00:37:59	
SAMN08161965		SRR6366766	Yp3813	1971	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Aracaju												2018-12-13 00:37:59	
SAMN08161964		SRR6366769	Yp3812	1971	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Manicoba												2018-12-13 00:37:59	
SAMN08161963		SRR6366768	Yp3811	1971	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Manicoba												2018-12-13 00:37:59	
SAMN08161962		SRR6366771	Yp3810	1971	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Manicoba												2018-12-13 00:37:59	
SAMN08161961		SRR6366770	Yp3809	1971	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Manicoba												2018-12-13 00:37:59	
SAMN08161960		SRR6366773	Yp3808	1971	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Manicoba												2018-12-13 00:37:59	
SAMN08161959		SRR6366772	Yp3807	1971	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Baixio do Meio												2018-12-13 00:37:59	
SAMN08161958		SRR6366877	Yp3806	1971	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Manicoba												2018-12-13 00:37:56	
SAMN08161957		SRR6367068	Yp3805	1971	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Manicoba												2018-12-13 00:38:01	
SAMN08161956		SRR6367079	Yp3803	1971	Cerradomys subflavus	Brazil:Pernambuco,Araripina,Exu,Sitio Pamonha												2018-12-13 00:38:01	
SAMN08161955		SRR6367080	Yp3802	1971	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Entremontes												2018-12-13 00:38:01	
SAMN08161954		SRR6366881	Yp3801	1970	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Paraiso												2018-12-13 00:37:56	
SAMN08161953		SRR6366882	Yp3800	1970	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Batinga												2018-12-13 00:37:56	
SAMN08161952		SRR6366887	Yp3799	1970	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Engenho Velho												2018-12-13 00:37:56	
SAMN08161951		SRR6366888	Yp3797	1970	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Entremontes												2018-12-13 00:37:56	
SAMN08161950		SRR6366885	Yp3795	1970	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Batinga												2018-12-13 00:37:56	
SAMN08161949		SRR6366886	Yp3794	1970	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Batinga												2018-12-13 00:37:56	
SAMN08161948		SRR6366930	Yp3793	1970	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Entremontes												2018-12-13 00:37:55	
SAMN08161947		SRR6366929	Yp3792	1970	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Oriente												2018-12-13 00:37:55	
SAMN08161946		SRR6366924	Yp3791	1970	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Curicaca												2018-12-13 00:37:55	
SAMN08161945		SRR6366923	Yp3790	1970	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Oriente												2018-12-13 00:37:55	
SAMN08161944		SRR6366922	Yp3789	1970	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Oriente												2018-12-13 00:37:55	
SAMN08161943		SRR6366921	Yp3788	1970	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Cacimbas												2018-12-13 00:37:55	
SAMN08161942		SRR6366928	Yp3787	1970	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Espalhado												2018-12-13 00:37:55	
SAMN08161941		SRR6366927	Yp3786	1970	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Espalhado												2018-12-13 00:37:55	
SAMN08161940		SRR6366926	Yp3785	1970	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Cacimbas												2018-12-13 00:37:55	
SAMN08161939		SRR6366925	Yp3784	1970	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Cacimbas												2018-12-13 00:37:55	
SAMN08161938		SRR6367056	Yp3783	1970	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Cacimbas												2018-12-13 00:38:02	
SAMN08161937		SRR6367057	Yp3780	1970	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Espalhado												2018-12-13 00:38:02	
SAMN08161936		SRR6367052	Yp3774	1969	Ornithodoros	Brazil:Pernambuco,Araripina,Exu,Sitio Pedra Grande												2018-12-13 00:38:02	
SAMN08161935		SRR6367053	Yp3768	1969	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Patrimonio												2018-12-13 00:38:02	
SAMN08161934		SRR6367054	Yp3766	1969	Bolomys lasiurus	Brazil:Pernambuco,Pajeu,Triunfo,Sitio Baixa das Flores												2018-12-13 00:38:02	
SAMN08161933		SRR6367055	Yp3765	1969	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Bugao												2018-12-13 00:38:02	
SAMN08161932		SRR6367048	Yp3763	1969	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Viracao												2018-12-13 00:38:02	
SAMN08161931		SRR6367049	Yp3762	1969	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Bugao												2018-12-13 00:38:02	
SAMN08161930		SRR6367050	Yp3761	1969	Homo sapiens	Brazil:Pernambuco,Araripina,Exu,Sitio Novo												2018-12-13 00:38:02	
SAMN08161929		SRR6367051	Yp3759	1969	Homo sapiens	Brazil:Pernambuco,Araripina,Ipubi,Sitio Serra Anastacio Barbosa												2018-12-13 00:38:02	
SAMN08161928		SRR6366999	Yp3757	1969	Homo sapiens	Brazil:Pernambuco,Araripina,Exu,Sitio Gamba												2018-12-13 00:37:53	
SAMN08161927		SRR6367000	Yp3756	1969	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Luiz Ferreira												2018-12-13 00:37:53	
SAMN08161926		SRR6366997	Yp3755	1969	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Pedra Grande												2018-12-13 00:37:53	
SAMN08161925		SRR6366998	Yp3754	1969	Homo sapiens	Brazil:Pernambuco,Araripina,Ipubi,Sitio Serra Janoca												2018-12-13 00:37:53	
SAMN08161924		SRR6366995	Yp3753	1969	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Pedra Grande												2018-12-13 00:37:53	
SAMN08161923		SRR6366996	Yp3752	1969	Homo sapiens	Brazil:Pernambuco,Salgueiro,Sao Jose do Belmonte,Sitio Baixio Velho												2018-12-13 00:37:53	
SAMN08161922		SRR6366993	Yp3749	1969	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Pamonha												2018-12-13 00:37:53	
SAMN08161921		SRR6366994	Yp3747	1969	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Joaquim Santana												2018-12-13 00:37:53	
SAMN08161920		SRR6366919	Yp3746	1969	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Joaquim Santana												2018-12-13 00:37:55	
SAMN08161919		SRR6366920	Yp3744	1969	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Joaquim Santana												2018-12-13 00:37:55	
SAMN08161918		SRR6366884	Yp3743	1969	Homo sapiens	Brazil:Pernambuco,Araripina,Exu,Sitio Badreci												2018-12-13 00:37:56	
SAMN08161917		SRR6366883	Yp3742	1969	Pulex	Brazil:Pernambuco,Araripina,Exu,Sitio Badreci												2018-12-13 00:37:56	
SAMN08161916		SRR6366878	Yp3737	1969	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Floresta												2018-12-13 00:37:56	
SAMN08161915		SRR6367064	Yp3735	1969	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Floresta												2018-12-13 00:38:02	
SAMN08161914		SRR6366880	Yp3731	1968	Pulex	Brazil:Pernambuco,Araripina,Exu,Sitio Barrinha												2018-12-13 00:37:56	
SAMN08161913		SRR6366879	Yp3726	1968	Homo sapiens	Brazil:Pernambuco,Araripina,Bodoco,Sitio Serra Pedro Paulino												2018-12-13 00:37:56	
SAMN08161912		SRR6366874	Yp3725	1968	Homo sapiens	Brazil:Pernambuco,Araripina,Bodoco,Sitio Taboquinha												2018-12-13 00:37:56	
SAMN08161911		SRR6366873	Yp3724	1968	Homo sapiens	Brazil:Pernambuco,Araripina,Araripina,Sitio Serra Cicero Mendes												2018-12-13 00:37:57	
SAMN08161910		SRR6366876	Yp3723	1968	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Mamonas												2018-12-13 00:37:56	
SAMN08161909		SRR6366875	Yp3722	1968	Homo sapiens	Brazil:Pernambuco,Araripina,Bodoco,Sitio Queimada												2018-12-13 00:37:56	
SAMN08161908		SRR6367007	Yp3715	1968	Homo sapiens	Brazil:Pernambuco,Araripina,Araripina,Sitio Cascavel												2018-12-13 00:37:53	
SAMN08161907		SRR6367008	Yp3713	1968	Rattus rattus alexandrinus	Brazil:Pernambuco,Araripina,Exu,Sitio Gadelha												2018-12-13 00:37:53	
SAMN08161906		SRR6367013	Yp3712	1968	Rattus rattus alexandrinus	Brazil:Pernambuco,Araripina,Exu,Sitio Gadelha												2018-12-13 00:37:53	
SAMN08161905		SRR6367014	Yp3711	1968	Xenopsylla	Brazil:Pernambuco,Araripina,Exu,Sitio Sao Sebastiao												2018-12-13 00:37:53	
SAMN08161904		SRR6367015	Yp3710	1968	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Gadelha												2018-12-13 00:37:53	
SAMN08161903		SRR6367016	Yp3709	1968	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Gadelha												2018-12-13 00:37:53	
SAMN08161902		SRR6367009	Yp3708	1968	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Gadelha												2018-12-13 00:37:53	
SAMN08161901		SRR6367010	Yp3707	1968	Thrichomys	Brazil:Pernambuco,Araripina,Exu,Sitio Gadelha												2018-12-13 00:37:53	
SAMN08161900		SRR6367011	Yp3706	1968	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Gadelha												2018-12-13 00:37:53	
SAMN08161899		SRR6367012	Yp3705	1968	Homo sapiens	Brazil:Pernambuco,Araripina,Exu,Rua Coronel Bem Bem												2018-12-13 00:37:53	
SAMN08161898		SRR6366890	Yp3704	1968	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Batedor												2018-12-13 00:37:56	
SAMN08161897		SRR6366889	Yp3703	1968	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Queimada Grande												2018-12-13 00:37:56	
SAMN08161896		SRR6366894	Yp3701	1967	Homo sapiens	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Serrinha												2018-12-13 00:37:56	
SAMN08161895		SRR6366893	Yp3700	1967	Homo sapiens	Brazil:Pernambuco,Araripina,Exu,Sitio Lagoa do Ouro												2018-12-13 00:37:56	
SAMN08161894		SRR6366892	Yp3699	1967	Homo sapiens	Brazil:Pernambuco,Vale de Ipojuca,Caruaru,Sitio Lagoa do Anjo												2018-12-13 00:37:56	
SAMN08161893		SRR6366891	Yp3698	1967	Homo sapiens	Brazil:Pernambuco,Araripina,Exu,Sitio Jatoba												2018-12-13 00:37:56	
SAMN08161892		SRR6366898	Yp3696	1967	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Novo Horizonte												2018-12-13 00:37:56	
SAMN08161891		SRR6366897	Yp3695	1967	Homo sapiens	Brazil:Pernambuco,Araripina,Exu,Sitio Liberdade												2018-12-13 00:37:56	
SAMN08161890		SRR6366896	Yp3693	1967	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Retiro												2018-12-13 00:37:56	
SAMN08161889		SRR6366895	Yp3692	1967	Rattus rattus alexandrinus	Brazil:Pernambuco,Araripina,Exu,Sitio Ludugerio												2018-12-13 00:37:56	
SAMN08161888		SRR6366838	Yp3690	1967	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Novo Horizonte												2018-12-13 00:37:58	
SAMN08161887		SRR6367134	Yp3687	1967	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Cacimbas												2018-12-13 00:38:00	
SAMN08161886		SRR6366828	Yp3686	1967	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Retiro												2018-12-13 00:37:58	
SAMN08161885		SRR6366829	Yp3685	1967	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Cacimbas												2018-12-13 00:37:58	
SAMN08161884		SRR6366826	Yp3684	1967	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Novo Horizonte												2018-12-13 00:37:58	
SAMN08161883		SRR6366827	Yp3683	1967	Rattus rattus frugivorus	Brazil:Pernambuco,Araripina,Exu,Sitio Oriente												2018-12-13 00:37:58	
SAMN08161882		SRR6366832	Yp3682	1967	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Barra Nova												2018-12-13 00:37:58	
SAMN08161881		SRR6366833	Yp3681	1967	Xenopsylla	Brazil:Pernambuco,Araripina,Exu,Sitio Oriente												2018-12-13 00:37:58	
SAMN08161880		SRR6367119	Yp3680	1967	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Viracao												2018-12-13 00:38:00	
SAMN08161879		SRR6367122	Yp3679	1967	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Viracao												2018-12-13 00:38:00	
SAMN08161878		SRR6367132	Yp3678	1967	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Viracao												2018-12-13 00:38:00	
SAMN08161877		SRR6367131	Yp3669	1967	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Alto												2018-12-13 00:38:00	
SAMN08161876		SRR6367124	Yp3668	1967	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Viracao												2018-12-13 00:38:00	
SAMN08161875		SRR6367123	Yp3665	1967	Rattus rattus alexandrinus	Brazil:Pernambuco,Araripina,Exu,Sitio Oriente												2018-12-13 00:38:00	
SAMN08161874		SRR6367126	Yp3661	1967	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Queimada Grande												2018-12-13 00:38:00	
SAMN08161873		SRR6367125	Yp3660	1967	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Viracao												2018-12-13 00:38:00	
SAMN08161872		SRR6367128	Yp3659	1967	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha												2018-12-13 00:38:00	
