BioSampleAccession	BioSampleBioProjectAccession	BioSampleStrain	BioSampleOrganism	BioSampleSRAAccession	BioSampleAccessionSecondary	BioSampleCollectionDate	BioSampleGeographicLocation	BioSampleHost	BioSampleComment			
SAMN06768130		102	Vibrio cholerae			Sep-16	Ukraine: Kerch	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN06768129		28	Vibrio cholerae			Sep-16	Ukraine: Krivoy Rog	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN06768128		5	Vibrio cholerae			Sep-16	Ukraine: Zaporizhia	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN05715376	PRJNA335692	110	Burkholderia pseudomallei			1983	Australia: Pearce	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN05450311	PRJNA335692	110	Burkholderia pseudomallei	SRS1589458		1985	Viet Nam		REMOVE: Not Yersinia pestis			
SAMN05853556		V-120	Burkholderia mallei			1985	Russia: Ulan-Ude	horse	REMOVE: Not Yersinia pestis			
SAMN05162506			coral metagenome	SRS1539748		Feb-13	USA: Florida	Diploria labyrinthiformis	REMOVE: Not Yersinia pestis			
SAMN05162505			crab metagenome	SRS1539749		Feb-13	USA: Florida	Chyroptochiridae	REMOVE: Not Yersinia pestis			
SAMN04417250		M1275D	Vibrio cholerae O1 biovar El Tor			20-Oct-15	Russia: Dagestan	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN04417215		M1275	Vibrio cholerae O1 biovar El Tor			1993	Russia: Dagestan	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN04417245		M888	Vibrio cholerae			1970	Russia: Astrakhan	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN04413738		P13762	Vibrio cholerae			1988	Uzbekistan: Tashkent	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN04413737		M299	Vibrio cholerae			1965	Turkmenistan	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN04192112		GF41	Candida sojae			Jan-14	Brazil: Alagoas	Diatraea saccharalis	REMOVE: Not Yersinia pestis			
SAMN03860331		C-573	Brucella melitensis			2014	Russia: Stavropol region	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN03860330		C-572	Brucella melitensis			2014	Russia: Stavropol region	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN03860321		C-569	Brucella melitensis			2014	Russia: The Republic of Kalmykia	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN04023227		31	Vibrio cholerae O1 biovar El Tor			2011	Ukraine: Mariupol	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN04023226		43	Vibrio cholerae O1 biovar El Tor			1994	Ukraine: Mariupol	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN04023225		56	Vibrio cholerae O1 biovar El Tor			1994	Ukraine: Mariupol		REMOVE: Not Yersinia pestis			
SAMN04023224		39	Vibrio cholerae O1 biovar El Tor			2011	Ukraine: Mariupol		REMOVE: Not Yersinia pestis			
SAMN02929928	PRJNA255985		synthetic metagenome	SRS664882		not applicable	not applicable		REMOVE: Not Yersinia pestis			
SAMN02929927	PRJNA255985		synthetic metagenome	SRS664880		not applicable	not applicable		REMOVE: Not Yersinia pestis			
SAMN02929926	PRJNA255985		synthetic metagenome	SRS664879		not applicable	not applicable		REMOVE: Not Yersinia pestis			
SAMN03860328		C-571	Brucella melitensis			2014	Russia: Stavropol region	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN03860322		C-570	Brucella melitensis			2014	Russia: Stavropol region	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN03860172		C-568	Brucella melitensis			2014	Russia: The Republic of Kalmykia	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN03856542	PRJNA289649	C57BL6/J	Mus musculus						REMOVE: Not Yersinia pestis			
SAMN03856541	PRJNA289649	C57BL6/J	Mus musculus						REMOVE: Not Yersinia pestis			
SAMN03856540	PRJNA289649	C57BL6/J	Mus musculus						REMOVE: Not Yersinia pestis			
SAMN03856539	PRJNA289649	C57BL6/J	Mus musculus						REMOVE: Not Yersinia pestis			
SAMN03856538	PRJNA289649	C57BL6/J	Mus musculus						REMOVE: Not Yersinia pestis			
SAMN03856537	PRJNA289649	C57BL6/J	Mus musculus						REMOVE: Not Yersinia pestis			
SAMN03856536	PRJNA289649	C57BL6/J	Mus musculus						REMOVE: Not Yersinia pestis			
SAMN03856500	PRJNA289649	C57BL6/J	Mus musculus						REMOVE: Not Yersinia pestis			
SAMN03856499	PRJNA289649	C57BL6/J	Mus musculus						REMOVE: Not Yersinia pestis			
SAMN03797527		C-567	Brucella melitensis			2014	Russia: The Republic of Dagestan	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN03436878		M818	Vibrio cholerae			1970	"Russia: Saratov, Balakovo"	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN03436133	PRJNA279011	P18899	Vibrio cholerae O1 biovar El Tor			2006	Russia: Murmansk	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN02727742		C-558	Brucella melitensis			18-Mar-13	Russia: The Republic of Dagestan	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN02650270		C-555	Brucella melitensis			18-Jul-12	Russia: The Republic of Dagestan	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN02650267		C-554	Brucella melitensis			16-Jul-12	Russia: The Republic of Dagestan	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN02911891		RND81	Vibrio cholerae			09-Jul-14	Russia		REMOVE: Not Yersinia pestis			
SAMN02713604		VKMV-2020D	Lactobacillus acidophilus 			11-Jan-88	Russian Federation: Rostov-on-Don		REMOVE: Not Yersinia pestis			
SAMN02614613	Identification of Hylemonella gracilis as an Antagonist of Yersinia pestis persistence	Niagara R	Hylemonella gracilis str. Niagara R			Aug-07	USA: Upper Niagara River		REMOVE: Not Yersinia pestis			
SAMN12214386	PRJNA552616		Homo sapiens	SRS5063436					REMOVE: Not Yersinia pestis			
SAMN12214385	PRJNA552616		Homo sapiens	SRS5063437					REMOVE: Not Yersinia pestis			
SAMN12214384	PRJNA552616		Homo sapiens	SRS5063438					REMOVE: Not Yersinia pestis			
SAMN12214383	PRJNA552616		Homo sapiens	SRS5063439					REMOVE: Not Yersinia pestis			
SAMN12214382	PRJNA552616		Homo sapiens	SRS5063440					REMOVE: Not Yersinia pestis			
SAMN12214381	PRJNA552616		Homo sapiens	SRS5063441					REMOVE: Not Yersinia pestis
